fb_corr,fb_incorr,symbol2,symbol1,fb_late,pair,position,correct,block_01.thisRepN,block_01.thisTrialN,block_01.thisN,block_01.thisIndex,block_02.thisRepN,block_02.thisTrialN,block_02.thisN,block_02.thisIndex,block_03.thisRepN,block_03.thisTrialN,block_03.thisN,block_03.thisIndex,block_04.thisRepN,block_04.thisTrialN,block_04.thisN,block_04.thisIndex,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,buttonBox_2.keys,buttonBox_2.corr,buttonBox_2.rt,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,expName,Participant,frameRate,SessionNumber,Version,date,Group,
,,,,,,,,,,,,,,,,,,,,,,,,0.9984375,1.0,1,0,0,,,,,,,,,PLC_L_D1S1,P15,60.0224466017,01,C,2015_Feb_06_1503,Y,
stim/posf.jpg,stim/negf.jpg,stim/4.jpg,stim/6.jpg,stim/latef.jpg,EF,2,4,0,0,0,55,,,,,,,,,,,,,,,,,,2,0,1.36619764062,,,,,,PLC_L_D1S1,P15,60.0224466017,01,C,2015_Feb_06_1503,Y,
stim/negf.jpg,stim/posf.jpg,stim/2.jpg,stim/1.jpg,stim/latef.jpg,AB,1,2,0,1,1,8,,,,,,,,,,,,,,,,,,None,0,,,,,,,PLC_L_D1S1,P15,60.0224466017,01,C,2015_Feb_06_1503,Y,
stim/negf.jpg,stim/posf.jpg,stim/6.jpg,stim/4.jpg,stim/latef.jpg,EF,1,2,0,2,2,48,,,,,,,,,,,,,,,,,,2,1,1.18301410967,,,,,,PLC_L_D1S1,P15,60.0224466017,01,C,2015_Feb_06_1503,Y,
stim/negf.jpg,stim/posf.jpg,stim/3.jpg,stim/5.jpg,stim/latef.jpg,CD,2,4,0,3,3,38,,,,,,,,,,,,,,,,,,2,0,1.116349447,,,,,,PLC_L_D1S1,P15,60.0224466017,01,C,2015_Feb_06_1503,Y,
stim/posf.jpg,stim/negf.jpg,stim/4.jpg,stim/6.jpg,stim/latef.jpg,EF,2,4,0,4,4,53,,,,,,,,,,,,,,,,,,None,0,,,,,,,PLC_L_D1S1,P15,60.0224466017,01,C,2015_Feb_06_1503,Y,
stim/posf.jpg,stim/negf.jpg,stim/6.jpg,stim/4.jpg,stim/latef.jpg,EF,1,2,0,5,5,44,,,,,,,,,,,,,,,,,,2,1,1.08296727393,,,,,,PLC_L_D1S1,P15,60.0224466017,01,C,2015_Feb_06_1503,Y,
stim/posf.jpg,stim/negf.jpg,stim/5.jpg,stim/3.jpg,stim/latef.jpg,CD,1,2,0,6,6,23,,,,,,,,,,,,,,,,,,4,0,1.48282963887,,,,,,PLC_L_D1S1,P15,60.0224466017,01,C,2015_Feb_06_1503,Y,
stim/negf.jpg,stim/posf.jpg,stim/4.jpg,stim/6.jpg,stim/latef.jpg,EF,2,4,0,7,7,58,,,,,,,,,,,,,,,,,,4,1,1.41613807415,,,,,,PLC_L_D1S1,P15,60.0224466017,01,C,2015_Feb_06_1503,Y,
stim/negf.jpg,stim/posf.jpg,stim/4.jpg,stim/6.jpg,stim/latef.jpg,EF,2,4,0,8,8,59,,,,,,,,,,,,,,,,,,2,0,0.766410381877,,,,,,PLC_L_D1S1,P15,60.0224466017,01,C,2015_Feb_06_1503,Y,
stim/posf.jpg,stim/negf.jpg,stim/5.jpg,stim/3.jpg,stim/latef.jpg,CD,1,2,0,9,9,20,,,,,,,,,,,,,,,,,,2,1,1.48284858911,,,,,,PLC_L_D1S1,P15,60.0224466017,01,C,2015_Feb_06_1503,Y,
stim/posf.jpg,stim/negf.jpg,stim/3.jpg,stim/5.jpg,stim/latef.jpg,CD,2,4,0,10,10,36,,,,,,,,,,,,,,,,,,4,1,0.93302050962,,,,,,PLC_L_D1S1,P15,60.0224466017,01,C,2015_Feb_06_1503,Y,
stim/posf.jpg,stim/negf.jpg,stim/3.jpg,stim/5.jpg,stim/latef.jpg,CD,2,4,0,11,11,32,,,,,,,,,,,,,,,,,,4,1,1.14956785588,,,,,,PLC_L_D1S1,P15,60.0224466017,01,C,2015_Feb_06_1503,Y,
stim/posf.jpg,stim/negf.jpg,stim/2.jpg,stim/1.jpg,stim/latef.jpg,AB,1,2,0,12,12,2,,,,,,,,,,,,,,,,,,4,0,1.23292667273,,,,,,PLC_L_D1S1,P15,60.0224466017,01,C,2015_Feb_06_1503,Y,
stim/posf.jpg,stim/negf.jpg,stim/3.jpg,stim/5.jpg,stim/latef.jpg,CD,2,4,0,13,13,34,,,,,,,,,,,,,,,,,,4,1,1.11631739009,,,,,,PLC_L_D1S1,P15,60.0224466017,01,C,2015_Feb_06_1503,Y,
stim/posf.jpg,stim/negf.jpg,stim/2.jpg,stim/1.jpg,stim/latef.jpg,AB,1,2,0,14,14,4,,,,,,,,,,,,,,,,,,2,1,0.983016831452,,,,,,PLC_L_D1S1,P15,60.0224466017,01,C,2015_Feb_06_1503,Y,
stim/posf.jpg,stim/negf.jpg,stim/1.jpg,stim/2.jpg,stim/latef.jpg,AB,2,4,0,15,15,13,,,,,,,,,,,,,,,,,,4,1,1.18294505154,,,,,,PLC_L_D1S1,P15,60.0224466017,01,C,2015_Feb_06_1503,Y,
stim/posf.jpg,stim/negf.jpg,stim/4.jpg,stim/6.jpg,stim/latef.jpg,EF,2,4,0,16,16,52,,,,,,,,,,,,,,,,,,2,0,1.08293912377,,,,,,PLC_L_D1S1,P15,60.0224466017,01,C,2015_Feb_06_1503,Y,
stim/posf.jpg,stim/negf.jpg,stim/5.jpg,stim/3.jpg,stim/latef.jpg,CD,1,2,0,17,17,26,,,,,,,,,,,,,,,,,,2,1,1.21625062368,,,,,,PLC_L_D1S1,P15,60.0224466017,01,C,2015_Feb_06_1503,Y,
stim/posf.jpg,stim/negf.jpg,stim/6.jpg,stim/4.jpg,stim/latef.jpg,EF,1,2,0,18,18,43,,,,,,,,,,,,,,,,,,4,0,1.58289878422,,,,,,PLC_L_D1S1,P15,60.0224466017,01,C,2015_Feb_06_1503,Y,
stim/negf.jpg,stim/posf.jpg,stim/1.jpg,stim/2.jpg,stim/latef.jpg,AB,2,4,0,19,19,18,,,,,,,,,,,,,,,,,,4,1,1.18286960248,,,,,,PLC_L_D1S1,P15,60.0224466017,01,C,2015_Feb_06_1503,Y,
stim/posf.jpg,stim/negf.jpg,stim/2.jpg,stim/1.jpg,stim/latef.jpg,AB,1,2,0,20,20,0,,,,,,,,,,,,,,,,,,2,1,1.13296427245,,,,,,PLC_L_D1S1,P15,60.0224466017,01,C,2015_Feb_06_1503,Y,
stim/posf.jpg,stim/negf.jpg,stim/1.jpg,stim/2.jpg,stim/latef.jpg,AB,2,4,0,21,21,15,,,,,,,,,,,,,,,,,,4,1,1.49943686739,,,,,,PLC_L_D1S1,P15,60.0224466017,01,C,2015_Feb_06_1503,Y,
stim/posf.jpg,stim/negf.jpg,stim/2.jpg,stim/1.jpg,stim/latef.jpg,AB,1,2,0,22,22,1,,,,,,,,,,,,,,,,,,2,1,0.81637078819,,,,,,PLC_L_D1S1,P15,60.0224466017,01,C,2015_Feb_06_1503,Y,
