fb_corr,fb_incorr,symbol2,symbol1,fb_late,pair,position,correct,block_01.thisRepN,block_01.thisTrialN,block_01.thisN,block_01.thisIndex,block_02.thisRepN,block_02.thisTrialN,block_02.thisN,block_02.thisIndex,block_03.thisRepN,block_03.thisTrialN,block_03.thisN,block_03.thisIndex,block_04.thisRepN,block_04.thisTrialN,block_04.thisN,block_04.thisIndex,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,buttonBox_2.keys,buttonBox_2.corr,buttonBox_2.rt,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,expName,Participant,frameRate,SessionNumber,Version,date,Group,
,,,,,,,,,,,,,,,,,,,,,,,,0.9984375,1.0,1,0,0,,,,,,,,,PLC_L_D1S1,P1,60.0161177108,01,B,2014_Nov_28_1503,Y,
stim/negf.jpg,stim/posf.jpg,stim/5.jpg,stim/4.jpg,stim/latef.jpg,AB,1,2,0,0,0,9,,,,,,,,,,,,,,,,,,4,0,1.38289648463,,,,,,PLC_L_D1S1,P1,60.0161177108,01,B,2014_Nov_28_1503,Y,
stim/posf.jpg,stim/negf.jpg,stim/3.jpg,stim/6.jpg,stim/latef.jpg,EF,1,2,0,1,1,44,,,,,,,,,,,,,,,,,,2,1,0.982967635704,,,,,,PLC_L_D1S1,P1,60.0161177108,01,B,2014_Nov_28_1503,Y,
stim/negf.jpg,stim/posf.jpg,stim/3.jpg,stim/6.jpg,stim/latef.jpg,EF,1,2,0,2,2,47,,,,,,,,,,,,,,,,,,2,1,1.33289859137,,,,,,PLC_L_D1S1,P1,60.0161177108,01,B,2014_Nov_28_1503,Y,
stim/posf.jpg,stim/negf.jpg,stim/4.jpg,stim/5.jpg,stim/latef.jpg,AB,2,4,0,3,3,17,,,,,,,,,,,,,,,,,,4,1,1.13296449439,,,,,,PLC_L_D1S1,P1,60.0161177108,01,B,2014_Nov_28_1503,Y,
stim/posf.jpg,stim/negf.jpg,stim/2.jpg,stim/1.jpg,stim/latef.jpg,CD,2,4,0,4,4,35,,,,,,,,,,,,,,,,,,4,1,1.58287708936,,,,,,PLC_L_D1S1,P1,60.0161177108,01,B,2014_Nov_28_1503,Y,
stim/posf.jpg,stim/negf.jpg,stim/6.jpg,stim/3.jpg,stim/latef.jpg,EF,2,4,0,5,5,55,,,,,,,,,,,,,,,,,,2,0,1.4161070815,,,,,,PLC_L_D1S1,P1,60.0161177108,01,B,2014_Nov_28_1503,Y,
stim/negf.jpg,stim/posf.jpg,stim/1.jpg,stim/2.jpg,stim/latef.jpg,CD,1,2,0,6,6,28,,,,,,,,,,,,,,,,,,2,1,1.3828422717,,,,,,PLC_L_D1S1,P1,60.0161177108,01,B,2014_Nov_28_1503,Y,
stim/posf.jpg,stim/negf.jpg,stim/2.jpg,stim/1.jpg,stim/latef.jpg,CD,2,4,0,7,7,32,,,,,,,,,,,,,,,,,,4,1,1.36619864889,,,,,,PLC_L_D1S1,P1,60.0161177108,01,B,2014_Nov_28_1503,Y,
stim/negf.jpg,stim/posf.jpg,stim/1.jpg,stim/2.jpg,stim/latef.jpg,CD,1,2,0,8,8,27,,,,,,,,,,,,,,,,,,2,1,1.43284623707,,,,,,PLC_L_D1S1,P1,60.0161177108,01,B,2014_Nov_28_1503,Y,
stim/posf.jpg,stim/negf.jpg,stim/5.jpg,stim/4.jpg,stim/latef.jpg,AB,1,2,0,9,9,5,,,,,,,,,,,,,,,,,,4,0,1.21624836111,,,,,,PLC_L_D1S1,P1,60.0161177108,01,B,2014_Nov_28_1503,Y,
stim/posf.jpg,stim/negf.jpg,stim/2.jpg,stim/1.jpg,stim/latef.jpg,CD,2,4,0,10,10,30,,,,,,,,,,,,,,,,,,2,0,1.33285611967,,,,,,PLC_L_D1S1,P1,60.0161177108,01,B,2014_Nov_28_1503,Y,
stim/posf.jpg,stim/negf.jpg,stim/5.jpg,stim/4.jpg,stim/latef.jpg,AB,1,2,0,11,11,6,,,,,,,,,,,,,,,,,,4,0,1.58284680699,,,,,,PLC_L_D1S1,P1,60.0161177108,01,B,2014_Nov_28_1503,Y,
stim/posf.jpg,stim/negf.jpg,stim/1.jpg,stim/2.jpg,stim/latef.jpg,CD,1,2,0,12,12,23,,,,,,,,,,,,,,,,,,4,0,1.59947228264,,,,,,PLC_L_D1S1,P1,60.0161177108,01,B,2014_Nov_28_1503,Y,
stim/negf.jpg,stim/posf.jpg,stim/4.jpg,stim/5.jpg,stim/latef.jpg,AB,2,4,0,13,13,18,,,,,,,,,,,,,,,,,,2,0,1.51607223678,,,,,,PLC_L_D1S1,P1,60.0161177108,01,B,2014_Nov_28_1503,Y,
stim/posf.jpg,stim/negf.jpg,stim/2.jpg,stim/1.jpg,stim/latef.jpg,CD,2,4,0,14,14,33,,,,,,,,,,,,,,,,,,4,1,1.53282653203,,,,,,PLC_L_D1S1,P1,60.0161177108,01,B,2014_Nov_28_1503,Y,
stim/posf.jpg,stim/negf.jpg,stim/3.jpg,stim/6.jpg,stim/latef.jpg,EF,1,2,0,15,15,43,,,,,,,,,,,,,,,,,,None,0,,,,,,,PLC_L_D1S1,P1,60.0161177108,01,B,2014_Nov_28_1503,Y,
stim/posf.jpg,stim/negf.jpg,stim/4.jpg,stim/5.jpg,stim/latef.jpg,AB,2,4,0,16,16,11,,,,,,,,,,,,,,,,,,4,1,0.583133465411,,,,,,PLC_L_D1S1,P1,60.0161177108,01,B,2014_Nov_28_1503,Y,
stim/posf.jpg,stim/negf.jpg,stim/3.jpg,stim/6.jpg,stim/latef.jpg,EF,1,2,0,17,17,40,,,,,,,,,,,,,,,,,,4,0,0.69980599918,,,,,,PLC_L_D1S1,P1,60.0161177108,01,B,2014_Nov_28_1503,Y,
stim/posf.jpg,stim/negf.jpg,stim/5.jpg,stim/4.jpg,stim/latef.jpg,AB,1,2,0,18,18,7,,,,,,,,,,,,,,,,,,2,1,0.549798484979,,,,,,PLC_L_D1S1,P1,60.0161177108,01,B,2014_Nov_28_1503,Y,
stim/negf.jpg,stim/posf.jpg,stim/2.jpg,stim/1.jpg,stim/latef.jpg,CD,2,4,0,19,19,39,,,,,,,,,,,,,,,,,,4,1,1.06631784454,,,,,,PLC_L_D1S1,P1,60.0161177108,01,B,2014_Nov_28_1503,Y,
stim/posf.jpg,stim/negf.jpg,stim/6.jpg,stim/3.jpg,stim/latef.jpg,EF,2,4,0,20,20,50,,,,,,,,,,,,,,,,,,2,0,0.899747199844,,,,,,PLC_L_D1S1,P1,60.0161177108,01,B,2014_Nov_28_1503,Y,
stim/posf.jpg,stim/negf.jpg,stim/6.jpg,stim/3.jpg,stim/latef.jpg,EF,2,4,0,21,21,51,,,,,,,,,,,,,,,,,,2,0,1.06629282828,,,,,,PLC_L_D1S1,P1,60.0161177108,01,B,2014_Nov_28_1503,Y,
stim/posf.jpg,stim/negf.jpg,stim/5.jpg,stim/4.jpg,stim/latef.jpg,AB,1,2,0,22,22,4,,,,,,,,,,,,,,,,,,4,0,1.29952787901,,,,,,PLC_L_D1S1,P1,60.0161177108,01,B,2014_Nov_28_1503,Y,
stim/posf.jpg,stim/negf.jpg,stim/3.jpg,stim/6.jpg,stim/latef.jpg,EF,1,2,0,23,23,41,,,,,,,,,,,,,,,,,,4,0,1.38288475544,,,,,,PLC_L_D1S1,P1,60.0161177108,01,B,2014_Nov_28_1503,Y,
stim/negf.jpg,stim/posf.jpg,stim/6.jpg,stim/3.jpg,stim/latef.jpg,EF,2,4,0,24,24,57,,,,,,,,,,,,,,,,,,4,1,1.31623437931,,,,,,PLC_L_D1S1,P1,60.0161177108,01,B,2014_Nov_28_1503,Y,
stim/posf.jpg,stim/negf.jpg,stim/1.jpg,stim/2.jpg,stim/latef.jpg,CD,1,2,0,25,25,21,,,,,,,,,,,,,,,,,,2,1,1.46614810209,,,,,,PLC_L_D1S1,P1,60.0161177108,01,B,2014_Nov_28_1503,Y,
stim/negf.jpg,stim/posf.jpg,stim/6.jpg,stim/3.jpg,stim/latef.jpg,EF,2,4,0,26,26,58,,,,,,,,,,,,,,,,,,4,1,1.4161910204,,,,,,PLC_L_D1S1,P1,60.0161177108,01,B,2014_Nov_28_1503,Y,
stim/posf.jpg,stim/negf.jpg,stim/4.jpg,stim/5.jpg,stim/latef.jpg,AB,2,4,0,27,27,10,,,,,,,,,,,,,,,,,,2,0,1.39953854957,,,,,,PLC_L_D1S1,P1,60.0161177108,01,B,2014_Nov_28_1503,Y,
stim/negf.jpg,stim/posf.jpg,stim/5.jpg,stim/4.jpg,stim/latef.jpg,AB,1,2,0,28,28,8,,,,,,,,,,,,,,,,,,2,1,1.64949748386,,,,,,PLC_L_D1S1,P1,60.0161177108,01,B,2014_Nov_28_1503,Y,
stim/negf.jpg,stim/posf.jpg,stim/2.jpg,stim/1.jpg,stim/latef.jpg,CD,2,4,0,29,29,38,,,,,,,,,,,,,,,,,,4,1,1.11629524178,,,,,,PLC_L_D1S1,P1,60.0161177108,01,B,2014_Nov_28_1503,Y,
stim/posf.jpg,stim/negf.jpg,stim/2.jpg,stim/1.jpg,stim/latef.jpg,CD,2,4,0,30,30,31,,,,,,,,,,,,,,,,,,2,0,1.06630124923,,,,,,PLC_L_D1S1,P1,60.0161177108,01,B,2014_Nov_28_1503,Y,
stim/posf.jpg,stim/negf.jpg,stim/4.jpg,stim/5.jpg,stim/latef.jpg,AB,2,4,0,31,31,13,,,,,,,,,,,,,,,,,,4,1,1.5661336421,,,,,,PLC_L_D1S1,P1,60.0161177108,01,B,2014_Nov_28_1503,Y,
