fb_corr,fb_incorr,symbol2,symbol1,fb_late,pair,position,correct,block_01.thisRepN,block_01.thisTrialN,block_01.thisN,block_01.thisIndex,block_02.thisRepN,block_02.thisTrialN,block_02.thisN,block_02.thisIndex,block_03.thisRepN,block_03.thisTrialN,block_03.thisN,block_03.thisIndex,block_04.thisRepN,block_04.thisTrialN,block_04.thisN,block_04.thisIndex,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,buttonBox_2.keys,buttonBox_2.corr,buttonBox_2.rt,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,expName,Participant,frameRate,SessionNumber,Version,date,Group,
,,,,,,,,,,,,,,,,,,,,,,,,0.9984375,1.0,1,0,0,,,,,,,,,PLC_L_D1S1,P2,60.0181085455,02,C,2014_Dez_05_1519,Y,
stim/negf.jpg,stim/posf.jpg,stim/2.jpg,stim/1.jpg,stim/latef.jpg,CD,2,4,0,0,0,39,,,,,,,,,,,,,,,,,,None,0,,,,,,,PLC_L_D1S1,P2,60.0181085455,02,C,2014_Dez_05_1519,Y,
stim/negf.jpg,stim/posf.jpg,stim/1.jpg,stim/2.jpg,stim/latef.jpg,CD,1,2,0,1,1,29,,,,,,,,,,,,,,,,,,2,1,0.83305991985,,,,,,PLC_L_D1S1,P2,60.0181085455,02,C,2014_Dez_05_1519,Y,
stim/negf.jpg,stim/posf.jpg,stim/4.jpg,stim/3.jpg,stim/latef.jpg,AB,1,2,0,2,2,9,,,,,,,,,,,,,,,,,,None,0,,,,,,,PLC_L_D1S1,P2,60.0181085455,02,C,2014_Dez_05_1519,Y,
stim/posf.jpg,stim/negf.jpg,stim/5.jpg,stim/6.jpg,stim/latef.jpg,EF,2,4,0,3,3,50,,,,,,,,,,,,,,,,,,4,1,0.533106199202,,,,,,PLC_L_D1S1,P2,60.0181085455,02,C,2014_Dez_05_1519,Y,
stim/posf.jpg,stim/negf.jpg,stim/4.jpg,stim/3.jpg,stim/latef.jpg,AB,1,2,0,4,4,7,,,,,,,,,,,,,,,,,,4,0,0.783056927391,,,,,,PLC_L_D1S1,P2,60.0181085455,02,C,2014_Dez_05_1519,Y,
stim/posf.jpg,stim/negf.jpg,stim/1.jpg,stim/2.jpg,stim/latef.jpg,CD,1,2,0,5,5,24,,,,,,,,,,,,,,,,,,2,1,0.533159440907,,,,,,PLC_L_D1S1,P2,60.0181085455,02,C,2014_Dez_05_1519,Y,
stim/posf.jpg,stim/negf.jpg,stim/5.jpg,stim/6.jpg,stim/latef.jpg,EF,2,4,0,6,6,54,,,,,,,,,,,,,,,,,,2,0,0.616464727333,,,,,,PLC_L_D1S1,P2,60.0181085455,02,C,2014_Dez_05_1519,Y,
stim/posf.jpg,stim/negf.jpg,stim/4.jpg,stim/3.jpg,stim/latef.jpg,AB,1,2,0,7,7,1,,,,,,,,,,,,,,,,,,2,1,0.733039288426,,,,,,PLC_L_D1S1,P2,60.0181085455,02,C,2014_Dez_05_1519,Y,
stim/posf.jpg,stim/negf.jpg,stim/4.jpg,stim/3.jpg,stim/latef.jpg,AB,1,2,0,8,8,3,,,,,,,,,,,,,,,,,,2,1,0.633120060751,,,,,,PLC_L_D1S1,P2,60.0181085455,02,C,2014_Dez_05_1519,Y,
