fb_corr,fb_incorr,symbol2,symbol1,fb_late,pair,position,correct,block_01.thisRepN,block_01.thisTrialN,block_01.thisN,block_01.thisIndex,block_02.thisRepN,block_02.thisTrialN,block_02.thisN,block_02.thisIndex,block_03.thisRepN,block_03.thisTrialN,block_03.thisN,block_03.thisIndex,block_04.thisRepN,block_04.thisTrialN,block_04.thisN,block_04.thisIndex,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,buttonBox_2.keys,buttonBox_2.corr,buttonBox_2.rt,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,expName,Participant,frameRate,SessionNumber,Version,date,Group,
,,,,,,,,,,,,,,,,,,,,,,,,0.803125,0.802734375,1,0,0,,,,,,,,,PLC_L_D1S1,P30,60.0153030981,01,B,2015_Aug_13_1449,Y,
stim/posf.jpg,stim/negf.jpg,stim/1.jpg,stim/5.jpg,stim/latef.jpg,AB,1,2,0,0,0,4,,,,,,,,,,,,,,,,,,4,0,1.14967328038,,,,,,PLC_L_D1S1,P30,60.0153030981,01,B,2015_Aug_13_1449,Y,
stim/posf.jpg,stim/negf.jpg,stim/2.jpg,stim/3.jpg,stim/latef.jpg,EF,2,4,0,1,1,51,,,,,,,,,,,,,,,,,,2,0,1.41618942042,,,,,,PLC_L_D1S1,P30,60.0153030981,01,B,2015_Aug_13_1449,Y,
stim/posf.jpg,stim/negf.jpg,stim/6.jpg,stim/4.jpg,stim/latef.jpg,CD,2,4,0,2,2,34,,,,,,,,,,,,,,,,,,4,1,1.29950169284,,,,,,PLC_L_D1S1,P30,60.0153030981,01,B,2015_Aug_13_1449,Y,
stim/negf.jpg,stim/posf.jpg,stim/4.jpg,stim/6.jpg,stim/latef.jpg,CD,1,2,0,3,3,27,,,,,,,,,,,,,,,,,,2,1,1.49948135322,,,,,,PLC_L_D1S1,P30,60.0153030981,01,B,2015_Aug_13_1449,Y,
stim/negf.jpg,stim/posf.jpg,stim/2.jpg,stim/3.jpg,stim/latef.jpg,EF,2,4,0,4,4,57,,,,,,,,,,,,,,,,,,4,1,1.61607132852,,,,,,PLC_L_D1S1,P30,60.0153030981,01,B,2015_Aug_13_1449,Y,
stim/negf.jpg,stim/posf.jpg,stim/3.jpg,stim/2.jpg,stim/latef.jpg,EF,1,2,0,5,5,48,,,,,,,,,,,,,,,,,,None,0,,,,,,,PLC_L_D1S1,P30,60.0153030981,01,B,2015_Aug_13_1449,Y,
stim/posf.jpg,stim/negf.jpg,stim/4.jpg,stim/6.jpg,stim/latef.jpg,CD,1,2,0,6,6,21,,,,,,,,,,,,,,,,,,4,0,1.3328831329,,,,,,PLC_L_D1S1,P30,60.0153030981,01,B,2015_Aug_13_1449,Y,
stim/posf.jpg,stim/negf.jpg,stim/2.jpg,stim/3.jpg,stim/latef.jpg,EF,2,4,0,7,7,53,,,,,,,,,,,,,,,,,,4,1,1.36622392981,,,,,,PLC_L_D1S1,P30,60.0153030981,01,B,2015_Aug_13_1449,Y,
stim/posf.jpg,stim/negf.jpg,stim/1.jpg,stim/5.jpg,stim/latef.jpg,AB,1,2,0,8,8,2,,,,,,,,,,,,,,,,,,4,0,1.53283796649,,,,,,PLC_L_D1S1,P30,60.0153030981,01,B,2015_Aug_13_1449,Y,
stim/negf.jpg,stim/posf.jpg,stim/1.jpg,stim/5.jpg,stim/latef.jpg,AB,1,2,0,9,9,8,,,,,,,,,,,,,,,,,,2,1,1.3495113995,,,,,,PLC_L_D1S1,P30,60.0153030981,01,B,2015_Aug_13_1449,Y,
stim/posf.jpg,stim/negf.jpg,stim/3.jpg,stim/2.jpg,stim/latef.jpg,EF,1,2,0,10,10,45,,,,,,,,,,,,,,,,,,2,1,1.49950029737,,,,,,PLC_L_D1S1,P30,60.0153030981,01,B,2015_Aug_13_1449,Y,
stim/negf.jpg,stim/posf.jpg,stim/2.jpg,stim/3.jpg,stim/latef.jpg,EF,2,4,0,11,11,58,,,,,,,,,,,,,,,,,,None,0,,,,,,,PLC_L_D1S1,P30,60.0153030981,01,B,2015_Aug_13_1449,Y,
stim/negf.jpg,stim/posf.jpg,stim/4.jpg,stim/6.jpg,stim/latef.jpg,CD,1,2,0,12,12,28,,,,,,,,,,,,,,,,,,4,0,1.13295213663,,,,,,PLC_L_D1S1,P30,60.0153030981,01,B,2015_Aug_13_1449,Y,
stim/posf.jpg,stim/negf.jpg,stim/1.jpg,stim/5.jpg,stim/latef.jpg,AB,1,2,0,13,13,6,,,,,,,,,,,,,,,,,,2,1,1.33288126826,,,,,,PLC_L_D1S1,P30,60.0153030981,01,B,2015_Aug_13_1449,Y,
stim/posf.jpg,stim/negf.jpg,stim/4.jpg,stim/6.jpg,stim/latef.jpg,CD,1,2,0,14,14,25,,,,,,,,,,,,,,,,,,4,0,1.61612245275,,,,,,PLC_L_D1S1,P30,60.0153030981,01,B,2015_Aug_13_1449,Y,
stim/posf.jpg,stim/negf.jpg,stim/6.jpg,stim/4.jpg,stim/latef.jpg,CD,2,4,0,15,15,32,,,,,,,,,,,,,,,,,,4,1,1.19960780292,,,,,,PLC_L_D1S1,P30,60.0153030981,01,B,2015_Aug_13_1449,Y,
stim/posf.jpg,stim/negf.jpg,stim/5.jpg,stim/1.jpg,stim/latef.jpg,AB,2,4,0,16,16,11,,,,,,,,,,,,,,,,,,4,1,1.13303200941,,,,,,PLC_L_D1S1,P30,60.0153030981,01,B,2015_Aug_13_1449,Y,
stim/negf.jpg,stim/posf.jpg,stim/2.jpg,stim/3.jpg,stim/latef.jpg,EF,2,4,0,17,17,59,,,,,,,,,,,,,,,,,,2,0,1.08301180663,,,,,,PLC_L_D1S1,P30,60.0153030981,01,B,2015_Aug_13_1449,Y,
stim/posf.jpg,stim/negf.jpg,stim/3.jpg,stim/2.jpg,stim/latef.jpg,EF,1,2,0,18,18,43,,,,,,,,,,,,,,,,,,4,0,1.03293320752,,,,,,PLC_L_D1S1,P30,60.0153030981,01,B,2015_Aug_13_1449,Y,
stim/posf.jpg,stim/negf.jpg,stim/2.jpg,stim/3.jpg,stim/latef.jpg,EF,2,4,0,19,19,55,,,,,,,,,,,,,,,,,,2,0,1.34954560061,,,,,,PLC_L_D1S1,P30,60.0153030981,01,B,2015_Aug_13_1449,Y,
stim/posf.jpg,stim/negf.jpg,stim/3.jpg,stim/2.jpg,stim/latef.jpg,EF,1,2,0,20,20,40,,,,,,,,,,,,,,,,,,2,1,1.3162257749,,,,,,PLC_L_D1S1,P30,60.0153030981,01,B,2015_Aug_13_1449,Y,
stim/negf.jpg,stim/posf.jpg,stim/6.jpg,stim/4.jpg,stim/latef.jpg,CD,2,4,0,21,21,37,,,,,,,,,,,,,,,,,,2,0,1.34955203362,,,,,,PLC_L_D1S1,P30,60.0153030981,01,B,2015_Aug_13_1449,Y,
stim/posf.jpg,stim/negf.jpg,stim/6.jpg,stim/4.jpg,stim/latef.jpg,CD,2,4,0,22,22,36,,,,,,,,,,,,,,,,,,2,0,0.999623504998,,,,,,PLC_L_D1S1,P30,60.0153030981,01,B,2015_Aug_13_1449,Y,
stim/posf.jpg,stim/negf.jpg,stim/4.jpg,stim/6.jpg,stim/latef.jpg,CD,1,2,0,23,23,26,,,,,,,,,,,,,,,,,,4,0,1.14963044176,,,,,,PLC_L_D1S1,P30,60.0153030981,01,B,2015_Aug_13_1449,Y,
stim/posf.jpg,stim/negf.jpg,stim/4.jpg,stim/6.jpg,stim/latef.jpg,CD,1,2,0,24,24,22,,,,,,,,,,,,,,,,,,4,0,1.18294589159,,,,,,PLC_L_D1S1,P30,60.0153030981,01,B,2015_Aug_13_1449,Y,
stim/posf.jpg,stim/negf.jpg,stim/5.jpg,stim/1.jpg,stim/latef.jpg,AB,2,4,0,25,25,16,,,,,,,,,,,,,,,,,,4,1,1.51619510156,,,,,,PLC_L_D1S1,P30,60.0153030981,01,B,2015_Aug_13_1449,Y,
stim/posf.jpg,stim/negf.jpg,stim/2.jpg,stim/3.jpg,stim/latef.jpg,EF,2,4,0,26,26,50,,,,,,,,,,,,,,,,,,2,0,1.46616178615,,,,,,PLC_L_D1S1,P30,60.0153030981,01,B,2015_Aug_13_1449,Y,
stim/posf.jpg,stim/negf.jpg,stim/2.jpg,stim/3.jpg,stim/latef.jpg,EF,2,4,0,27,27,52,,,,,,,,,,,,,,,,,,2,0,1.44952321891,,,,,,PLC_L_D1S1,P30,60.0153030981,01,B,2015_Aug_13_1449,Y,
stim/negf.jpg,stim/posf.jpg,stim/5.jpg,stim/1.jpg,stim/latef.jpg,AB,2,4,0,28,28,19,,,,,,,,,,,,,,,,,,4,1,1.33289745153,,,,,,PLC_L_D1S1,P30,60.0153030981,01,B,2015_Aug_13_1449,Y,
stim/posf.jpg,stim/negf.jpg,stim/4.jpg,stim/6.jpg,stim/latef.jpg,CD,1,2,0,29,29,20,,,,,,,,,,,,,,,,,,4,0,0.966344057774,,,,,,PLC_L_D1S1,P30,60.0153030981,01,B,2015_Aug_13_1449,Y,
stim/negf.jpg,stim/posf.jpg,stim/2.jpg,stim/3.jpg,stim/latef.jpg,EF,2,4,0,30,30,56,,,,,,,,,,,,,,,,,,2,0,1.19959444969,,,,,,PLC_L_D1S1,P30,60.0153030981,01,B,2015_Aug_13_1449,Y,
stim/posf.jpg,stim/negf.jpg,stim/5.jpg,stim/1.jpg,stim/latef.jpg,AB,2,4,0,31,31,15,,,,,,,,,,,,,,,,,,2,0,1.24958132051,,,,,,PLC_L_D1S1,P30,60.0153030981,01,B,2015_Aug_13_1449,Y,
stim/posf.jpg,stim/negf.jpg,stim/6.jpg,stim/4.jpg,stim/latef.jpg,CD,2,4,0,32,32,35,,,,,,,,,,,,,,,,,,4,1,0.833055518923,,,,,,PLC_L_D1S1,P30,60.0153030981,01,B,2015_Aug_13_1449,Y,
stim/negf.jpg,stim/posf.jpg,stim/3.jpg,stim/2.jpg,stim/latef.jpg,EF,1,2,0,33,33,49,,,,,,,,,,,,,,,,,,4,0,1.36620647737,,,,,,PLC_L_D1S1,P30,60.0153030981,01,B,2015_Aug_13_1449,Y,
stim/posf.jpg,stim/negf.jpg,stim/4.jpg,stim/6.jpg,stim/latef.jpg,CD,1,2,0,34,34,23,,,,,,,,,,,,,,,,,,2,1,0.949729947406,,,,,,PLC_L_D1S1,P30,60.0153030981,01,B,2015_Aug_13_1449,Y,
stim/posf.jpg,stim/negf.jpg,stim/5.jpg,stim/1.jpg,stim/latef.jpg,AB,2,4,0,35,35,10,,,,,,,,,,,,,,,,,,4,1,1.63279380458,,,,,,PLC_L_D1S1,P30,60.0153030981,01,B,2015_Aug_13_1449,Y,
stim/posf.jpg,stim/negf.jpg,stim/3.jpg,stim/2.jpg,stim/latef.jpg,EF,1,2,0,36,36,44,,,,,,,,,,,,,,,,,,4,0,1.48285533321,,,,,,PLC_L_D1S1,P30,60.0153030981,01,B,2015_Aug_13_1449,Y,
stim/negf.jpg,stim/posf.jpg,stim/1.jpg,stim/5.jpg,stim/latef.jpg,AB,1,2,0,37,37,9,,,,,,,,,,,,,,,,,,2,1,1.33289737334,,,,,,PLC_L_D1S1,P30,60.0153030981,01,B,2015_Aug_13_1449,Y,
stim/posf.jpg,stim/negf.jpg,stim/6.jpg,stim/4.jpg,stim/latef.jpg,CD,2,4,0,38,38,31,,,,,,,,,,,,,,,,,,4,1,1.16628186599,,,,,,PLC_L_D1S1,P30,60.0153030981,01,B,2015_Aug_13_1449,Y,
stim/posf.jpg,stim/negf.jpg,stim/6.jpg,stim/4.jpg,stim/latef.jpg,CD,2,4,0,39,39,30,,,,,,,,,,,,,,,,,,4,1,1.03293285264,,,,,,PLC_L_D1S1,P30,60.0153030981,01,B,2015_Aug_13_1449,Y,
stim/posf.jpg,stim/negf.jpg,stim/3.jpg,stim/2.jpg,stim/latef.jpg,EF,1,2,0,40,40,42,,,,,,,,,,,,,,,,,,4,0,1.14960795781,,,,,,PLC_L_D1S1,P30,60.0153030981,01,B,2015_Aug_13_1449,Y,
