fb_corr,fb_incorr,symbol2,symbol1,fb_late,pair,position,correct,block_01.thisRepN,block_01.thisTrialN,block_01.thisN,block_01.thisIndex,block_02.thisRepN,block_02.thisTrialN,block_02.thisN,block_02.thisIndex,block_03.thisRepN,block_03.thisTrialN,block_03.thisN,block_03.thisIndex,block_04.thisRepN,block_04.thisTrialN,block_04.thisN,block_04.thisIndex,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,buttonBox_2.keys,buttonBox_2.corr,buttonBox_2.rt,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,expName,Participant,frameRate,SessionNumber,Version,date,Group,
,,,,,,,,,,,,,,,,,,,,,,,,0.903125,1.0,1,0,0,,,,,,,,,PLC_L_D1S1,P33,60.0259237831,01,A,2015_Aug_21_1706,Y,
stim/posf.jpg,stim/negf.jpg,stim/4.jpg,stim/1.jpg,stim/latef.jpg,AB,1,2,0,0,0,4,,,,,,,,,,,,,,,,,,2,1,1.24959896542,,,,,,PLC_L_D1S1,P33,60.0259237831,01,A,2015_Aug_21_1706,Y,
stim/posf.jpg,stim/negf.jpg,stim/6.jpg,stim/2.jpg,stim/latef.jpg,CD,2,4,0,1,1,32,,,,,,,,,,,,,,,,,,4,1,1.34955800633,,,,,,PLC_L_D1S1,P33,60.0259237831,01,A,2015_Aug_21_1706,Y,
stim/negf.jpg,stim/posf.jpg,stim/4.jpg,stim/1.jpg,stim/latef.jpg,AB,1,2,0,2,2,9,,,,,,,,,,,,,,,,,,2,1,1.01629505342,,,,,,PLC_L_D1S1,P33,60.0259237831,01,A,2015_Aug_21_1706,Y,
stim/negf.jpg,stim/posf.jpg,stim/3.jpg,stim/5.jpg,stim/latef.jpg,EF,1,2,0,3,3,48,,,,,,,,,,,,,,,,,,4,0,0.899735902738,,,,,,PLC_L_D1S1,P33,60.0259237831,01,A,2015_Aug_21_1706,Y,
stim/negf.jpg,stim/posf.jpg,stim/6.jpg,stim/2.jpg,stim/latef.jpg,CD,2,4,0,4,4,37,,,,,,,,,,,,,,,,,,4,1,1.33282272464,,,,,,PLC_L_D1S1,P33,60.0259237831,01,A,2015_Aug_21_1706,Y,
stim/posf.jpg,stim/negf.jpg,stim/4.jpg,stim/1.jpg,stim/latef.jpg,AB,1,2,0,5,5,0,,,,,,,,,,,,,,,,,,2,1,0.716419750227,,,,,,PLC_L_D1S1,P33,60.0259237831,01,A,2015_Aug_21_1706,Y,
stim/negf.jpg,stim/posf.jpg,stim/1.jpg,stim/4.jpg,stim/latef.jpg,AB,2,4,0,6,6,18,,,,,,,,,,,,,,,,,,4,1,1.34955834016,,,,,,PLC_L_D1S1,P33,60.0259237831,01,A,2015_Aug_21_1706,Y,
stim/posf.jpg,stim/negf.jpg,stim/1.jpg,stim/4.jpg,stim/latef.jpg,AB,2,4,0,7,7,11,,,,,,,,,,,,,,,,,,2,0,0.766407446561,,,,,,PLC_L_D1S1,P33,60.0259237831,01,A,2015_Aug_21_1706,Y,
stim/posf.jpg,stim/negf.jpg,stim/1.jpg,stim/4.jpg,stim/latef.jpg,AB,2,4,0,8,8,15,,,,,,,,,,,,,,,,,,None,0,,,,,,,PLC_L_D1S1,P33,60.0259237831,01,A,2015_Aug_21_1706,Y,
