fb_corr,fb_incorr,symbol2,symbol1,fb_late,pair,position,correct,block_01.thisRepN,block_01.thisTrialN,block_01.thisN,block_01.thisIndex,block_02.thisRepN,block_02.thisTrialN,block_02.thisN,block_02.thisIndex,block_03.thisRepN,block_03.thisTrialN,block_03.thisN,block_03.thisIndex,block_04.thisRepN,block_04.thisTrialN,block_04.thisN,block_04.thisIndex,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,buttonBox_2.keys,buttonBox_2.corr,buttonBox_2.rt,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,expName,Participant,frameRate,SessionNumber,Version,date,Group,
,,,,,,,,,,,,,,,,,,,,,,,,0.55,0.978515625,1,0,0,,,,,,,,,PLC_L_D1S1,P4,60.0225874582,01,A,2014_Dez_17_1654,Y,
stim/negf.jpg,stim/posf.jpg,stim/5.jpg,stim/1.jpg,stim/latef.jpg,CD,2,4,0,0,0,37,,,,,,,,,,,,,,,,,,4,1,0.71645120563,,,,,,PLC_L_D1S1,P4,60.0225874582,01,A,2014_Dez_17_1654,Y,
stim/posf.jpg,stim/negf.jpg,stim/4.jpg,stim/6.jpg,stim/latef.jpg,AB,2,4,0,1,1,13,,,,,,,,,,,,,,,,,,2,0,0.56648617379,,,,,,PLC_L_D1S1,P4,60.0225874582,01,A,2014_Dez_17_1654,Y,
stim/negf.jpg,stim/posf.jpg,stim/5.jpg,stim/1.jpg,stim/latef.jpg,CD,2,4,0,2,2,38,,,,,,,,,,,,,,,,,,2,0,0.533184207638,,,,,,PLC_L_D1S1,P4,60.0225874582,01,A,2014_Dez_17_1654,Y,
stim/posf.jpg,stim/negf.jpg,stim/1.jpg,stim/5.jpg,stim/latef.jpg,CD,1,2,0,3,3,24,,,,,,,,,,,,,,,,,,2,1,0.599773156595,,,,,,PLC_L_D1S1,P4,60.0225874582,01,A,2014_Dez_17_1654,Y,
stim/posf.jpg,stim/negf.jpg,stim/4.jpg,stim/6.jpg,stim/latef.jpg,AB,2,4,0,4,4,10,,,,,,,,,,,,,,,,,,4,1,0.533145221463,,,,,,PLC_L_D1S1,P4,60.0225874582,01,A,2014_Dez_17_1654,Y,
stim/posf.jpg,stim/negf.jpg,stim/6.jpg,stim/4.jpg,stim/latef.jpg,AB,1,2,0,5,5,4,,,,,,,,,,,,,,,,,,2,1,0.466497884976,,,,,,PLC_L_D1S1,P4,60.0225874582,01,A,2014_Dez_17_1654,Y,
stim/posf.jpg,stim/negf.jpg,stim/1.jpg,stim/5.jpg,stim/latef.jpg,CD,1,2,0,6,6,21,,,,,,,,,,,,,,,,,,4,0,0.599771989684,,,,,,PLC_L_D1S1,P4,60.0225874582,01,A,2014_Dez_17_1654,Y,
stim/posf.jpg,stim/negf.jpg,stim/3.jpg,stim/2.jpg,stim/latef.jpg,EF,1,2,0,7,7,41,,,,,,,,,,,,,,,,,,2,1,0.533173585161,,,,,,PLC_L_D1S1,P4,60.0225874582,01,A,2014_Dez_17_1654,Y,
stim/posf.jpg,stim/negf.jpg,stim/4.jpg,stim/6.jpg,stim/latef.jpg,AB,2,4,0,8,8,12,,,,,,,,,,,,,,,,,,4,1,0.533145663569,,,,,,PLC_L_D1S1,P4,60.0225874582,01,A,2014_Dez_17_1654,Y,
stim/negf.jpg,stim/posf.jpg,stim/3.jpg,stim/2.jpg,stim/latef.jpg,EF,1,2,0,9,9,49,,,,,,,,,,,,,,,,,,4,0,0.51646435741,,,,,,PLC_L_D1S1,P4,60.0225874582,01,A,2014_Dez_17_1654,Y,
stim/posf.jpg,stim/negf.jpg,stim/6.jpg,stim/4.jpg,stim/latef.jpg,AB,1,2,0,10,10,2,,,,,,,,,,,,,,,,,,2,1,0.516475076129,,,,,,PLC_L_D1S1,P4,60.0225874582,01,A,2014_Dez_17_1654,Y,
stim/posf.jpg,stim/negf.jpg,stim/4.jpg,stim/6.jpg,stim/latef.jpg,AB,2,4,0,11,11,11,,,,,,,,,,,,,,,,,,4,1,0.449860804056,,,,,,PLC_L_D1S1,P4,60.0225874582,01,A,2014_Dez_17_1654,Y,
stim/posf.jpg,stim/negf.jpg,stim/6.jpg,stim/4.jpg,stim/latef.jpg,AB,1,2,0,12,12,1,,,,,,,,,,,,,,,,,,2,1,0.499811580365,,,,,,PLC_L_D1S1,P4,60.0225874582,01,A,2014_Dez_17_1654,Y,
stim/negf.jpg,stim/posf.jpg,stim/1.jpg,stim/5.jpg,stim/latef.jpg,CD,1,2,0,13,13,29,,,,,,,,,,,,,,,,,,4,0,0.483101290971,,,,,,PLC_L_D1S1,P4,60.0225874582,01,A,2014_Dez_17_1654,Y,
stim/negf.jpg,stim/posf.jpg,stim/3.jpg,stim/2.jpg,stim/latef.jpg,EF,1,2,0,14,14,47,,,,,,,,,,,,,,,,,,4,0,0.449810437516,,,,,,PLC_L_D1S1,P4,60.0225874582,01,A,2014_Dez_17_1654,Y,
stim/posf.jpg,stim/negf.jpg,stim/3.jpg,stim/2.jpg,stim/latef.jpg,EF,1,2,0,15,15,40,,,,,,,,,,,,,,,,,,2,1,0.616525890782,,,,,,PLC_L_D1S1,P4,60.0225874582,01,A,2014_Dez_17_1654,Y,
stim/posf.jpg,stim/negf.jpg,stim/2.jpg,stim/3.jpg,stim/latef.jpg,EF,2,4,0,16,16,52,,,,,,,,,,,,,,,,,,2,0,0.583127943399,,,,,,PLC_L_D1S1,P4,60.0225874582,01,A,2014_Dez_17_1654,Y,
stim/negf.jpg,stim/posf.jpg,stim/4.jpg,stim/6.jpg,stim/latef.jpg,AB,2,4,0,17,17,18,,,,,,,,,,,,,,,,,,4,1,0.499843050802,,,,,,PLC_L_D1S1,P4,60.0225874582,01,A,2014_Dez_17_1654,Y,
stim/posf.jpg,stim/negf.jpg,stim/5.jpg,stim/1.jpg,stim/latef.jpg,CD,2,4,0,18,18,33,,,,,,,,,,,,,,,,,,2,0,0.516499524063,,,,,,PLC_L_D1S1,P4,60.0225874582,01,A,2014_Dez_17_1654,Y,
stim/posf.jpg,stim/negf.jpg,stim/6.jpg,stim/4.jpg,stim/latef.jpg,AB,1,2,0,19,19,3,,,,,,,,,,,,,,,,,,2,1,0.516495842887,,,,,,PLC_L_D1S1,P4,60.0225874582,01,A,2014_Dez_17_1654,Y,
stim/posf.jpg,stim/negf.jpg,stim/3.jpg,stim/2.jpg,stim/latef.jpg,EF,1,2,0,20,20,42,,,,,,,,,,,,,,,,,,4,0,0.43319268577,,,,,,PLC_L_D1S1,P4,60.0225874582,01,A,2014_Dez_17_1654,Y,
stim/posf.jpg,stim/negf.jpg,stim/1.jpg,stim/5.jpg,stim/latef.jpg,CD,1,2,0,21,21,26,,,,,,,,,,,,,,,,,,4,0,0.449816527696,,,,,,PLC_L_D1S1,P4,60.0225874582,01,A,2014_Dez_17_1654,Y,
stim/posf.jpg,stim/negf.jpg,stim/5.jpg,stim/1.jpg,stim/latef.jpg,CD,2,4,0,22,22,31,,,,,,,,,,,,,,,,,,4,1,0.466483530199,,,,,,PLC_L_D1S1,P4,60.0225874582,01,A,2014_Dez_17_1654,Y,
stim/posf.jpg,stim/negf.jpg,stim/6.jpg,stim/4.jpg,stim/latef.jpg,AB,1,2,0,23,23,5,,,,,,,,,,,,,,,,,,2,1,0.599796636117,,,,,,PLC_L_D1S1,P4,60.0225874582,01,A,2014_Dez_17_1654,Y,
stim/posf.jpg,stim/negf.jpg,stim/3.jpg,stim/2.jpg,stim/latef.jpg,EF,1,2,0,24,24,43,,,,,,,,,,,,,,,,,,4,0,0.549828262945,,,,,,PLC_L_D1S1,P4,60.0225874582,01,A,2014_Dez_17_1654,Y,
stim/posf.jpg,stim/negf.jpg,stim/1.jpg,stim/5.jpg,stim/latef.jpg,CD,1,2,0,25,25,20,,,,,,,,,,,,,,,,,,4,0,0.633118665271,,,,,,PLC_L_D1S1,P4,60.0225874582,01,A,2014_Dez_17_1654,Y,
stim/posf.jpg,stim/negf.jpg,stim/5.jpg,stim/1.jpg,stim/latef.jpg,CD,2,4,0,26,26,34,,,,,,,,,,,,,,,,,,2,0,0.533160788265,,,,,,PLC_L_D1S1,P4,60.0225874582,01,A,2014_Dez_17_1654,Y,
