fb_corr,fb_incorr,symbol2,symbol1,fb_late,pair,position,correct,block_01.thisRepN,block_01.thisTrialN,block_01.thisN,block_01.thisIndex,block_02.thisRepN,block_02.thisTrialN,block_02.thisN,block_02.thisIndex,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,buttonBox_2.keys,buttonBox_2.corr,buttonBox_2.rt,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,expName,Participant,frameRate,SessionNumber,Version,date,Group,
,,,,,,,,,,,,,,,,0.9984375,0.853515625,1,0,0,,,,,,,,,PLC_L_D1S2,P11,60.021992893,01,B,2015_Jan_29_1631,Y,
stim/negf.jpg,stim/posf.jpg,stim/3.jpg,stim/2.jpg,stim/latef.jpg,EF,2,4,0,0,0,59,,,,,,,,,,4,1,1.43291910542,,,,,,PLC_L_D1S2,P11,60.021992893,01,B,2015_Jan_29_1631,Y,
stim/posf.jpg,stim/negf.jpg,stim/2.jpg,stim/3.jpg,stim/latef.jpg,EF,1,2,0,1,1,40,,,,,,,,,,2,1,1.01632847148,,,,,,PLC_L_D1S2,P11,60.021992893,01,B,2015_Jan_29_1631,Y,
stim/posf.jpg,stim/negf.jpg,stim/5.jpg,stim/6.jpg,stim/latef.jpg,CD,1,2,0,2,2,24,,,,,,,,,,2,1,1.16627607358,,,,,,PLC_L_D1S2,P11,60.021992893,01,B,2015_Jan_29_1631,Y,
stim/negf.jpg,stim/posf.jpg,stim/3.jpg,stim/2.jpg,stim/latef.jpg,EF,2,4,0,3,3,58,,,,,,,,,,2,0,1.26624330402,,,,,,PLC_L_D1S2,P11,60.021992893,01,B,2015_Jan_29_1631,Y,
stim/negf.jpg,stim/posf.jpg,stim/4.jpg,stim/1.jpg,stim/latef.jpg,AB,2,4,0,4,4,19,,,,,,,,,,4,1,0.949694777879,,,,,,PLC_L_D1S2,P11,60.021992893,01,B,2015_Jan_29_1631,Y,
stim/posf.jpg,stim/negf.jpg,stim/3.jpg,stim/2.jpg,stim/latef.jpg,EF,2,4,0,5,5,51,,,,,,,,,,2,0,1.06627678936,,,,,,PLC_L_D1S2,P11,60.021992893,01,B,2015_Jan_29_1631,Y,
stim/posf.jpg,stim/negf.jpg,stim/1.jpg,stim/4.jpg,stim/latef.jpg,AB,1,2,0,6,6,5,,,,,,,,,,2,1,1.18294334425,,,,,,PLC_L_D1S2,P11,60.021992893,01,B,2015_Jan_29_1631,Y,
stim/negf.jpg,stim/posf.jpg,stim/1.jpg,stim/4.jpg,stim/latef.jpg,AB,1,2,0,7,7,6,,,,,,,,,,2,1,0.999663227858,,,,,,PLC_L_D1S2,P11,60.021992893,01,B,2015_Jan_29_1631,Y,
stim/posf.jpg,stim/negf.jpg,stim/3.jpg,stim/2.jpg,stim/latef.jpg,EF,2,4,0,8,8,54,,,,,,,,,,4,1,0.833039958197,,,,,,PLC_L_D1S2,P11,60.021992893,01,B,2015_Jan_29_1631,Y,
stim/posf.jpg,stim/negf.jpg,stim/5.jpg,stim/6.jpg,stim/latef.jpg,CD,1,2,0,9,9,20,,,,,,,,,,2,1,1.04965321744,,,,,,PLC_L_D1S2,P11,60.021992893,01,B,2015_Jan_29_1631,Y,
stim/posf.jpg,stim/negf.jpg,stim/2.jpg,stim/3.jpg,stim/latef.jpg,EF,1,2,0,10,10,45,,,,,,,,,,4,0,0.983004293936,,,,,,PLC_L_D1S2,P11,60.021992893,01,B,2015_Jan_29_1631,Y,
stim/posf.jpg,stim/negf.jpg,stim/4.jpg,stim/1.jpg,stim/latef.jpg,AB,2,4,0,11,11,13,,,,,,,,,,4,1,1.13296514701,,,,,,PLC_L_D1S2,P11,60.021992893,01,B,2015_Jan_29_1631,Y,
stim/negf.jpg,stim/posf.jpg,stim/4.jpg,stim/1.jpg,stim/latef.jpg,AB,2,4,0,12,12,18,,,,,,,,,,4,1,1.03291394759,,,,,,PLC_L_D1S2,P11,60.021992893,01,B,2015_Jan_29_1631,Y,
stim/posf.jpg,stim/negf.jpg,stim/6.jpg,stim/5.jpg,stim/latef.jpg,CD,2,4,0,13,13,34,,,,,,,,,,4,1,1.14959897445,,,,,,PLC_L_D1S2,P11,60.021992893,01,B,2015_Jan_29_1631,Y,
stim/negf.jpg,stim/posf.jpg,stim/3.jpg,stim/2.jpg,stim/latef.jpg,EF,2,4,0,14,14,57,,,,,,,,,,4,1,0.983004907464,,,,,,PLC_L_D1S2,P11,60.021992893,01,B,2015_Jan_29_1631,Y,
stim/posf.jpg,stim/negf.jpg,stim/4.jpg,stim/1.jpg,stim/latef.jpg,AB,2,4,0,15,15,12,,,,,,,,,,4,1,0.91637478675,,,,,,PLC_L_D1S2,P11,60.021992893,01,B,2015_Jan_29_1631,Y,
stim/posf.jpg,stim/negf.jpg,stim/4.jpg,stim/1.jpg,stim/latef.jpg,AB,2,4,0,16,16,15,,,,,,,,,,4,1,0.849703180793,,,,,,PLC_L_D1S2,P11,60.021992893,01,B,2015_Jan_29_1631,Y,
stim/posf.jpg,stim/negf.jpg,stim/6.jpg,stim/5.jpg,stim/latef.jpg,CD,2,4,0,17,17,33,,,,,,,,,,4,1,0.966326130158,,,,,,PLC_L_D1S2,P11,60.021992893,01,B,2015_Jan_29_1631,Y,
stim/posf.jpg,stim/negf.jpg,stim/6.jpg,stim/5.jpg,stim/latef.jpg,CD,2,4,0,18,18,32,,,,,,,,,,4,1,0.799705007837,,,,,,PLC_L_D1S2,P11,60.021992893,01,B,2015_Jan_29_1631,Y,
stim/posf.jpg,stim/negf.jpg,stim/4.jpg,stim/1.jpg,stim/latef.jpg,AB,2,4,0,19,19,10,,,,,,,,,,4,1,0.816385538508,,,,,,PLC_L_D1S2,P11,60.021992893,01,B,2015_Jan_29_1631,Y,
stim/posf.jpg,stim/negf.jpg,stim/5.jpg,stim/6.jpg,stim/latef.jpg,CD,1,2,0,20,20,23,,,,,,,,,,2,1,0.999679209632,,,,,,PLC_L_D1S2,P11,60.021992893,01,B,2015_Jan_29_1631,Y,
stim/negf.jpg,stim/posf.jpg,stim/2.jpg,stim/3.jpg,stim/latef.jpg,EF,1,2,0,21,21,47,,,,,,,,,,2,1,0.833057142965,,,,,,PLC_L_D1S2,P11,60.021992893,01,B,2015_Jan_29_1631,Y,
stim/negf.jpg,stim/posf.jpg,stim/1.jpg,stim/4.jpg,stim/latef.jpg,AB,1,2,0,22,22,7,,,,,,,,,,2,1,0.716480644203,,,,,,PLC_L_D1S2,P11,60.021992893,01,B,2015_Jan_29_1631,Y,
stim/negf.jpg,stim/posf.jpg,stim/5.jpg,stim/6.jpg,stim/latef.jpg,CD,1,2,0,23,23,28,,,,,,,,,,2,1,0.99966791352,,,,,,PLC_L_D1S2,P11,60.021992893,01,B,2015_Jan_29_1631,Y,
stim/negf.jpg,stim/posf.jpg,stim/5.jpg,stim/6.jpg,stim/latef.jpg,CD,1,2,0,24,24,27,,,,,,,,,,2,1,1.01636593272,,,,,,PLC_L_D1S2,P11,60.021992893,01,B,2015_Jan_29_1631,Y,
stim/posf.jpg,stim/negf.jpg,stim/1.jpg,stim/4.jpg,stim/latef.jpg,AB,1,2,0,25,25,2,,,,,,,,,,2,1,0.766405539787,,,,,,PLC_L_D1S2,P11,60.021992893,01,B,2015_Jan_29_1631,Y,
