fb_corr,fb_incorr,symbol2,symbol1,fb_late,pair,position,correct,block_01.thisRepN,block_01.thisTrialN,block_01.thisN,block_01.thisIndex,block_02.thisRepN,block_02.thisTrialN,block_02.thisN,block_02.thisIndex,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,buttonBox_2.keys,buttonBox_2.corr,buttonBox_2.rt,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,expName,Participant,frameRate,SessionNumber,Version,date,Group,
,,,,,,,,,,,,,,,,0.975,1.0,1,0,0,,,,,,,,,PLC_L_D1S2,P33,60.0176947077,01,B,2015_Aug_21_1741,Y,
stim/negf.jpg,stim/posf.jpg,stim/1.jpg,stim/3.jpg,stim/latef.jpg,EF,2,4,0,0,0,56,,,,,,,,,,2,0,1.28291837806,,,,,,PLC_L_D1S2,P33,60.0176947077,01,B,2015_Aug_21_1741,Y,
stim/negf.jpg,stim/posf.jpg,stim/4.jpg,stim/6.jpg,stim/latef.jpg,AB,1,2,0,1,1,9,,,,,,,,,,2,1,1.28293378245,,,,,,PLC_L_D1S2,P33,60.0176947077,01,B,2015_Aug_21_1741,Y,
stim/posf.jpg,stim/negf.jpg,stim/4.jpg,stim/6.jpg,stim/latef.jpg,AB,1,2,0,2,2,2,,,,,,,,,,4,0,0.58319167525,,,,,,PLC_L_D1S2,P33,60.0176947077,01,B,2015_Aug_21_1741,Y,
stim/posf.jpg,stim/negf.jpg,stim/6.jpg,stim/4.jpg,stim/latef.jpg,AB,2,4,0,3,3,15,,,,,,,,,,4,1,0.966382180585,,,,,,PLC_L_D1S2,P33,60.0176947077,01,B,2015_Aug_21_1741,Y,
stim/posf.jpg,stim/negf.jpg,stim/3.jpg,stim/1.jpg,stim/latef.jpg,EF,1,2,0,4,4,42,,,,,,,,,,None,0,,,,,,,PLC_L_D1S2,P33,60.0176947077,01,B,2015_Aug_21_1741,Y,
stim/posf.jpg,stim/negf.jpg,stim/3.jpg,stim/1.jpg,stim/latef.jpg,EF,1,2,0,5,5,43,,,,,,,,,,2,1,0.783032921557,,,,,,PLC_L_D1S2,P33,60.0176947077,01,B,2015_Aug_21_1741,Y,
stim/posf.jpg,stim/negf.jpg,stim/1.jpg,stim/3.jpg,stim/latef.jpg,EF,2,4,0,6,6,50,,,,,,,,,,2,0,1.13303195314,,,,,,PLC_L_D1S2,P33,60.0176947077,01,B,2015_Aug_21_1741,Y,
stim/negf.jpg,stim/posf.jpg,stim/3.jpg,stim/1.jpg,stim/latef.jpg,EF,1,2,0,7,7,48,,,,,,,,,,2,1,0.916348367306,,,,,,PLC_L_D1S2,P33,60.0176947077,01,B,2015_Aug_21_1741,Y,
stim/posf.jpg,stim/negf.jpg,stim/6.jpg,stim/4.jpg,stim/latef.jpg,AB,2,4,0,8,8,12,,,,,,,,,,2,0,1.08292089834,,,,,,PLC_L_D1S2,P33,60.0176947077,01,B,2015_Aug_21_1741,Y,
stim/posf.jpg,stim/negf.jpg,stim/2.jpg,stim/5.jpg,stim/latef.jpg,CD,2,4,0,9,9,30,,,,,,,,,,2,0,1.26622768851,,,,,,PLC_L_D1S2,P33,60.0176947077,01,B,2015_Aug_21_1741,Y,
stim/posf.jpg,stim/negf.jpg,stim/5.jpg,stim/2.jpg,stim/latef.jpg,CD,1,2,0,10,10,20,,,,,,,,,,2,1,1.24959689927,,,,,,PLC_L_D1S2,P33,60.0176947077,01,B,2015_Aug_21_1741,Y,
stim/posf.jpg,stim/negf.jpg,stim/4.jpg,stim/6.jpg,stim/latef.jpg,AB,1,2,0,11,11,4,,,,,,,,,,2,1,1.43286686265,,,,,,PLC_L_D1S2,P33,60.0176947077,01,B,2015_Aug_21_1741,Y,
stim/negf.jpg,stim/posf.jpg,stim/5.jpg,stim/2.jpg,stim/latef.jpg,CD,1,2,0,12,12,28,,,,,,,,,,2,1,1.59948627454,,,,,,PLC_L_D1S2,P33,60.0176947077,01,B,2015_Aug_21_1741,Y,
stim/negf.jpg,stim/posf.jpg,stim/3.jpg,stim/1.jpg,stim/latef.jpg,EF,1,2,0,13,13,47,,,,,,,,,,None,0,,,,,,,PLC_L_D1S2,P33,60.0176947077,01,B,2015_Aug_21_1741,Y,
stim/posf.jpg,stim/negf.jpg,stim/6.jpg,stim/4.jpg,stim/latef.jpg,AB,2,4,0,14,14,11,,,,,,,,,,4,1,1.132978937,,,,,,PLC_L_D1S2,P33,60.0176947077,01,B,2015_Aug_21_1741,Y,
stim/posf.jpg,stim/negf.jpg,stim/5.jpg,stim/2.jpg,stim/latef.jpg,CD,1,2,0,15,15,22,,,,,,,,,,4,0,1.41616797468,,,,,,PLC_L_D1S2,P33,60.0176947077,01,B,2015_Aug_21_1741,Y,
stim/posf.jpg,stim/negf.jpg,stim/5.jpg,stim/2.jpg,stim/latef.jpg,CD,1,2,0,16,16,21,,,,,,,,,,2,1,0.783005787926,,,,,,PLC_L_D1S2,P33,60.0176947077,01,B,2015_Aug_21_1741,Y,
stim/posf.jpg,stim/negf.jpg,stim/1.jpg,stim/3.jpg,stim/latef.jpg,EF,2,4,0,17,17,52,,,,,,,,,,4,1,1.24960173833,,,,,,PLC_L_D1S2,P33,60.0176947077,01,B,2015_Aug_21_1741,Y,
stim/posf.jpg,stim/negf.jpg,stim/3.jpg,stim/1.jpg,stim/latef.jpg,EF,1,2,0,18,18,45,,,,,,,,,,2,1,1.11627361599,,,,,,PLC_L_D1S2,P33,60.0176947077,01,B,2015_Aug_21_1741,Y,
stim/posf.jpg,stim/negf.jpg,stim/3.jpg,stim/1.jpg,stim/latef.jpg,EF,1,2,0,19,19,41,,,,,,,,,,2,1,1.4162324554,,,,,,PLC_L_D1S2,P33,60.0176947077,01,B,2015_Aug_21_1741,Y,
stim/posf.jpg,stim/negf.jpg,stim/5.jpg,stim/2.jpg,stim/latef.jpg,CD,1,2,0,20,20,23,,,,,,,,,,2,1,1.21626525515,,,,,,PLC_L_D1S2,P33,60.0176947077,01,B,2015_Aug_21_1741,Y,
stim/posf.jpg,stim/negf.jpg,stim/2.jpg,stim/5.jpg,stim/latef.jpg,CD,2,4,0,21,21,31,,,,,,,,,,None,0,,,,,,,PLC_L_D1S2,P33,60.0176947077,01,B,2015_Aug_21_1741,Y,
stim/negf.jpg,stim/posf.jpg,stim/5.jpg,stim/2.jpg,stim/latef.jpg,CD,1,2,0,22,22,29,,,,,,,,,,4,0,0.333273930271,,,,,,PLC_L_D1S2,P33,60.0176947077,01,B,2015_Aug_21_1741,Y,
stim/negf.jpg,stim/posf.jpg,stim/3.jpg,stim/1.jpg,stim/latef.jpg,EF,1,2,0,23,23,49,,,,,,,,,,2,1,1.34949894813,,,,,,PLC_L_D1S2,P33,60.0176947077,01,B,2015_Aug_21_1741,Y,
stim/posf.jpg,stim/negf.jpg,stim/5.jpg,stim/2.jpg,stim/latef.jpg,CD,1,2,0,24,24,25,,,,,,,,,,4,0,1.66615457628,,,,,,PLC_L_D1S2,P33,60.0176947077,01,B,2015_Aug_21_1741,Y,
stim/posf.jpg,stim/negf.jpg,stim/4.jpg,stim/6.jpg,stim/latef.jpg,AB,1,2,0,25,25,5,,,,,,,,,,None,0,,,,,,,PLC_L_D1S2,P33,60.0176947077,01,B,2015_Aug_21_1741,Y,
stim/negf.jpg,stim/posf.jpg,stim/3.jpg,stim/1.jpg,stim/latef.jpg,EF,1,2,0,26,26,46,,,,,,,,,,2,1,0.333151798859,,,,,,PLC_L_D1S2,P33,60.0176947077,01,B,2015_Aug_21_1741,Y,
stim/negf.jpg,stim/posf.jpg,stim/1.jpg,stim/3.jpg,stim/latef.jpg,EF,2,4,0,27,27,55,,,,,,,,,,2,0,0.982998446629,,,,,,PLC_L_D1S2,P33,60.0176947077,01,B,2015_Aug_21_1741,Y,
stim/posf.jpg,stim/negf.jpg,stim/3.jpg,stim/1.jpg,stim/latef.jpg,EF,1,2,0,28,28,40,,,,,,,,,,2,1,0.949747842497,,,,,,PLC_L_D1S2,P33,60.0176947077,01,B,2015_Aug_21_1741,Y,
stim/posf.jpg,stim/negf.jpg,stim/2.jpg,stim/5.jpg,stim/latef.jpg,CD,2,4,0,29,29,32,,,,,,,,,,2,0,0.916409371358,,,,,,PLC_L_D1S2,P33,60.0176947077,01,B,2015_Aug_21_1741,Y,
stim/negf.jpg,stim/posf.jpg,stim/2.jpg,stim/5.jpg,stim/latef.jpg,CD,2,4,0,30,30,37,,,,,,,,,,4,1,0.866343949294,,,,,,PLC_L_D1S2,P33,60.0176947077,01,B,2015_Aug_21_1741,Y,
stim/negf.jpg,stim/posf.jpg,stim/1.jpg,stim/3.jpg,stim/latef.jpg,EF,2,4,0,31,31,58,,,,,,,,,,4,1,1.49951943218,,,,,,PLC_L_D1S2,P33,60.0176947077,01,B,2015_Aug_21_1741,Y,
stim/negf.jpg,stim/posf.jpg,stim/6.jpg,stim/4.jpg,stim/latef.jpg,AB,2,4,0,32,32,16,,,,,,,,,,4,1,1.26621846152,,,,,,PLC_L_D1S2,P33,60.0176947077,01,B,2015_Aug_21_1741,Y,
stim/negf.jpg,stim/posf.jpg,stim/1.jpg,stim/3.jpg,stim/latef.jpg,EF,2,4,0,33,33,57,,,,,,,,,,2,0,1.29955402441,,,,,,PLC_L_D1S2,P33,60.0176947077,01,B,2015_Aug_21_1741,Y,
stim/posf.jpg,stim/negf.jpg,stim/4.jpg,stim/6.jpg,stim/latef.jpg,AB,1,2,0,34,34,0,,,,,,,,,,4,0,1.11629923985,,,,,,PLC_L_D1S2,P33,60.0176947077,01,B,2015_Aug_21_1741,Y,
stim/negf.jpg,stim/posf.jpg,stim/1.jpg,stim/3.jpg,stim/latef.jpg,EF,2,4,0,35,35,59,,,,,,,,,,2,0,0.999673094187,,,,,,PLC_L_D1S2,P33,60.0176947077,01,B,2015_Aug_21_1741,Y,
stim/posf.jpg,stim/negf.jpg,stim/3.jpg,stim/1.jpg,stim/latef.jpg,EF,1,2,0,36,36,44,,,,,,,,,,2,1,1.53283954857,,,,,,PLC_L_D1S2,P33,60.0176947077,01,B,2015_Aug_21_1741,Y,
stim/posf.jpg,stim/negf.jpg,stim/2.jpg,stim/5.jpg,stim/latef.jpg,CD,2,4,0,37,37,33,,,,,,,,,,2,0,1.16629331509,,,,,,PLC_L_D1S2,P33,60.0176947077,01,B,2015_Aug_21_1741,Y,
stim/negf.jpg,stim/posf.jpg,stim/6.jpg,stim/4.jpg,stim/latef.jpg,AB,2,4,0,38,38,19,,,,,,,,,,2,0,1.41622604943,,,,,,PLC_L_D1S2,P33,60.0176947077,01,B,2015_Aug_21_1741,Y,
stim/posf.jpg,stim/negf.jpg,stim/1.jpg,stim/3.jpg,stim/latef.jpg,EF,2,4,0,39,39,51,,,,,,,,,,4,1,1.14961733521,,,,,,PLC_L_D1S2,P33,60.0176947077,01,B,2015_Aug_21_1741,Y,
stim/posf.jpg,stim/negf.jpg,stim/6.jpg,stim/4.jpg,stim/latef.jpg,AB,2,4,0,40,40,13,,,,,,,,,,2,0,1.39949306547,,,,,,PLC_L_D1S2,P33,60.0176947077,01,B,2015_Aug_21_1741,Y,
stim/negf.jpg,stim/posf.jpg,stim/4.jpg,stim/6.jpg,stim/latef.jpg,AB,1,2,0,41,41,8,,,,,,,,,,2,1,1.19958086631,,,,,,PLC_L_D1S2,P33,60.0176947077,01,B,2015_Aug_21_1741,Y,
stim/negf.jpg,stim/posf.jpg,stim/2.jpg,stim/5.jpg,stim/latef.jpg,CD,2,4,0,42,42,36,,,,,,,,,,4,1,1.16637318516,,,,,,PLC_L_D1S2,P33,60.0176947077,01,B,2015_Aug_21_1741,Y,
stim/negf.jpg,stim/posf.jpg,stim/6.jpg,stim/4.jpg,stim/latef.jpg,AB,2,4,0,43,43,18,,,,,,,,,,2,0,0.983016651003,,,,,,PLC_L_D1S2,P33,60.0176947077,01,B,2015_Aug_21_1741,Y,
stim/posf.jpg,stim/negf.jpg,stim/4.jpg,stim/6.jpg,stim/latef.jpg,AB,1,2,0,44,44,1,,,,,,,,,,4,0,1.18295006805,,,,,,PLC_L_D1S2,P33,60.0176947077,01,B,2015_Aug_21_1741,Y,
stim/posf.jpg,stim/negf.jpg,stim/1.jpg,stim/3.jpg,stim/latef.jpg,EF,2,4,0,45,45,53,,,,,,,,,,4,1,1.66611959609,,,,,,PLC_L_D1S2,P33,60.0176947077,01,B,2015_Aug_21_1741,Y,
stim/posf.jpg,stim/negf.jpg,stim/5.jpg,stim/2.jpg,stim/latef.jpg,CD,1,2,0,46,46,24,,,,,,,,,,4,0,1.39958843317,,,,,,PLC_L_D1S2,P33,60.0176947077,01,B,2015_Aug_21_1741,Y,
stim/posf.jpg,stim/negf.jpg,stim/1.jpg,stim/3.jpg,stim/latef.jpg,EF,2,4,0,47,47,54,,,,,,,,,,4,1,1.21627735731,,,,,,PLC_L_D1S2,P33,60.0176947077,01,B,2015_Aug_21_1741,Y,
stim/posf.jpg,stim/negf.jpg,stim/4.jpg,stim/6.jpg,stim/latef.jpg,AB,1,2,0,48,48,3,,,,,,,,,,4,0,1.2496452538,,,,,,PLC_L_D1S2,P33,60.0176947077,01,B,2015_Aug_21_1741,Y,
stim/negf.jpg,stim/posf.jpg,stim/5.jpg,stim/2.jpg,stim/latef.jpg,CD,1,2,0,49,49,27,,,,,,,,,,2,1,1.28291401117,,,,,,PLC_L_D1S2,P33,60.0176947077,01,B,2015_Aug_21_1741,Y,
stim/posf.jpg,stim/negf.jpg,stim/6.jpg,stim/4.jpg,stim/latef.jpg,AB,2,4,0,50,50,10,,,,,,,,,,4,1,1.14962527801,,,,,,PLC_L_D1S2,P33,60.0176947077,01,B,2015_Aug_21_1741,Y,
stim/negf.jpg,stim/posf.jpg,stim/4.jpg,stim/6.jpg,stim/latef.jpg,AB,1,2,0,51,51,6,,,,,,,,,,4,0,1.21621097586,,,,,,PLC_L_D1S2,P33,60.0176947077,01,B,2015_Aug_21_1741,Y,
stim/negf.jpg,stim/posf.jpg,stim/2.jpg,stim/5.jpg,stim/latef.jpg,CD,2,4,0,52,52,39,,,,,,,,,,2,0,1.01636549199,,,,,,PLC_L_D1S2,P33,60.0176947077,01,B,2015_Aug_21_1741,Y,
stim/negf.jpg,stim/posf.jpg,stim/4.jpg,stim/6.jpg,stim/latef.jpg,AB,1,2,0,53,53,7,,,,,,,,,,4,0,1.19958907677,,,,,,PLC_L_D1S2,P33,60.0176947077,01,B,2015_Aug_21_1741,Y,
stim/posf.jpg,stim/negf.jpg,stim/2.jpg,stim/5.jpg,stim/latef.jpg,CD,2,4,0,54,54,34,,,,,,,,,,2,0,0.733096091007,,,,,,PLC_L_D1S2,P33,60.0176947077,01,B,2015_Aug_21_1741,Y,
stim/negf.jpg,stim/posf.jpg,stim/5.jpg,stim/2.jpg,stim/latef.jpg,CD,1,2,0,55,55,26,,,,,,,,,,2,1,0.999665431087,,,,,,PLC_L_D1S2,P33,60.0176947077,01,B,2015_Aug_21_1741,Y,
stim/negf.jpg,stim/posf.jpg,stim/2.jpg,stim/5.jpg,stim/latef.jpg,CD,2,4,0,56,56,38,,,,,,,,,,2,0,0.999675876122,,,,,,PLC_L_D1S2,P33,60.0176947077,01,B,2015_Aug_21_1741,Y,
stim/negf.jpg,stim/posf.jpg,stim/6.jpg,stim/4.jpg,stim/latef.jpg,AB,2,4,0,57,57,17,,,,,,,,,,2,0,1.13290389997,,,,,,PLC_L_D1S2,P33,60.0176947077,01,B,2015_Aug_21_1741,Y,
stim/posf.jpg,stim/negf.jpg,stim/2.jpg,stim/5.jpg,stim/latef.jpg,CD,2,4,0,58,58,35,,,,,,,,,,2,0,0.999673148322,,,,,,PLC_L_D1S2,P33,60.0176947077,01,B,2015_Aug_21_1741,Y,
stim/posf.jpg,stim/negf.jpg,stim/6.jpg,stim/4.jpg,stim/latef.jpg,AB,2,4,0,59,59,14,,,,,,,,,,2,0,0.883057174006,,,,,,PLC_L_D1S2,P33,60.0176947077,01,B,2015_Aug_21_1741,Y,
,,,,,,,,,,,,,,,,,,,,,,,,0.96875,1.0,1,0,0,PLC_L_D1S2,P33,60.0176947077,01,B,2015_Aug_21_1741,Y,
stim/posf.jpg,stim/negf.jpg,stim/4.jpg,stim/6.jpg,stim/latef.jpg,AB,1,2,,,,,0,0,0,2,,,,,,4,0,0.966350725183,,,,,,PLC_L_D1S2,P33,60.0176947077,01,B,2015_Aug_21_1741,Y,
stim/posf.jpg,stim/negf.jpg,stim/6.jpg,stim/4.jpg,stim/latef.jpg,AB,2,4,,,,,0,1,1,13,,,,,,4,1,0.899679328727,,,,,,PLC_L_D1S2,P33,60.0176947077,01,B,2015_Aug_21_1741,Y,
stim/negf.jpg,stim/posf.jpg,stim/1.jpg,stim/3.jpg,stim/latef.jpg,EF,2,4,,,,,0,2,2,58,,,,,,4,1,1.03301955925,,,,,,PLC_L_D1S2,P33,60.0176947077,01,B,2015_Aug_21_1741,Y,
stim/posf.jpg,stim/negf.jpg,stim/5.jpg,stim/2.jpg,stim/latef.jpg,CD,1,2,,,,,0,3,3,25,,,,,,4,0,1.16634063503,,,,,,PLC_L_D1S2,P33,60.0176947077,01,B,2015_Aug_21_1741,Y,
stim/posf.jpg,stim/negf.jpg,stim/4.jpg,stim/6.jpg,stim/latef.jpg,AB,1,2,,,,,0,4,4,3,,,,,,2,1,0.983049128954,,,,,,PLC_L_D1S2,P33,60.0176947077,01,B,2015_Aug_21_1741,Y,
stim/posf.jpg,stim/negf.jpg,stim/2.jpg,stim/5.jpg,stim/latef.jpg,CD,2,4,,,,,0,5,5,33,,,,,,4,1,0.933015354772,,,,,,PLC_L_D1S2,P33,60.0176947077,01,B,2015_Aug_21_1741,Y,
stim/negf.jpg,stim/posf.jpg,stim/4.jpg,stim/6.jpg,stim/latef.jpg,AB,1,2,,,,,0,6,6,6,,,,,,4,0,1.24956736867,,,,,,PLC_L_D1S2,P33,60.0176947077,01,B,2015_Aug_21_1741,Y,
stim/negf.jpg,stim/posf.jpg,stim/6.jpg,stim/4.jpg,stim/latef.jpg,AB,2,4,,,,,0,7,7,17,,,,,,2,0,1.03290867287,,,,,,PLC_L_D1S2,P33,60.0176947077,01,B,2015_Aug_21_1741,Y,
stim/posf.jpg,stim/negf.jpg,stim/2.jpg,stim/5.jpg,stim/latef.jpg,CD,2,4,,,,,0,8,8,35,,,,,,2,0,1.61617048594,,,,,,PLC_L_D1S2,P33,60.0176947077,01,B,2015_Aug_21_1741,Y,
stim/negf.jpg,stim/posf.jpg,stim/1.jpg,stim/3.jpg,stim/latef.jpg,EF,2,4,,,,,0,9,9,56,,,,,,4,1,1.21626969121,,,,,,PLC_L_D1S2,P33,60.0176947077,01,B,2015_Aug_21_1741,Y,
stim/posf.jpg,stim/negf.jpg,stim/1.jpg,stim/3.jpg,stim/latef.jpg,EF,2,4,,,,,0,10,10,52,,,,,,2,0,0.649819423915,,,,,,PLC_L_D1S2,P33,60.0176947077,01,B,2015_Aug_21_1741,Y,
stim/posf.jpg,stim/negf.jpg,stim/3.jpg,stim/1.jpg,stim/latef.jpg,EF,1,2,,,,,0,11,11,43,,,,,,2,1,0.83302843738,,,,,,PLC_L_D1S2,P33,60.0176947077,01,B,2015_Aug_21_1741,Y,
stim/posf.jpg,stim/negf.jpg,stim/1.jpg,stim/3.jpg,stim/latef.jpg,EF,2,4,,,,,0,12,12,54,,,,,,4,1,0.899706772129,,,,,,PLC_L_D1S2,P33,60.0176947077,01,B,2015_Aug_21_1741,Y,
stim/posf.jpg,stim/negf.jpg,stim/3.jpg,stim/1.jpg,stim/latef.jpg,EF,1,2,,,,,0,13,13,42,,,,,,2,1,1.4161717972,,,,,,PLC_L_D1S2,P33,60.0176947077,01,B,2015_Aug_21_1741,Y,
stim/negf.jpg,stim/posf.jpg,stim/2.jpg,stim/5.jpg,stim/latef.jpg,CD,2,4,,,,,0,14,14,39,,,,,,None,0,,,,,,,PLC_L_D1S2,P33,60.0176947077,01,B,2015_Aug_21_1741,Y,
stim/posf.jpg,stim/negf.jpg,stim/6.jpg,stim/4.jpg,stim/latef.jpg,AB,2,4,,,,,0,15,15,15,,,,,,4,1,1.53282743438,,,,,,PLC_L_D1S2,P33,60.0176947077,01,B,2015_Aug_21_1741,Y,
stim/posf.jpg,stim/negf.jpg,stim/2.jpg,stim/5.jpg,stim/latef.jpg,CD,2,4,,,,,0,16,16,30,,,,,,4,1,1.33292181863,,,,,,PLC_L_D1S2,P33,60.0176947077,01,B,2015_Aug_21_1741,Y,
stim/posf.jpg,stim/negf.jpg,stim/1.jpg,stim/3.jpg,stim/latef.jpg,EF,2,4,,,,,0,17,17,50,,,,,,4,1,1.0329877219,,,,,,PLC_L_D1S2,P33,60.0176947077,01,B,2015_Aug_21_1741,Y,
stim/posf.jpg,stim/negf.jpg,stim/6.jpg,stim/4.jpg,stim/latef.jpg,AB,2,4,,,,,0,18,18,12,,,,,,4,1,1.23288492267,,,,,,PLC_L_D1S2,P33,60.0176947077,01,B,2015_Aug_21_1741,Y,
stim/posf.jpg,stim/negf.jpg,stim/5.jpg,stim/2.jpg,stim/latef.jpg,CD,1,2,,,,,0,19,19,21,,,,,,None,0,,,,,,,PLC_L_D1S2,P33,60.0176947077,01,B,2015_Aug_21_1741,Y,
stim/posf.jpg,stim/negf.jpg,stim/1.jpg,stim/3.jpg,stim/latef.jpg,EF,2,4,,,,,0,20,20,55,,,,,,4,1,1.18297842272,,,,,,PLC_L_D1S2,P33,60.0176947077,01,B,2015_Aug_21_1741,Y,
stim/negf.jpg,stim/posf.jpg,stim/2.jpg,stim/5.jpg,stim/latef.jpg,CD,2,4,,,,,0,21,21,37,,,,,,2,0,1.03298898805,,,,,,PLC_L_D1S2,P33,60.0176947077,01,B,2015_Aug_21_1741,Y,
stim/posf.jpg,stim/negf.jpg,stim/2.jpg,stim/5.jpg,stim/latef.jpg,CD,2,4,,,,,0,22,22,31,,,,,,2,0,0.949654598086,,,,,,PLC_L_D1S2,P33,60.0176947077,01,B,2015_Aug_21_1741,Y,
stim/negf.jpg,stim/posf.jpg,stim/4.jpg,stim/6.jpg,stim/latef.jpg,AB,1,2,,,,,0,23,23,9,,,,,,None,0,,,,,,,PLC_L_D1S2,P33,60.0176947077,01,B,2015_Aug_21_1741,Y,
stim/posf.jpg,stim/negf.jpg,stim/5.jpg,stim/2.jpg,stim/latef.jpg,CD,1,2,,,,,0,24,24,22,,,,,,2,1,1.23294372524,,,,,,PLC_L_D1S2,P33,60.0176947077,01,B,2015_Aug_21_1741,Y,
stim/negf.jpg,stim/posf.jpg,stim/6.jpg,stim/4.jpg,stim/latef.jpg,AB,2,4,,,,,0,25,25,18,,,,,,4,1,1.21628249412,,,,,,PLC_L_D1S2,P33,60.0176947077,01,B,2015_Aug_21_1741,Y,
stim/posf.jpg,stim/negf.jpg,stim/2.jpg,stim/5.jpg,stim/latef.jpg,CD,2,4,,,,,0,26,26,32,,,,,,2,0,1.33287094684,,,,,,PLC_L_D1S2,P33,60.0176947077,01,B,2015_Aug_21_1741,Y,
stim/posf.jpg,stim/negf.jpg,stim/4.jpg,stim/6.jpg,stim/latef.jpg,AB,1,2,,,,,0,27,27,5,,,,,,4,0,1.36622804941,,,,,,PLC_L_D1S2,P33,60.0176947077,01,B,2015_Aug_21_1741,Y,
stim/negf.jpg,stim/posf.jpg,stim/3.jpg,stim/1.jpg,stim/latef.jpg,EF,1,2,,,,,0,28,28,48,,,,,,2,1,1.11628722491,,,,,,PLC_L_D1S2,P33,60.0176947077,01,B,2015_Aug_21_1741,Y,
stim/negf.jpg,stim/posf.jpg,stim/3.jpg,stim/1.jpg,stim/latef.jpg,EF,1,2,,,,,0,29,29,45,,,,,,4,0,1.53287492274,,,,,,PLC_L_D1S2,P33,60.0176947077,01,B,2015_Aug_21_1741,Y,
stim/posf.jpg,stim/negf.jpg,stim/4.jpg,stim/6.jpg,stim/latef.jpg,AB,1,2,,,,,0,30,30,0,,,,,,2,1,1.31624137262,,,,,,PLC_L_D1S2,P33,60.0176947077,01,B,2015_Aug_21_1741,Y,
stim/negf.jpg,stim/posf.jpg,stim/3.jpg,stim/1.jpg,stim/latef.jpg,EF,1,2,,,,,0,31,31,47,,,,,,4,0,1.2662432102,,,,,,PLC_L_D1S2,P33,60.0176947077,01,B,2015_Aug_21_1741,Y,
