fb_corr,fb_incorr,symbol2,symbol1,fb_late,pair,position,correct,block_01.thisRepN,block_01.thisTrialN,block_01.thisN,block_01.thisIndex,block_02.thisRepN,block_02.thisTrialN,block_02.thisN,block_02.thisIndex,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,buttonBox_2.keys,buttonBox_2.corr,buttonBox_2.rt,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,expName,Participant,frameRate,SessionNumber,Version,date,Group,
,,,,,,,,,,,,,,,,0.821875,-0.826171875,1,0,0,,,,,,,,,PLC_L_D1S2,P4,60.0186231428,01,C,2014_Dez_17_1730,Y,
stim/negf.jpg,stim/posf.jpg,stim/5.jpg,stim/3.jpg,stim/latef.jpg,EF,2,4,0,0,0,56,,,,,,,,,,4,1,0.799771090446,,,,,,PLC_L_D1S2,P4,60.0186231428,01,C,2014_Dez_17_1730,Y,
stim/negf.jpg,stim/posf.jpg,stim/4.jpg,stim/6.jpg,stim/latef.jpg,CD,2,4,0,1,1,36,,,,,,,,,,4,1,0.816397236111,,,,,,PLC_L_D1S2,P4,60.0186231428,01,C,2014_Dez_17_1730,Y,
stim/posf.jpg,stim/negf.jpg,stim/6.jpg,stim/4.jpg,stim/latef.jpg,CD,1,2,0,2,2,20,,,,,,,,,,4,0,0.599761830363,,,,,,PLC_L_D1S2,P4,60.0186231428,01,C,2014_Dez_17_1730,Y,
stim/posf.jpg,stim/negf.jpg,stim/2.jpg,stim/1.jpg,stim/latef.jpg,AB,2,4,0,3,3,12,,,,,,,,,,2,0,0.583123889293,,,,,,PLC_L_D1S2,P4,60.0186231428,01,C,2014_Dez_17_1730,Y,
stim/posf.jpg,stim/negf.jpg,stim/3.jpg,stim/5.jpg,stim/latef.jpg,EF,1,2,0,4,4,42,,,,,,,,,,2,1,0.483197594003,,,,,,PLC_L_D1S2,P4,60.0186231428,01,C,2014_Dez_17_1730,Y,
stim/negf.jpg,stim/posf.jpg,stim/2.jpg,stim/1.jpg,stim/latef.jpg,AB,2,4,0,5,5,18,,,,,,,,,,2,0,0.533167699494,,,,,,PLC_L_D1S2,P4,60.0186231428,01,C,2014_Dez_17_1730,Y,
stim/posf.jpg,stim/negf.jpg,stim/3.jpg,stim/5.jpg,stim/latef.jpg,EF,1,2,0,6,6,40,,,,,,,,,,4,0,0.566526925362,,,,,,PLC_L_D1S2,P4,60.0186231428,01,C,2014_Dez_17_1730,Y,
stim/posf.jpg,stim/negf.jpg,stim/5.jpg,stim/3.jpg,stim/latef.jpg,EF,2,4,0,7,7,52,,,,,,,,,,4,1,0.499801812013,,,,,,PLC_L_D1S2,P4,60.0186231428,01,C,2014_Dez_17_1730,Y,
stim/posf.jpg,stim/negf.jpg,stim/4.jpg,stim/6.jpg,stim/latef.jpg,CD,2,4,0,8,8,34,,,,,,,,,,2,0,0.799709794665,,,,,,PLC_L_D1S2,P4,60.0186231428,01,C,2014_Dez_17_1730,Y,
