fb_corr,fb_incorr,symbol2,symbol1,fb_late,pair,position,correct,block_01.thisRepN,block_01.thisTrialN,block_01.thisN,block_01.thisIndex,block_02.thisRepN,block_02.thisTrialN,block_02.thisN,block_02.thisIndex,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,buttonBox_2.keys,buttonBox_2.corr,buttonBox_2.rt,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,expName,Participant,frameRate,SessionNumber,Version,date,Group,
,,,,,,,,,,,,,,,,0.9984375,1.0,1,0,0,,,,,,,,,PLC_L_D1S2,P8,60.0183653013,01,C,2015_Jan_21_1524,X,
stim/negf.jpg,stim/posf.jpg,stim/5.jpg,stim/2.jpg,stim/latef.jpg,AB,1,2,0,0,0,6,,,,,,,,,,2,1,0.916413732228,,,,,,PLC_L_D1S2,P8,60.0183653013,01,C,2015_Jan_21_1524,X,
stim/negf.jpg,stim/posf.jpg,stim/2.jpg,stim/5.jpg,stim/latef.jpg,AB,2,4,0,1,1,17,,,,,,,,,,2,0,0.799751914647,,,,,,PLC_L_D1S2,P8,60.0183653013,01,C,2015_Jan_21_1524,X,
stim/negf.jpg,stim/posf.jpg,stim/3.jpg,stim/1.jpg,stim/latef.jpg,EF,1,2,0,2,2,47,,,,,,,,,,2,1,0.71644695303,,,,,,PLC_L_D1S2,P8,60.0183653013,01,C,2015_Jan_21_1524,X,
stim/posf.jpg,stim/negf.jpg,stim/3.jpg,stim/1.jpg,stim/latef.jpg,EF,1,2,0,3,3,43,,,,,,,,,,4,0,1.41621825099,,,,,,PLC_L_D1S2,P8,60.0183653013,01,C,2015_Jan_21_1524,X,
stim/negf.jpg,stim/posf.jpg,stim/6.jpg,stim/4.jpg,stim/latef.jpg,CD,2,4,0,4,4,38,,,,,,,,,,4,1,0.966287068518,,,,,,PLC_L_D1S2,P8,60.0183653013,01,C,2015_Jan_21_1524,X,
stim/posf.jpg,stim/negf.jpg,stim/1.jpg,stim/3.jpg,stim/latef.jpg,EF,2,4,0,5,5,50,,,,,,,,,,2,0,0.849725319359,,,,,,PLC_L_D1S2,P8,60.0183653013,01,C,2015_Jan_21_1524,X,
stim/posf.jpg,stim/negf.jpg,stim/6.jpg,stim/4.jpg,stim/latef.jpg,CD,2,4,0,6,6,32,,,,,,,,,,4,1,0.899678739257,,,,,,PLC_L_D1S2,P8,60.0183653013,01,C,2015_Jan_21_1524,X,
stim/posf.jpg,stim/negf.jpg,stim/1.jpg,stim/3.jpg,stim/latef.jpg,EF,2,4,0,7,7,53,,,,,,,,,,2,0,0.766406833031,,,,,,PLC_L_D1S2,P8,60.0183653013,01,C,2015_Jan_21_1524,X,
stim/posf.jpg,stim/negf.jpg,stim/6.jpg,stim/4.jpg,stim/latef.jpg,CD,2,4,0,8,8,33,,,,,,,,,,4,1,0.666455749956,,,,,,PLC_L_D1S2,P8,60.0183653013,01,C,2015_Jan_21_1524,X,
stim/posf.jpg,stim/negf.jpg,stim/5.jpg,stim/2.jpg,stim/latef.jpg,AB,1,2,0,9,9,0,,,,,,,,,,2,1,0.999646835738,,,,,,PLC_L_D1S2,P8,60.0183653013,01,C,2015_Jan_21_1524,X,
stim/negf.jpg,stim/posf.jpg,stim/3.jpg,stim/1.jpg,stim/latef.jpg,EF,1,2,0,10,10,46,,,,,,,,,,4,0,0.716438056857,,,,,,PLC_L_D1S2,P8,60.0183653013,01,C,2015_Jan_21_1524,X,
stim/posf.jpg,stim/negf.jpg,stim/6.jpg,stim/4.jpg,stim/latef.jpg,CD,2,4,0,11,11,34,,,,,,,,,,4,1,0.78305405824,,,,,,PLC_L_D1S2,P8,60.0183653013,01,C,2015_Jan_21_1524,X,
stim/negf.jpg,stim/posf.jpg,stim/2.jpg,stim/5.jpg,stim/latef.jpg,AB,2,4,0,12,12,16,,,,,,,,,,4,1,0.766415930707,,,,,,PLC_L_D1S2,P8,60.0183653013,01,C,2015_Jan_21_1524,X,
stim/posf.jpg,stim/negf.jpg,stim/1.jpg,stim/3.jpg,stim/latef.jpg,EF,2,4,0,13,13,51,,,,,,,,,,2,0,0.666445001165,,,,,,PLC_L_D1S2,P8,60.0183653013,01,C,2015_Jan_21_1524,X,
stim/negf.jpg,stim/posf.jpg,stim/5.jpg,stim/2.jpg,stim/latef.jpg,AB,1,2,0,14,14,9,,,,,,,,,,2,1,0.949686661002,,,,,,PLC_L_D1S2,P8,60.0183653013,01,C,2015_Jan_21_1524,X,
stim/negf.jpg,stim/posf.jpg,stim/3.jpg,stim/1.jpg,stim/latef.jpg,EF,1,2,0,15,15,49,,,,,,,,,,4,0,0.616475626499,,,,,,PLC_L_D1S2,P8,60.0183653013,01,C,2015_Jan_21_1524,X,
stim/posf.jpg,stim/negf.jpg,stim/2.jpg,stim/5.jpg,stim/latef.jpg,AB,2,4,0,16,16,10,,,,,,,,,,4,1,1.13293907865,,,,,,PLC_L_D1S2,P8,60.0183653013,01,C,2015_Jan_21_1524,X,
stim/negf.jpg,stim/posf.jpg,stim/6.jpg,stim/4.jpg,stim/latef.jpg,CD,2,4,0,17,17,37,,,,,,,,,,4,1,0.866425106578,,,,,,PLC_L_D1S2,P8,60.0183653013,01,C,2015_Jan_21_1524,X,
stim/negf.jpg,stim/posf.jpg,stim/4.jpg,stim/6.jpg,stim/latef.jpg,CD,1,2,0,18,18,28,,,,,,,,,,2,1,0.633094072977,,,,,,PLC_L_D1S2,P8,60.0183653013,01,C,2015_Jan_21_1524,X,
stim/negf.jpg,stim/posf.jpg,stim/3.jpg,stim/1.jpg,stim/latef.jpg,EF,1,2,0,19,19,48,,,,,,,,,,4,0,0.866366956639,,,,,,PLC_L_D1S2,P8,60.0183653013,01,C,2015_Jan_21_1524,X,
stim/posf.jpg,stim/negf.jpg,stim/4.jpg,stim/6.jpg,stim/latef.jpg,CD,1,2,0,20,20,21,,,,,,,,,,2,1,0.766366412283,,,,,,PLC_L_D1S2,P8,60.0183653013,01,C,2015_Jan_21_1524,X,
stim/negf.jpg,stim/posf.jpg,stim/1.jpg,stim/3.jpg,stim/latef.jpg,EF,2,4,0,21,21,59,,,,,,,,,,2,0,0.949697319569,,,,,,PLC_L_D1S2,P8,60.0183653013,01,C,2015_Jan_21_1524,X,
stim/posf.jpg,stim/negf.jpg,stim/2.jpg,stim/5.jpg,stim/latef.jpg,AB,2,4,0,22,22,14,,,,,,,,,,4,1,0.883048289863,,,,,,PLC_L_D1S2,P8,60.0183653013,01,C,2015_Jan_21_1524,X,
stim/negf.jpg,stim/posf.jpg,stim/2.jpg,stim/5.jpg,stim/latef.jpg,AB,2,4,0,23,23,18,,,,,,,,,,4,1,1.09964893497,,,,,,PLC_L_D1S2,P8,60.0183653013,01,C,2015_Jan_21_1524,X,
stim/posf.jpg,stim/negf.jpg,stim/1.jpg,stim/3.jpg,stim/latef.jpg,EF,2,4,0,24,24,52,,,,,,,,,,2,0,0.633108376628,,,,,,PLC_L_D1S2,P8,60.0183653013,01,C,2015_Jan_21_1524,X,
