fb_corr,fb_incorr,symbol2,symbol1,fb_late,pair,position,correct,block_01.thisRepN,block_01.thisTrialN,block_01.thisN,block_01.thisIndex,block_02.thisRepN,block_02.thisTrialN,block_02.thisN,block_02.thisIndex,block_03.thisRepN,block_03.thisTrialN,block_03.thisN,block_03.thisIndex,block_04.thisRepN,block_04.thisTrialN,block_04.thisN,block_04.thisIndex,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,buttonBox_2.keys,buttonBox_2.corr,buttonBox_2.rt,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,expName,Participant,frameRate,SessionNumber,Version,date,Group,
,,,,,,,,,,,,,,,,,,,,,,,,0.9984375,1.0,1,0,0,,,,,,,,,PLC_L_D2S1,P14,60.0251470939,02,A,2015_Feb_05_1638,Y,
stim/posf.jpg,stim/negf.jpg,stim/3.jpg,stim/5.jpg,stim/latef.jpg,CD,2,4,0,0,0,34,,,,,,,,,,,,,,,,,,2,0,0.949725427157,,,,,,PLC_L_D2S1,P14,60.0251470939,02,A,2015_Feb_05_1638,Y,
stim/negf.jpg,stim/posf.jpg,stim/1.jpg,stim/6.jpg,stim/latef.jpg,EF,2,4,0,1,1,57,,,,,,,,,,,,,,,,,,4,1,1.0995758123,,,,,,PLC_L_D2S1,P14,60.0251470939,02,A,2015_Feb_05_1638,Y,
stim/negf.jpg,stim/posf.jpg,stim/2.jpg,stim/4.jpg,stim/latef.jpg,AB,2,4,0,2,2,19,,,,,,,,,,,,,,,,,,2,0,0.949675842754,,,,,,PLC_L_D2S1,P14,60.0251470939,02,A,2015_Feb_05_1638,Y,
stim/negf.jpg,stim/posf.jpg,stim/2.jpg,stim/4.jpg,stim/latef.jpg,AB,2,4,0,3,3,18,,,,,,,,,,,,,,,,,,2,0,0.649793636913,,,,,,PLC_L_D2S1,P14,60.0251470939,02,A,2015_Feb_05_1638,Y,
stim/posf.jpg,stim/negf.jpg,stim/1.jpg,stim/6.jpg,stim/latef.jpg,EF,2,4,0,4,4,54,,,,,,,,,,,,,,,,,,2,0,1.04964089277,,,,,,PLC_L_D2S1,P14,60.0251470939,02,A,2015_Feb_05_1638,Y,
stim/posf.jpg,stim/negf.jpg,stim/1.jpg,stim/6.jpg,stim/latef.jpg,EF,2,4,0,5,5,55,,,,,,,,,,,,,,,,,,2,0,1.26618354831,,,,,,PLC_L_D2S1,P14,60.0251470939,02,A,2015_Feb_05_1638,Y,
stim/posf.jpg,stim/negf.jpg,stim/2.jpg,stim/4.jpg,stim/latef.jpg,AB,2,4,0,6,6,11,,,,,,,,,,,,,,,,,,2,0,0.99970215975,,,,,,PLC_L_D2S1,P14,60.0251470939,02,A,2015_Feb_05_1638,Y,
stim/posf.jpg,stim/negf.jpg,stim/3.jpg,stim/5.jpg,stim/latef.jpg,CD,2,4,0,7,7,35,,,,,,,,,,,,,,,,,,4,1,1.03298698436,,,,,,PLC_L_D2S1,P14,60.0251470939,02,A,2015_Feb_05_1638,Y,
stim/negf.jpg,stim/posf.jpg,stim/1.jpg,stim/6.jpg,stim/latef.jpg,EF,2,4,0,8,8,56,,,,,,,,,,,,,,,,,,4,1,1.14962647188,,,,,,PLC_L_D2S1,P14,60.0251470939,02,A,2015_Feb_05_1638,Y,
