fb_corr,fb_incorr,symbol2,symbol1,fb_late,pair,position,correct,block_01.thisRepN,block_01.thisTrialN,block_01.thisN,block_01.thisIndex,block_02.thisRepN,block_02.thisTrialN,block_02.thisN,block_02.thisIndex,block_03.thisRepN,block_03.thisTrialN,block_03.thisN,block_03.thisIndex,block_04.thisRepN,block_04.thisTrialN,block_04.thisN,block_04.thisIndex,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,buttonBox_2.keys,buttonBox_2.corr,buttonBox_2.rt,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,expName,Participant,frameRate,SessionNumber,Version,date,Group,
,,,,,,,,,,,,,,,,,,,,,,,,-1.0,-0.541015625,1,0,0,,,,,,,,,PLC_L_D2S1,P23,60.0157721476,02,A,2015_Mrz_05_1429,Y,
stim/posf.jpg,stim/negf.jpg,stim/4.jpg,stim/2.jpg,stim/latef.jpg,EF,1,2,0,0,0,41,,,,,,,,,,,,,,,,,,4,0,1.01632072119,,,,,,PLC_L_D2S1,P23,60.0157721476,02,A,2015_Mrz_05_1429,Y,
stim/posf.jpg,stim/negf.jpg,stim/3.jpg,stim/1.jpg,stim/latef.jpg,CD,1,2,0,1,1,25,,,,,,,,,,,,,,,,,,2,1,1.31624145292,,,,,,PLC_L_D2S1,P23,60.0157721476,02,A,2015_Mrz_05_1429,Y,
stim/posf.jpg,stim/negf.jpg,stim/3.jpg,stim/1.jpg,stim/latef.jpg,CD,1,2,0,2,2,26,,,,,,,,,,,,,,,,,,2,1,0.899761647801,,,,,,PLC_L_D2S1,P23,60.0157721476,02,A,2015_Mrz_05_1429,Y,
stim/posf.jpg,stim/negf.jpg,stim/5.jpg,stim/6.jpg,stim/latef.jpg,AB,2,4,0,3,3,14,,,,,,,,,,,,,,,,,,2,0,1.19956727405,,,,,,PLC_L_D2S1,P23,60.0157721476,02,A,2015_Mrz_05_1429,Y,
stim/posf.jpg,stim/negf.jpg,stim/2.jpg,stim/4.jpg,stim/latef.jpg,EF,2,4,0,4,4,52,,,,,,,,,,,,,,,,,,2,0,1.0163259482,,,,,,PLC_L_D2S1,P23,60.0157721476,02,A,2015_Mrz_05_1429,Y,
stim/negf.jpg,stim/posf.jpg,stim/6.jpg,stim/5.jpg,stim/latef.jpg,AB,1,2,0,5,5,9,,,,,,,,,,,,,,,,,,2,1,1.24958259569,,,,,,PLC_L_D2S1,P23,60.0157721476,02,A,2015_Mrz_05_1429,Y,
stim/posf.jpg,stim/negf.jpg,stim/5.jpg,stim/6.jpg,stim/latef.jpg,AB,2,4,0,6,6,17,,,,,,,,,,,,,,,,,,4,1,0.833016514851,,,,,,PLC_L_D2S1,P23,60.0157721476,02,A,2015_Mrz_05_1429,Y,
stim/posf.jpg,stim/negf.jpg,stim/6.jpg,stim/5.jpg,stim/latef.jpg,AB,1,2,0,7,7,0,,,,,,,,,,,,,,,,,,2,1,0.733099506397,,,,,,PLC_L_D2S1,P23,60.0157721476,02,A,2015_Mrz_05_1429,Y,
stim/posf.jpg,stim/negf.jpg,stim/6.jpg,stim/5.jpg,stim/latef.jpg,AB,1,2,0,8,8,3,,,,,,,,,,,,,,,,,,2,1,1.13301728777,,,,,,PLC_L_D2S1,P23,60.0157721476,02,A,2015_Mrz_05_1429,Y,
stim/posf.jpg,stim/negf.jpg,stim/1.jpg,stim/3.jpg,stim/latef.jpg,CD,2,4,0,9,9,33,,,,,,,,,,,,,,,,,,4,1,1.01636591768,,,,,,PLC_L_D2S1,P23,60.0157721476,02,A,2015_Mrz_05_1429,Y,
stim/posf.jpg,stim/negf.jpg,stim/2.jpg,stim/4.jpg,stim/latef.jpg,EF,2,4,0,10,10,51,,,,,,,,,,,,,,,,,,2,0,0.949625491442,,,,,,PLC_L_D2S1,P23,60.0157721476,02,A,2015_Mrz_05_1429,Y,
stim/posf.jpg,stim/negf.jpg,stim/6.jpg,stim/5.jpg,stim/latef.jpg,AB,1,2,0,11,11,1,,,,,,,,,,,,,,,,,,2,1,0.766326127149,,,,,,PLC_L_D2S1,P23,60.0157721476,02,A,2015_Mrz_05_1429,Y,
