fb_corr,fb_incorr,symbol2,symbol1,fb_late,pair,position,correct,block_01.thisRepN,block_01.thisTrialN,block_01.thisN,block_01.thisIndex,block_02.thisRepN,block_02.thisTrialN,block_02.thisN,block_02.thisIndex,block_03.thisRepN,block_03.thisTrialN,block_03.thisN,block_03.thisIndex,block_04.thisRepN,block_04.thisTrialN,block_04.thisN,block_04.thisIndex,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,buttonBox_2.keys,buttonBox_2.corr,buttonBox_2.rt,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,expName,Participant,frameRate,SessionNumber,Version,date,Group,
,,,,,,,,,,,,,,,,,,,,,,,,0.9984375,1.0,1,0,0,,,,,,,,,PLC_L_D2S1,P28,60.0244297577,02,B,2015_Aug_04_1423,Y,
stim/posf.jpg,stim/negf.jpg,stim/4.jpg,stim/6.jpg,stim/latef.jpg,EF,2,4,0,0,0,51,,,,,,,,,,,,,,,,,,4,1,0.549867395481,,,,,,PLC_L_D2S1,P28,60.0244297577,02,B,2015_Aug_04_1423,Y,
stim/negf.jpg,stim/posf.jpg,stim/3.jpg,stim/5.jpg,stim/latef.jpg,CD,2,4,0,1,1,37,,,,,,,,,,,,,,,,,,2,0,0.783072260087,,,,,,PLC_L_D2S1,P28,60.0244297577,02,B,2015_Aug_04_1423,Y,
stim/posf.jpg,stim/negf.jpg,stim/6.jpg,stim/4.jpg,stim/latef.jpg,EF,1,2,0,2,2,45,,,,,,,,,,,,,,,,,,2,1,0.76641682387,,,,,,PLC_L_D2S1,P28,60.0244297577,02,B,2015_Aug_04_1423,Y,
stim/posf.jpg,stim/negf.jpg,stim/3.jpg,stim/5.jpg,stim/latef.jpg,CD,2,4,0,3,3,36,,,,,,,,,,,,,,,,,,2,0,0.599796161697,,,,,,PLC_L_D2S1,P28,60.0244297577,02,B,2015_Aug_04_1423,Y,
stim/posf.jpg,stim/negf.jpg,stim/6.jpg,stim/4.jpg,stim/latef.jpg,EF,1,2,0,4,4,43,,,,,,,,,,,,,,,,,,2,1,0.516452124224,,,,,,PLC_L_D2S1,P28,60.0244297577,02,B,2015_Aug_04_1423,Y,
stim/posf.jpg,stim/negf.jpg,stim/5.jpg,stim/3.jpg,stim/latef.jpg,CD,1,2,0,5,5,25,,,,,,,,,,,,,,,,,,2,1,0.533168654489,,,,,,PLC_L_D2S1,P28,60.0244297577,02,B,2015_Aug_04_1423,Y,
stim/negf.jpg,stim/posf.jpg,stim/6.jpg,stim/4.jpg,stim/latef.jpg,EF,1,2,0,6,6,48,,,,,,,,,,,,,,,,,,2,1,0.683106172487,,,,,,PLC_L_D2S1,P28,60.0244297577,02,B,2015_Aug_04_1423,Y,
stim/negf.jpg,stim/posf.jpg,stim/4.jpg,stim/6.jpg,stim/latef.jpg,EF,2,4,0,7,7,58,,,,,,,,,,,,,,,,,,4,1,0.982996011323,,,,,,PLC_L_D2S1,P28,60.0244297577,02,B,2015_Aug_04_1423,Y,
stim/posf.jpg,stim/negf.jpg,stim/5.jpg,stim/3.jpg,stim/latef.jpg,CD,1,2,0,8,8,24,,,,,,,,,,,,,,,,,,4,0,1.08297151837,,,,,,PLC_L_D2S1,P28,60.0244297577,02,B,2015_Aug_04_1423,Y,
