fb_corr,fb_incorr,symbol2,symbol1,fb_late,pair,position,correct,block_01.thisRepN,block_01.thisTrialN,block_01.thisN,block_01.thisIndex,block_02.thisRepN,block_02.thisTrialN,block_02.thisN,block_02.thisIndex,block_03.thisRepN,block_03.thisTrialN,block_03.thisN,block_03.thisIndex,block_04.thisRepN,block_04.thisTrialN,block_04.thisN,block_04.thisIndex,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,buttonBox_2.keys,buttonBox_2.corr,buttonBox_2.rt,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,expName,Participant,frameRate,SessionNumber,Version,date,Group,
,,,,,,,,,,,,,,,,,,,,,,,,0.0140625,-0.91015625,1,0,0,,,,,,,,,PLC_L_D2S1,P2,60.0209958169,02,B,2014_Dez_06_1449,Y,
stim/negf.jpg,stim/posf.jpg,stim/2.jpg,stim/4.jpg,stim/latef.jpg,AB,1,2,0,0,0,9,,,,,,,,,,,,,,,,,,2,1,0.816439139569,,,,,,PLC_L_D2S1,P2,60.0209958169,02,B,2014_Dez_06_1449,Y,
stim/posf.jpg,stim/negf.jpg,stim/6.jpg,stim/3.jpg,stim/latef.jpg,EF,1,2,0,1,1,42,,,,,,,,,,,,,,,,,,4,0,0.499833886963,,,,,,PLC_L_D2S1,P2,60.0209958169,02,B,2014_Dez_06_1449,Y,
stim/negf.jpg,stim/posf.jpg,stim/5.jpg,stim/1.jpg,stim/latef.jpg,CD,2,4,0,2,2,39,,,,,,,,,,,,,,,,,,2,0,0.366520203606,,,,,,PLC_L_D2S1,P2,60.0209958169,02,B,2014_Dez_06_1449,Y,
stim/negf.jpg,stim/posf.jpg,stim/3.jpg,stim/6.jpg,stim/latef.jpg,EF,2,4,0,3,3,56,,,,,,,,,,,,,,,,,,2,0,0.3166009579,,,,,,PLC_L_D2S1,P2,60.0209958169,02,B,2014_Dez_06_1449,Y,
stim/posf.jpg,stim/negf.jpg,stim/3.jpg,stim/6.jpg,stim/latef.jpg,EF,2,4,0,4,4,55,,,,,,,,,,,,,,,,,,2,0,0.266580272335,,,,,,PLC_L_D2S1,P2,60.0209958169,02,B,2014_Dez_06_1449,Y,
stim/posf.jpg,stim/negf.jpg,stim/1.jpg,stim/5.jpg,stim/latef.jpg,CD,1,2,0,5,5,20,,,,,,,,,,,,,,,,,,4,0,0.349902139089,,,,,,PLC_L_D2S1,P2,60.0209958169,02,B,2014_Dez_06_1449,Y,
stim/posf.jpg,stim/negf.jpg,stim/2.jpg,stim/4.jpg,stim/latef.jpg,AB,1,2,0,6,6,3,,,,,,,,,,,,,,,,,,4,0,0.266556194314,,,,,,PLC_L_D2S1,P2,60.0209958169,02,B,2014_Dez_06_1449,Y,
stim/posf.jpg,stim/negf.jpg,stim/2.jpg,stim/4.jpg,stim/latef.jpg,AB,1,2,0,7,7,0,,,,,,,,,,,,,,,,,,2,1,0.233201007519,,,,,,PLC_L_D2S1,P2,60.0209958169,02,B,2014_Dez_06_1449,Y,
stim/negf.jpg,stim/posf.jpg,stim/6.jpg,stim/3.jpg,stim/latef.jpg,EF,1,2,0,8,8,47,,,,,,,,,,,,,,,,,,2,1,0.266567024315,,,,,,PLC_L_D2S1,P2,60.0209958169,02,B,2014_Dez_06_1449,Y,
stim/negf.jpg,stim/posf.jpg,stim/6.jpg,stim/3.jpg,stim/latef.jpg,EF,1,2,0,9,9,49,,,,,,,,,,,,,,,,,,4,0,0.199932854652,,,,,,PLC_L_D2S1,P2,60.0209958169,02,B,2014_Dez_06_1449,Y,
stim/posf.jpg,stim/negf.jpg,stim/5.jpg,stim/1.jpg,stim/latef.jpg,CD,2,4,0,10,10,30,,,,,,,,,,,,,,,,,,4,1,0.533136198981,,,,,,PLC_L_D2S1,P2,60.0209958169,02,B,2014_Dez_06_1449,Y,
stim/posf.jpg,stim/negf.jpg,stim/2.jpg,stim/4.jpg,stim/latef.jpg,AB,1,2,0,11,11,7,,,,,,,,,,,,,,,,,,4,0,0.316591162482,,,,,,PLC_L_D2S1,P2,60.0209958169,02,B,2014_Dez_06_1449,Y,
stim/negf.jpg,stim/posf.jpg,stim/3.jpg,stim/6.jpg,stim/latef.jpg,EF,2,4,0,12,12,59,,,,,,,,,,,,,,,,,,2,0,0.299885994842,,,,,,PLC_L_D2S1,P2,60.0209958169,02,B,2014_Dez_06_1449,Y,
stim/posf.jpg,stim/negf.jpg,stim/6.jpg,stim/3.jpg,stim/latef.jpg,EF,1,2,0,13,13,44,,,,,,,,,,,,,,,,,,2,1,0.283196123331,,,,,,PLC_L_D2S1,P2,60.0209958169,02,B,2014_Dez_06_1449,Y,
stim/posf.jpg,stim/negf.jpg,stim/6.jpg,stim/3.jpg,stim/latef.jpg,EF,1,2,0,14,14,40,,,,,,,,,,,,,,,,,,2,1,0.316552874036,,,,,,PLC_L_D2S1,P2,60.0209958169,02,B,2014_Dez_06_1449,Y,
