fb_corr,fb_incorr,symbol2,symbol1,fb_late,pair,position,correct,block_01.thisRepN,block_01.thisTrialN,block_01.thisN,block_01.thisIndex,block_02.thisRepN,block_02.thisTrialN,block_02.thisN,block_02.thisIndex,block_03.thisRepN,block_03.thisTrialN,block_03.thisN,block_03.thisIndex,block_04.thisRepN,block_04.thisTrialN,block_04.thisN,block_04.thisIndex,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,buttonBox_2.keys,buttonBox_2.corr,buttonBox_2.rt,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,expName,Participant,frameRate,SessionNumber,Version,date,Group,
,,,,,,,,,,,,,,,,,,,,,,,,0.9984375,1.0,1,0,0,,,,,,,,,PLC_L_D2S1,P8,60.0134916534,02,B,2015_Jan_22_1410,Y,
stim/negf.jpg,stim/posf.jpg,stim/5.jpg,stim/6.jpg,stim/latef.jpg,CD,2,4,0,0,0,39,,,,,,,,,,,,,,,,,,2,0,0.883080280599,,,,,,PLC_L_D2S1,P8,60.0134916534,02,B,2015_Jan_22_1410,Y,
stim/negf.jpg,stim/posf.jpg,stim/4.jpg,stim/1.jpg,stim/latef.jpg,AB,1,2,0,1,1,8,,,,,,,,,,,,,,,,,,2,1,0.816401266156,,,,,,PLC_L_D2S1,P8,60.0134916534,02,B,2015_Jan_22_1410,Y,
stim/negf.jpg,stim/posf.jpg,stim/2.jpg,stim/3.jpg,stim/latef.jpg,EF,2,4,0,2,2,56,,,,,,,,,,,,,,,,,,4,1,0.616462901783,,,,,,PLC_L_D2S1,P8,60.0134916534,02,B,2015_Jan_22_1410,Y,
stim/posf.jpg,stim/negf.jpg,stim/3.jpg,stim/2.jpg,stim/latef.jpg,EF,1,2,0,3,3,42,,,,,,,,,,,,,,,,,,4,0,0.866384830189,,,,,,PLC_L_D2S1,P8,60.0134916534,02,B,2015_Jan_22_1410,Y,
stim/posf.jpg,stim/negf.jpg,stim/4.jpg,stim/1.jpg,stim/latef.jpg,AB,1,2,0,4,4,5,,,,,,,,,,,,,,,,,,2,1,0.766409001436,,,,,,PLC_L_D2S1,P8,60.0134916534,02,B,2015_Jan_22_1410,Y,
stim/negf.jpg,stim/posf.jpg,stim/3.jpg,stim/2.jpg,stim/latef.jpg,EF,1,2,0,5,5,48,,,,,,,,,,,,,,,,,,4,0,0.88301457583,,,,,,PLC_L_D2S1,P8,60.0134916534,02,B,2015_Jan_22_1410,Y,
stim/negf.jpg,stim/posf.jpg,stim/5.jpg,stim/6.jpg,stim/latef.jpg,CD,2,4,0,6,6,37,,,,,,,,,,,,,,,,,,2,0,0.8830422869,,,,,,PLC_L_D2S1,P8,60.0134916534,02,B,2015_Jan_22_1410,Y,
stim/posf.jpg,stim/negf.jpg,stim/5.jpg,stim/6.jpg,stim/latef.jpg,CD,2,4,0,7,7,30,,,,,,,,,,,,,,,,,,4,1,0.699787072278,,,,,,PLC_L_D2S1,P8,60.0134916534,02,B,2015_Jan_22_1410,Y,
stim/posf.jpg,stim/negf.jpg,stim/4.jpg,stim/1.jpg,stim/latef.jpg,AB,1,2,0,8,8,6,,,,,,,,,,,,,,,,,,4,0,0.78307599191,,,,,,PLC_L_D2S1,P8,60.0134916534,02,B,2015_Jan_22_1410,Y,
