fb_corr,fb_incorr,symbol2,symbol1,fb_late,pair,position,correct,block_01.thisRepN,block_01.thisTrialN,block_01.thisN,block_01.thisIndex,block_02.thisRepN,block_02.thisTrialN,block_02.thisN,block_02.thisIndex,block_03.thisRepN,block_03.thisTrialN,block_03.thisN,block_03.thisIndex,block_04.thisRepN,block_04.thisTrialN,block_04.thisN,block_04.thisIndex,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,buttonBox_2.keys,buttonBox_2.corr,buttonBox_2.rt,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,expName,Participant,frameRate,SessionNumber,Version,date,Group,
,,,,,,,,,,,,,,,,,,,,,,,,0.9984375,1.0,1,0,0,,,,,,,,,PLC_L_D1S1,P12,60.0166937207,01,C,2015_Jan_30_1558,X,
stim/posf.jpg,stim/negf.jpg,stim/4.jpg,stim/2.jpg,stim/latef.jpg,CD,2,4,0,0,0,32,,,,,,,,,,,,,,,,,,4,1,1.33290303983,,,,,,PLC_L_D1S1,P12,60.0166937207,01,C,2015_Jan_30_1558,X,
stim/posf.jpg,stim/negf.jpg,stim/3.jpg,stim/1.jpg,stim/latef.jpg,AB,1,2,0,1,1,5,,,,,,,,,,,,,,,,,,4,0,1.34956123939,,,,,,PLC_L_D1S1,P12,60.0166937207,01,C,2015_Jan_30_1558,X,
stim/negf.jpg,stim/posf.jpg,stim/6.jpg,stim/5.jpg,stim/latef.jpg,EF,1,2,0,2,2,48,,,,,,,,,,,,,,,,,,4,0,1.24958357907,,,,,,PLC_L_D1S1,P12,60.0166937207,01,C,2015_Jan_30_1558,X,
stim/posf.jpg,stim/negf.jpg,stim/1.jpg,stim/3.jpg,stim/latef.jpg,AB,2,4,0,3,3,12,,,,,,,,,,,,,,,,,,None,0,,,,,,,PLC_L_D1S1,P12,60.0166937207,01,C,2015_Jan_30_1558,X,
stim/posf.jpg,stim/negf.jpg,stim/2.jpg,stim/4.jpg,stim/latef.jpg,CD,1,2,0,4,4,23,,,,,,,,,,,,,,,,,,2,1,1.09972034496,,,,,,PLC_L_D1S1,P12,60.0166937207,01,C,2015_Jan_30_1558,X,
stim/posf.jpg,stim/negf.jpg,stim/2.jpg,stim/4.jpg,stim/latef.jpg,CD,1,2,0,5,5,25,,,,,,,,,,,,,,,,,,2,1,0.749743304186,,,,,,PLC_L_D1S1,P12,60.0166937207,01,C,2015_Jan_30_1558,X,
stim/posf.jpg,stim/negf.jpg,stim/1.jpg,stim/3.jpg,stim/latef.jpg,AB,2,4,0,6,6,14,,,,,,,,,,,,,,,,,,4,1,1.16629026549,,,,,,PLC_L_D1S1,P12,60.0166937207,01,C,2015_Jan_30_1558,X,
stim/posf.jpg,stim/negf.jpg,stim/3.jpg,stim/1.jpg,stim/latef.jpg,AB,1,2,0,7,7,2,,,,,,,,,,,,,,,,,,2,1,1.1662290058,,,,,,PLC_L_D1S1,P12,60.0166937207,01,C,2015_Jan_30_1558,X,
stim/posf.jpg,stim/negf.jpg,stim/4.jpg,stim/2.jpg,stim/latef.jpg,CD,2,4,0,8,8,30,,,,,,,,,,,,,,,,,,4,1,1.26622677423,,,,,,PLC_L_D1S1,P12,60.0166937207,01,C,2015_Jan_30_1558,X,
stim/posf.jpg,stim/negf.jpg,stim/5.jpg,stim/6.jpg,stim/latef.jpg,EF,2,4,0,9,9,53,,,,,,,,,,,,,,,,,,2,0,0.683116193111,,,,,,PLC_L_D1S1,P12,60.0166937207,01,C,2015_Jan_30_1558,X,
stim/posf.jpg,stim/negf.jpg,stim/1.jpg,stim/3.jpg,stim/latef.jpg,AB,2,4,0,10,10,13,,,,,,,,,,,,,,,,,,2,0,1.53284601168,,,,,,PLC_L_D1S1,P12,60.0166937207,01,C,2015_Jan_30_1558,X,
stim/posf.jpg,stim/negf.jpg,stim/3.jpg,stim/1.jpg,stim/latef.jpg,AB,1,2,0,11,11,4,,,,,,,,,,,,,,,,,,2,1,1.31620761047,,,,,,PLC_L_D1S1,P12,60.0166937207,01,C,2015_Jan_30_1558,X,
