fb_corr,fb_incorr,symbol2,symbol1,fb_late,pair,position,correct,block_01.thisRepN,block_01.thisTrialN,block_01.thisN,block_01.thisIndex,block_02.thisRepN,block_02.thisTrialN,block_02.thisN,block_02.thisIndex,block_03.thisRepN,block_03.thisTrialN,block_03.thisN,block_03.thisIndex,block_04.thisRepN,block_04.thisTrialN,block_04.thisN,block_04.thisIndex,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,buttonBox_2.keys,buttonBox_2.corr,buttonBox_2.rt,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,expName,Participant,frameRate,SessionNumber,Version,date,Group,
,,,,,,,,,,,,,,,,,,,,,,,,0.9984375,1.0,1,0,0,,,,,,,,,PLC_L_D1S1,P17,60.02479249,01,B,2015_Feb_18_1453,X,
stim/posf.jpg,stim/negf.jpg,stim/1.jpg,stim/4.jpg,stim/latef.jpg,AB,1,2,0,0,0,5,,,,,,,,,,,,,,,,,,2,1,1.13299933083,,,,,,PLC_L_D1S1,P17,60.02479249,01,B,2015_Feb_18_1453,X,
stim/posf.jpg,stim/negf.jpg,stim/4.jpg,stim/1.jpg,stim/latef.jpg,AB,2,4,0,1,1,14,,,,,,,,,,,,,,,,,,4,1,1.18294417636,,,,,,PLC_L_D1S1,P17,60.02479249,01,B,2015_Feb_18_1453,X,
stim/posf.jpg,stim/negf.jpg,stim/6.jpg,stim/3.jpg,stim/latef.jpg,EF,2,4,0,2,2,53,,,,,,,,,,,,,,,,,,4,1,1.43275544394,,,,,,PLC_L_D1S1,P17,60.02479249,01,B,2015_Feb_18_1453,X,
stim/negf.jpg,stim/posf.jpg,stim/1.jpg,stim/4.jpg,stim/latef.jpg,AB,1,2,0,3,3,8,,,,,,,,,,,,,,,,,,2,1,0.866362649905,,,,,,PLC_L_D1S1,P17,60.02479249,01,B,2015_Feb_18_1453,X,
stim/posf.jpg,stim/negf.jpg,stim/1.jpg,stim/4.jpg,stim/latef.jpg,AB,1,2,0,4,4,7,,,,,,,,,,,,,,,,,,2,1,1.03299830528,,,,,,PLC_L_D1S1,P17,60.02479249,01,B,2015_Feb_18_1453,X,
stim/posf.jpg,stim/negf.jpg,stim/5.jpg,stim/2.jpg,stim/latef.jpg,CD,2,4,0,5,5,31,,,,,,,,,,,,,,,,,,2,0,1.56609666393,,,,,,PLC_L_D1S1,P17,60.02479249,01,B,2015_Feb_18_1453,X,
stim/posf.jpg,stim/negf.jpg,stim/6.jpg,stim/3.jpg,stim/latef.jpg,EF,2,4,0,6,6,55,,,,,,,,,,,,,,,,,,4,1,1.13294836881,,,,,,PLC_L_D1S1,P17,60.02479249,01,B,2015_Feb_18_1453,X,
stim/posf.jpg,stim/negf.jpg,stim/2.jpg,stim/5.jpg,stim/latef.jpg,CD,1,2,0,7,7,24,,,,,,,,,,,,,,,,,,2,1,1.49950912249,,,,,,PLC_L_D1S1,P17,60.02479249,01,B,2015_Feb_18_1453,X,
stim/negf.jpg,stim/posf.jpg,stim/3.jpg,stim/6.jpg,stim/latef.jpg,EF,1,2,0,8,8,46,,,,,,,,,,,,,,,,,,2,1,1.4329234517,,,,,,PLC_L_D1S1,P17,60.02479249,01,B,2015_Feb_18_1453,X,
