fb_corr,fb_incorr,symbol2,symbol1,fb_late,pair,position,correct,block_01.thisRepN,block_01.thisTrialN,block_01.thisN,block_01.thisIndex,block_02.thisRepN,block_02.thisTrialN,block_02.thisN,block_02.thisIndex,block_03.thisRepN,block_03.thisTrialN,block_03.thisN,block_03.thisIndex,block_04.thisRepN,block_04.thisTrialN,block_04.thisN,block_04.thisIndex,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,buttonBox_2.keys,buttonBox_2.corr,buttonBox_2.rt,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,expName,Participant,frameRate,SessionNumber,Version,date,Group,
,,,,,,,,,,,,,,,,,,,,,,,,0.9984375,1.0,1,0,0,,,,,,,,,PLC_L_D1S1,P22,60.0231097163,01,A,2015_Feb_27_1453,Y,
stim/posf.jpg,stim/negf.jpg,stim/1.jpg,stim/3.jpg,stim/latef.jpg,EF,1,2,0,0,0,41,,,,,,,,,,,,,,,,,,None,0,,,,,,,PLC_L_D1S1,P22,60.0231097163,01,A,2015_Feb_27_1453,Y,
stim/negf.jpg,stim/posf.jpg,stim/2.jpg,stim/4.jpg,stim/latef.jpg,AB,2,4,0,1,1,18,,,,,,,,,,,,,,,,,,2,0,0.533148743242,,,,,,PLC_L_D1S1,P22,60.0231097163,01,A,2015_Feb_27_1453,Y,
stim/posf.jpg,stim/negf.jpg,stim/4.jpg,stim/2.jpg,stim/latef.jpg,AB,1,2,0,2,2,3,,,,,,,,,,,,,,,,,,4,0,1.26625478004,,,,,,PLC_L_D1S1,P22,60.0231097163,01,A,2015_Feb_27_1453,Y,
stim/posf.jpg,stim/negf.jpg,stim/3.jpg,stim/1.jpg,stim/latef.jpg,EF,2,4,0,3,3,50,,,,,,,,,,,,,,,,,,4,1,1.01634607259,,,,,,PLC_L_D1S1,P22,60.0231097163,01,A,2015_Feb_27_1453,Y,
stim/negf.jpg,stim/posf.jpg,stim/3.jpg,stim/1.jpg,stim/latef.jpg,EF,2,4,0,4,4,59,,,,,,,,,,,,,,,,,,4,1,1.19958144375,,,,,,PLC_L_D1S1,P22,60.0231097163,01,A,2015_Feb_27_1453,Y,
stim/negf.jpg,stim/posf.jpg,stim/3.jpg,stim/1.jpg,stim/latef.jpg,EF,2,4,0,5,5,57,,,,,,,,,,,,,,,,,,4,1,1.0496372328,,,,,,PLC_L_D1S1,P22,60.0231097163,01,A,2015_Feb_27_1453,Y,
stim/posf.jpg,stim/negf.jpg,stim/5.jpg,stim/6.jpg,stim/latef.jpg,CD,2,4,0,6,6,34,,,,,,,,,,,,,,,,,,2,0,0.999667064157,,,,,,PLC_L_D1S1,P22,60.0231097163,01,A,2015_Feb_27_1453,Y,
stim/negf.jpg,stim/posf.jpg,stim/1.jpg,stim/3.jpg,stim/latef.jpg,EF,1,2,0,7,7,46,,,,,,,,,,,,,,,,,,4,0,1.4994993361,,,,,,PLC_L_D1S1,P22,60.0231097163,01,A,2015_Feb_27_1453,Y,
stim/negf.jpg,stim/posf.jpg,stim/3.jpg,stim/1.jpg,stim/latef.jpg,EF,2,4,0,8,8,58,,,,,,,,,,,,,,,,,,2,0,0.966347985353,,,,,,PLC_L_D1S1,P22,60.0231097163,01,A,2015_Feb_27_1453,Y,
stim/posf.jpg,stim/negf.jpg,stim/5.jpg,stim/6.jpg,stim/latef.jpg,CD,2,4,0,9,9,35,,,,,,,,,,,,,,,,,,2,0,1.4661857159,,,,,,PLC_L_D1S1,P22,60.0231097163,01,A,2015_Feb_27_1453,Y,
stim/negf.jpg,stim/posf.jpg,stim/3.jpg,stim/1.jpg,stim/latef.jpg,EF,2,4,0,10,10,56,,,,,,,,,,,,,,,,,,2,0,1.04967426711,,,,,,PLC_L_D1S1,P22,60.0231097163,01,A,2015_Feb_27_1453,Y,
stim/posf.jpg,stim/negf.jpg,stim/6.jpg,stim/5.jpg,stim/latef.jpg,CD,1,2,0,11,11,20,,,,,,,,,,,,,,,,,,4,0,1.26615276878,,,,,,PLC_L_D1S1,P22,60.0231097163,01,A,2015_Feb_27_1453,Y,
stim/posf.jpg,stim/negf.jpg,stim/3.jpg,stim/1.jpg,stim/latef.jpg,EF,2,4,0,12,12,53,,,,,,,,,,,,,,,,,,2,0,1.04964903723,,,,,,PLC_L_D1S1,P22,60.0231097163,01,A,2015_Feb_27_1453,Y,
stim/negf.jpg,stim/posf.jpg,stim/2.jpg,stim/4.jpg,stim/latef.jpg,AB,2,4,0,13,13,19,,,,,,,,,,,,,,,,,,4,1,1.64951154352,,,,,,PLC_L_D1S1,P22,60.0231097163,01,A,2015_Feb_27_1453,Y,
stim/posf.jpg,stim/negf.jpg,stim/5.jpg,stim/6.jpg,stim/latef.jpg,CD,2,4,0,14,14,32,,,,,,,,,,,,,,,,,,4,1,1.38293516289,,,,,,PLC_L_D1S1,P22,60.0231097163,01,A,2015_Feb_27_1453,Y,
stim/negf.jpg,stim/posf.jpg,stim/5.jpg,stim/6.jpg,stim/latef.jpg,CD,2,4,0,15,15,37,,,,,,,,,,,,,,,,,,4,1,0.966343257569,,,,,,PLC_L_D1S1,P22,60.0231097163,01,A,2015_Feb_27_1453,Y,
stim/posf.jpg,stim/negf.jpg,stim/2.jpg,stim/4.jpg,stim/latef.jpg,AB,2,4,0,16,16,16,,,,,,,,,,,,,,,,,,4,1,1.31622877723,,,,,,PLC_L_D1S1,P22,60.0231097163,01,A,2015_Feb_27_1453,Y,
stim/negf.jpg,stim/posf.jpg,stim/6.jpg,stim/5.jpg,stim/latef.jpg,CD,1,2,0,17,17,28,,,,,,,,,,,,,,,,,,2,1,1.41621724949,,,,,,PLC_L_D1S1,P22,60.0231097163,01,A,2015_Feb_27_1453,Y,
stim/negf.jpg,stim/posf.jpg,stim/4.jpg,stim/2.jpg,stim/latef.jpg,AB,1,2,0,18,18,9,,,,,,,,,,,,,,,,,,4,0,1.03291439012,,,,,,PLC_L_D1S1,P22,60.0231097163,01,A,2015_Feb_27_1453,Y,
stim/negf.jpg,stim/posf.jpg,stim/6.jpg,stim/5.jpg,stim/latef.jpg,CD,1,2,0,19,19,27,,,,,,,,,,,,,,,,,,2,1,1.6328454583,,,,,,PLC_L_D1S1,P22,60.0231097163,01,A,2015_Feb_27_1453,Y,
stim/posf.jpg,stim/negf.jpg,stim/5.jpg,stim/6.jpg,stim/latef.jpg,CD,2,4,0,20,20,30,,,,,,,,,,,,,,,,,,4,1,1.29958825272,,,,,,PLC_L_D1S1,P22,60.0231097163,01,A,2015_Feb_27_1453,Y,
stim/posf.jpg,stim/negf.jpg,stim/6.jpg,stim/5.jpg,stim/latef.jpg,CD,1,2,0,21,21,26,,,,,,,,,,,,,,,,,,4,0,1.49951914948,,,,,,PLC_L_D1S1,P22,60.0231097163,01,A,2015_Feb_27_1453,Y,
stim/posf.jpg,stim/negf.jpg,stim/4.jpg,stim/2.jpg,stim/latef.jpg,AB,1,2,0,22,22,4,,,,,,,,,,,,,,,,,,2,1,1.48283403583,,,,,,PLC_L_D1S1,P22,60.0231097163,01,A,2015_Feb_27_1453,Y,
stim/posf.jpg,stim/negf.jpg,stim/4.jpg,stim/2.jpg,stim/latef.jpg,AB,1,2,0,23,23,7,,,,,,,,,,,,,,,,,,4,0,1.03297929189,,,,,,PLC_L_D1S1,P22,60.0231097163,01,A,2015_Feb_27_1453,Y,
stim/posf.jpg,stim/negf.jpg,stim/1.jpg,stim/3.jpg,stim/latef.jpg,EF,1,2,0,24,24,44,,,,,,,,,,,,,,,,,,4,0,1.31621910813,,,,,,PLC_L_D1S1,P22,60.0231097163,01,A,2015_Feb_27_1453,Y,
stim/posf.jpg,stim/negf.jpg,stim/3.jpg,stim/1.jpg,stim/latef.jpg,EF,2,4,0,25,25,52,,,,,,,,,,,,,,,,,,2,0,1.11629881279,,,,,,PLC_L_D1S1,P22,60.0231097163,01,A,2015_Feb_27_1453,Y,
stim/negf.jpg,stim/posf.jpg,stim/1.jpg,stim/3.jpg,stim/latef.jpg,EF,1,2,0,26,26,49,,,,,,,,,,,,,,,,,,4,0,0.599787415132,,,,,,PLC_L_D1S1,P22,60.0231097163,01,A,2015_Feb_27_1453,Y,
stim/posf.jpg,stim/negf.jpg,stim/4.jpg,stim/2.jpg,stim/latef.jpg,AB,1,2,0,27,27,5,,,,,,,,,,,,,,,,,,4,0,1.53282846896,,,,,,PLC_L_D1S1,P22,60.0231097163,01,A,2015_Feb_27_1453,Y,
stim/posf.jpg,stim/negf.jpg,stim/3.jpg,stim/1.jpg,stim/latef.jpg,EF,2,4,0,28,28,54,,,,,,,,,,,,,,,,,,2,0,0.849726092285,,,,,,PLC_L_D1S1,P22,60.0231097163,01,A,2015_Feb_27_1453,Y,
