fb_corr,fb_incorr,symbol2,symbol1,fb_late,pair,position,correct,block_01.thisRepN,block_01.thisTrialN,block_01.thisN,block_01.thisIndex,block_02.thisRepN,block_02.thisTrialN,block_02.thisN,block_02.thisIndex,block_03.thisRepN,block_03.thisTrialN,block_03.thisN,block_03.thisIndex,block_04.thisRepN,block_04.thisTrialN,block_04.thisN,block_04.thisIndex,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,buttonBox_2.keys,buttonBox_2.corr,buttonBox_2.rt,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,expName,Participant,frameRate,SessionNumber,Version,date,Group,
,,,,,,,,,,,,,,,,,,,,,,,,0.9984375,1.0,1,0,0,,,,,,,,,PLC_L_D1S1,P31,60.0161989566,01,A,2015_Aug_19_1503,X,
stim/negf.jpg,stim/posf.jpg,stim/2.jpg,stim/3.jpg,stim/latef.jpg,EF,2,4,0,0,0,56,,,,,,,,,,,,,,,,,,4,1,0.93306657143,,,,,,PLC_L_D1S1,P31,60.0161989566,01,A,2015_Aug_19_1503,X,
stim/posf.jpg,stim/negf.jpg,stim/3.jpg,stim/2.jpg,stim/latef.jpg,EF,1,2,0,1,1,41,,,,,,,,,,,,,,,,,,4,0,1.56614610813,,,,,,PLC_L_D1S1,P31,60.0161989566,01,A,2015_Aug_19_1503,X,
stim/posf.jpg,stim/negf.jpg,stim/4.jpg,stim/6.jpg,stim/latef.jpg,AB,2,4,0,2,2,13,,,,,,,,,,,,,,,,,,2,0,1.33291178821,,,,,,PLC_L_D1S1,P31,60.0161989566,01,A,2015_Aug_19_1503,X,
stim/posf.jpg,stim/negf.jpg,stim/1.jpg,stim/5.jpg,stim/latef.jpg,CD,2,4,0,3,3,33,,,,,,,,,,,,,,,,,,4,1,0.883028973358,,,,,,PLC_L_D1S1,P31,60.0161989566,01,A,2015_Aug_19_1503,X,
stim/posf.jpg,stim/negf.jpg,stim/2.jpg,stim/3.jpg,stim/latef.jpg,EF,2,4,0,4,4,52,,,,,,,,,,,,,,,,,,2,0,1.26626743909,,,,,,PLC_L_D1S1,P31,60.0161989566,01,A,2015_Aug_19_1503,X,
stim/posf.jpg,stim/negf.jpg,stim/2.jpg,stim/3.jpg,stim/latef.jpg,EF,2,4,0,5,5,53,,,,,,,,,,,,,,,,,,4,1,1.24962017421,,,,,,PLC_L_D1S1,P31,60.0161989566,01,A,2015_Aug_19_1503,X,
stim/posf.jpg,stim/negf.jpg,stim/4.jpg,stim/6.jpg,stim/latef.jpg,AB,2,4,0,6,6,11,,,,,,,,,,,,,,,,,,2,0,1.1828793991,,,,,,PLC_L_D1S1,P31,60.0161989566,01,A,2015_Aug_19_1503,X,
stim/negf.jpg,stim/posf.jpg,stim/2.jpg,stim/3.jpg,stim/latef.jpg,EF,2,4,0,7,7,57,,,,,,,,,,,,,,,,,,4,1,1.4327771371,,,,,,PLC_L_D1S1,P31,60.0161989566,01,A,2015_Aug_19_1503,X,
stim/posf.jpg,stim/negf.jpg,stim/5.jpg,stim/1.jpg,stim/latef.jpg,CD,1,2,0,8,8,22,,,,,,,,,,,,,,,,,,2,1,1.11628517272,,,,,,PLC_L_D1S1,P31,60.0161989566,01,A,2015_Aug_19_1503,X,
stim/negf.jpg,stim/posf.jpg,stim/3.jpg,stim/2.jpg,stim/latef.jpg,EF,1,2,0,9,9,47,,,,,,,,,,,,,,,,,,2,1,1.33287953895,,,,,,PLC_L_D1S1,P31,60.0161989566,01,A,2015_Aug_19_1503,X,
stim/negf.jpg,stim/posf.jpg,stim/2.jpg,stim/3.jpg,stim/latef.jpg,EF,2,4,0,10,10,58,,,,,,,,,,,,,,,,,,2,0,1.38284428973,,,,,,PLC_L_D1S1,P31,60.0161989566,01,A,2015_Aug_19_1503,X,
stim/posf.jpg,stim/negf.jpg,stim/2.jpg,stim/3.jpg,stim/latef.jpg,EF,2,4,0,11,11,55,,,,,,,,,,,,,,,,,,2,0,1.28290208757,,,,,,PLC_L_D1S1,P31,60.0161989566,01,A,2015_Aug_19_1503,X,
stim/posf.jpg,stim/negf.jpg,stim/4.jpg,stim/6.jpg,stim/latef.jpg,AB,2,4,0,12,12,15,,,,,,,,,,,,,,,,,,4,1,1.26625358361,,,,,,PLC_L_D1S1,P31,60.0161989566,01,A,2015_Aug_19_1503,X,
stim/posf.jpg,stim/negf.jpg,stim/2.jpg,stim/3.jpg,stim/latef.jpg,EF,2,4,0,13,13,50,,,,,,,,,,,,,,,,,,2,0,1.13295015169,,,,,,PLC_L_D1S1,P31,60.0161989566,01,A,2015_Aug_19_1503,X,
stim/negf.jpg,stim/posf.jpg,stim/6.jpg,stim/4.jpg,stim/latef.jpg,AB,1,2,0,14,14,9,,,,,,,,,,,,,,,,,,4,0,1.56608398552,,,,,,PLC_L_D1S1,P31,60.0161989566,01,A,2015_Aug_19_1503,X,
stim/posf.jpg,stim/negf.jpg,stim/5.jpg,stim/1.jpg,stim/latef.jpg,CD,1,2,0,15,15,21,,,,,,,,,,,,,,,,,,2,1,1.13293315639,,,,,,PLC_L_D1S1,P31,60.0161989566,01,A,2015_Aug_19_1503,X,
stim/posf.jpg,stim/negf.jpg,stim/5.jpg,stim/1.jpg,stim/latef.jpg,CD,1,2,0,16,16,20,,,,,,,,,,,,,,,,,,2,1,0.916344627693,,,,,,PLC_L_D1S1,P31,60.0161989566,01,A,2015_Aug_19_1503,X,
stim/posf.jpg,stim/negf.jpg,stim/4.jpg,stim/6.jpg,stim/latef.jpg,AB,2,4,0,17,17,17,,,,,,,,,,,,,,,,,,2,0,1.26624259726,,,,,,PLC_L_D1S1,P31,60.0161989566,01,A,2015_Aug_19_1503,X,
stim/posf.jpg,stim/negf.jpg,stim/2.jpg,stim/3.jpg,stim/latef.jpg,EF,2,4,0,18,18,54,,,,,,,,,,,,,,,,,,2,0,1.28289096589,,,,,,PLC_L_D1S1,P31,60.0161989566,01,A,2015_Aug_19_1503,X,
stim/posf.jpg,stim/negf.jpg,stim/3.jpg,stim/2.jpg,stim/latef.jpg,EF,1,2,0,19,19,43,,,,,,,,,,,,,,,,,,2,1,1.29954449837,,,,,,PLC_L_D1S1,P31,60.0161989566,01,A,2015_Aug_19_1503,X,
