fb_corr,fb_incorr,symbol2,symbol1,fb_late,pair,position,correct,block_01.thisRepN,block_01.thisTrialN,block_01.thisN,block_01.thisIndex,block_02.thisRepN,block_02.thisTrialN,block_02.thisN,block_02.thisIndex,block_03.thisRepN,block_03.thisTrialN,block_03.thisN,block_03.thisIndex,block_04.thisRepN,block_04.thisTrialN,block_04.thisN,block_04.thisIndex,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,buttonBox_2.keys,buttonBox_2.corr,buttonBox_2.rt,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,expName,Participant,frameRate,SessionNumber,Version,date,Group,
,,,,,,,,,,,,,,,,,,,,,,,,0.971875,0.9921875,1,0,0,,,,,,,,,PLC_L_D1S1,P3,60.0193739274,01,B,2014_Dez_17_1453,X,
stim/posf.jpg,stim/negf.jpg,stim/6.jpg,stim/4.jpg,stim/latef.jpg,EF,1,2,0,0,0,42,,,,,,,,,,,,,,,,,,2,1,1.04971630288,,,,,,PLC_L_D1S1,P3,60.0193739274,01,B,2014_Dez_17_1453,X,
stim/posf.jpg,stim/negf.jpg,stim/4.jpg,stim/6.jpg,stim/latef.jpg,EF,2,4,0,1,1,53,,,,,,,,,,,,,,,,,,4,1,1.11630709544,,,,,,PLC_L_D1S1,P3,60.0193739274,01,B,2014_Dez_17_1453,X,
stim/negf.jpg,stim/posf.jpg,stim/3.jpg,stim/2.jpg,stim/latef.jpg,AB,1,2,0,2,2,9,,,,,,,,,,,,,,,,,,2,1,0.883019872032,,,,,,PLC_L_D1S1,P3,60.0193739274,01,B,2014_Dez_17_1453,X,
stim/posf.jpg,stim/negf.jpg,stim/1.jpg,stim/5.jpg,stim/latef.jpg,CD,2,4,0,3,3,33,,,,,,,,,,,,,,,,,,4,1,0.883055748454,,,,,,PLC_L_D1S1,P3,60.0193739274,01,B,2014_Dez_17_1453,X,
stim/posf.jpg,stim/negf.jpg,stim/1.jpg,stim/5.jpg,stim/latef.jpg,CD,2,4,0,4,4,32,,,,,,,,,,,,,,,,,,4,1,1.04965791535,,,,,,PLC_L_D1S1,P3,60.0193739274,01,B,2014_Dez_17_1453,X,
stim/posf.jpg,stim/negf.jpg,stim/1.jpg,stim/5.jpg,stim/latef.jpg,CD,2,4,0,5,5,35,,,,,,,,,,,,,,,,,,4,1,0.96633818693,,,,,,PLC_L_D1S1,P3,60.0193739274,01,B,2014_Dez_17_1453,X,
stim/posf.jpg,stim/negf.jpg,stim/5.jpg,stim/1.jpg,stim/latef.jpg,CD,1,2,0,6,6,26,,,,,,,,,,,,,,,,,,2,1,0.766416757768,,,,,,PLC_L_D1S1,P3,60.0193739274,01,B,2014_Dez_17_1453,X,
stim/posf.jpg,stim/negf.jpg,stim/1.jpg,stim/5.jpg,stim/latef.jpg,CD,2,4,0,7,7,30,,,,,,,,,,,,,,,,,,4,1,0.783069149857,,,,,,PLC_L_D1S1,P3,60.0193739274,01,B,2014_Dez_17_1453,X,
stim/posf.jpg,stim/negf.jpg,stim/2.jpg,stim/3.jpg,stim/latef.jpg,AB,2,4,0,8,8,10,,,,,,,,,,,,,,,,,,4,1,1.08301220893,,,,,,PLC_L_D1S1,P3,60.0193739274,01,B,2014_Dez_17_1453,X,
stim/posf.jpg,stim/negf.jpg,stim/4.jpg,stim/6.jpg,stim/latef.jpg,EF,2,4,0,9,9,52,,,,,,,,,,,,,,,,,,4,1,1.1661661371,,,,,,PLC_L_D1S1,P3,60.0193739274,01,B,2014_Dez_17_1453,X,
stim/posf.jpg,stim/negf.jpg,stim/4.jpg,stim/6.jpg,stim/latef.jpg,EF,2,4,0,10,10,55,,,,,,,,,,,,,,,,,,4,1,1.1829543417,,,,,,PLC_L_D1S1,P3,60.0193739274,01,B,2014_Dez_17_1453,X,
stim/negf.jpg,stim/posf.jpg,stim/4.jpg,stim/6.jpg,stim/latef.jpg,EF,2,4,0,11,11,58,,,,,,,,,,,,,,,,,,4,1,0.849708901436,,,,,,PLC_L_D1S1,P3,60.0193739274,01,B,2014_Dez_17_1453,X,
stim/negf.jpg,stim/posf.jpg,stim/4.jpg,stim/6.jpg,stim/latef.jpg,EF,2,4,0,12,12,59,,,,,,,,,,,,,,,,,,4,1,0.983017032955,,,,,,PLC_L_D1S1,P3,60.0193739274,01,B,2014_Dez_17_1453,X,
stim/posf.jpg,stim/negf.jpg,stim/3.jpg,stim/2.jpg,stim/latef.jpg,AB,1,2,0,13,13,3,,,,,,,,,,,,,,,,,,4,0,1.06629805189,,,,,,PLC_L_D1S1,P3,60.0193739274,01,B,2014_Dez_17_1453,X,
stim/negf.jpg,stim/posf.jpg,stim/1.jpg,stim/5.jpg,stim/latef.jpg,CD,2,4,0,14,14,37,,,,,,,,,,,,,,,,,,2,0,1.28291737957,,,,,,PLC_L_D1S1,P3,60.0193739274,01,B,2014_Dez_17_1453,X,
stim/posf.jpg,stim/negf.jpg,stim/2.jpg,stim/3.jpg,stim/latef.jpg,AB,2,4,0,15,15,12,,,,,,,,,,,,,,,,,,2,0,1.41618771288,,,,,,PLC_L_D1S1,P3,60.0193739274,01,B,2014_Dez_17_1453,X,
