fb_corr,fb_incorr,symbol2,symbol1,fb_late,pair,position,correct,block_01.thisRepN,block_01.thisTrialN,block_01.thisN,block_01.thisIndex,block_02.thisRepN,block_02.thisTrialN,block_02.thisN,block_02.thisIndex,block_03.thisRepN,block_03.thisTrialN,block_03.thisN,block_03.thisIndex,block_04.thisRepN,block_04.thisTrialN,block_04.thisN,block_04.thisIndex,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,buttonBox_2.keys,buttonBox_2.corr,buttonBox_2.rt,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,expName,Participant,frameRate,SessionNumber,Version,date,Group,
,,,,,,,,,,,,,,,,,,,,,,,,0.9984375,1.0,1,0,0,,,,,,,,,PLC_L_D1S1,P5,60.0191867894,01,B,2015_Jan_14_1512,X,
stim/posf.jpg,stim/negf.jpg,stim/1.jpg,stim/6.jpg,stim/latef.jpg,AB,2,4,0,0,0,15,,,,,,,,,,,,,,,,,,2,0,0.883048272388,,,,,,PLC_L_D1S1,P5,60.0191867894,01,B,2015_Jan_14_1512,X,
stim/negf.jpg,stim/posf.jpg,stim/2.jpg,stim/5.jpg,stim/latef.jpg,EF,1,2,0,1,1,49,,,,,,,,,,,,,,,,,,4,0,0.333237772506,,,,,,PLC_L_D1S1,P5,60.0191867894,01,B,2015_Jan_14_1512,X,
stim/negf.jpg,stim/posf.jpg,stim/5.jpg,stim/2.jpg,stim/latef.jpg,EF,2,4,0,2,2,56,,,,,,,,,,,,,,,,,,4,1,0.333216398311,,,,,,PLC_L_D1S1,P5,60.0191867894,01,B,2015_Jan_14_1512,X,
stim/posf.jpg,stim/negf.jpg,stim/3.jpg,stim/4.jpg,stim/latef.jpg,CD,2,4,0,3,3,35,,,,,,,,,,,,,,,,,,2,0,0.333202584933,,,,,,PLC_L_D1S1,P5,60.0191867894,01,B,2015_Jan_14_1512,X,
stim/posf.jpg,stim/negf.jpg,stim/2.jpg,stim/5.jpg,stim/latef.jpg,EF,1,2,0,4,4,42,,,,,,,,,,,,,,,,,,4,0,0.433102955982,,,,,,PLC_L_D1S1,P5,60.0191867894,01,B,2015_Jan_14_1512,X,
stim/posf.jpg,stim/negf.jpg,stim/4.jpg,stim/3.jpg,stim/latef.jpg,CD,1,2,0,5,5,24,,,,,,,,,,,,,,,,,,2,1,0.349907172475,,,,,,PLC_L_D1S1,P5,60.0191867894,01,B,2015_Jan_14_1512,X,
stim/negf.jpg,stim/posf.jpg,stim/3.jpg,stim/4.jpg,stim/latef.jpg,CD,2,4,0,6,6,39,,,,,,,,,,,,,,,,,,4,1,0.383197939873,,,,,,PLC_L_D1S1,P5,60.0191867894,01,B,2015_Jan_14_1512,X,
stim/posf.jpg,stim/negf.jpg,stim/6.jpg,stim/1.jpg,stim/latef.jpg,AB,1,2,0,7,7,5,,,,,,,,,,,,,,,,,,4,0,0.716474009692,,,,,,PLC_L_D1S1,P5,60.0191867894,01,B,2015_Jan_14_1512,X,
stim/negf.jpg,stim/posf.jpg,stim/5.jpg,stim/2.jpg,stim/latef.jpg,EF,2,4,0,8,8,59,,,,,,,,,,,,,,,,,,4,1,0.849717114469,,,,,,PLC_L_D1S1,P5,60.0191867894,01,B,2015_Jan_14_1512,X,
stim/posf.jpg,stim/negf.jpg,stim/5.jpg,stim/2.jpg,stim/latef.jpg,EF,2,4,0,9,9,53,,,,,,,,,,,,,,,,,,2,0,0.333223138085,,,,,,PLC_L_D1S1,P5,60.0191867894,01,B,2015_Jan_14_1512,X,
stim/negf.jpg,stim/posf.jpg,stim/1.jpg,stim/6.jpg,stim/latef.jpg,AB,2,4,0,10,10,18,,,,,,,,,,,,,,,,,,4,1,0.316528553437,,,,,,PLC_L_D1S1,P5,60.0191867894,01,B,2015_Jan_14_1512,X,
stim/posf.jpg,stim/negf.jpg,stim/2.jpg,stim/5.jpg,stim/latef.jpg,EF,1,2,0,11,11,44,,,,,,,,,,,,,,,,,,2,1,0.333231540998,,,,,,PLC_L_D1S1,P5,60.0191867894,01,B,2015_Jan_14_1512,X,
stim/posf.jpg,stim/negf.jpg,stim/5.jpg,stim/2.jpg,stim/latef.jpg,EF,2,4,0,12,12,52,,,,,,,,,,,,,,,,,,4,1,0.383275770574,,,,,,PLC_L_D1S1,P5,60.0191867894,01,B,2015_Jan_14_1512,X,
stim/negf.jpg,stim/posf.jpg,stim/6.jpg,stim/1.jpg,stim/latef.jpg,AB,1,2,0,13,13,8,,,,,,,,,,,,,,,,,,4,0,0.483171549193,,,,,,PLC_L_D1S1,P5,60.0191867894,01,B,2015_Jan_14_1512,X,
stim/posf.jpg,stim/negf.jpg,stim/6.jpg,stim/1.jpg,stim/latef.jpg,AB,1,2,0,14,14,0,,,,,,,,,,,,,,,,,,2,1,0.383178971666,,,,,,PLC_L_D1S1,P5,60.0191867894,01,B,2015_Jan_14_1512,X,
stim/negf.jpg,stim/posf.jpg,stim/2.jpg,stim/5.jpg,stim/latef.jpg,EF,1,2,0,15,15,46,,,,,,,,,,,,,,,,,,4,0,0.299917243039,,,,,,PLC_L_D1S1,P5,60.0191867894,01,B,2015_Jan_14_1512,X,
stim/posf.jpg,stim/negf.jpg,stim/3.jpg,stim/4.jpg,stim/latef.jpg,CD,2,4,0,16,16,31,,,,,,,,,,,,,,,,,,2,0,0.333213447969,,,,,,PLC_L_D1S1,P5,60.0191867894,01,B,2015_Jan_14_1512,X,
stim/posf.jpg,stim/negf.jpg,stim/1.jpg,stim/6.jpg,stim/latef.jpg,AB,2,4,0,17,17,10,,,,,,,,,,,,,,,,,,4,1,0.283251882121,,,,,,PLC_L_D1S1,P5,60.0191867894,01,B,2015_Jan_14_1512,X,
stim/negf.jpg,stim/posf.jpg,stim/2.jpg,stim/5.jpg,stim/latef.jpg,EF,1,2,0,18,18,47,,,,,,,,,,,,,,,,,,4,0,0.649835639448,,,,,,PLC_L_D1S1,P5,60.0191867894,01,B,2015_Jan_14_1512,X,
stim/posf.jpg,stim/negf.jpg,stim/2.jpg,stim/5.jpg,stim/latef.jpg,EF,1,2,0,19,19,40,,,,,,,,,,,,,,,,,,4,0,0.483170839427,,,,,,PLC_L_D1S1,P5,60.0191867894,01,B,2015_Jan_14_1512,X,
stim/posf.jpg,stim/negf.jpg,stim/6.jpg,stim/1.jpg,stim/latef.jpg,AB,1,2,0,20,20,3,,,,,,,,,,,,,,,,,,2,1,0.333171006342,,,,,,PLC_L_D1S1,P5,60.0191867894,01,B,2015_Jan_14_1512,X,
stim/posf.jpg,stim/negf.jpg,stim/5.jpg,stim/2.jpg,stim/latef.jpg,EF,2,4,0,21,21,54,,,,,,,,,,,,,,,,,,4,1,0.3998422905,,,,,,PLC_L_D1S1,P5,60.0191867894,01,B,2015_Jan_14_1512,X,
stim/negf.jpg,stim/posf.jpg,stim/4.jpg,stim/3.jpg,stim/latef.jpg,CD,1,2,0,22,22,29,,,,,,,,,,,,,,,,,,2,1,0.466484453183,,,,,,PLC_L_D1S1,P5,60.0191867894,01,B,2015_Jan_14_1512,X,
stim/posf.jpg,stim/negf.jpg,stim/6.jpg,stim/1.jpg,stim/latef.jpg,AB,1,2,0,23,23,2,,,,,,,,,,,,,,,,,,4,0,0.266582394936,,,,,,PLC_L_D1S1,P5,60.0191867894,01,B,2015_Jan_14_1512,X,
stim/negf.jpg,stim/posf.jpg,stim/4.jpg,stim/3.jpg,stim/latef.jpg,CD,1,2,0,24,24,27,,,,,,,,,,,,,,,,,,2,1,0.366510314545,,,,,,PLC_L_D1S1,P5,60.0191867894,01,B,2015_Jan_14_1512,X,
stim/posf.jpg,stim/negf.jpg,stim/5.jpg,stim/2.jpg,stim/latef.jpg,EF,2,4,0,25,25,55,,,,,,,,,,,,,,,,,,4,1,0.333215099078,,,,,,PLC_L_D1S1,P5,60.0191867894,01,B,2015_Jan_14_1512,X,
stim/posf.jpg,stim/negf.jpg,stim/5.jpg,stim/2.jpg,stim/latef.jpg,EF,2,4,0,26,26,50,,,,,,,,,,,,,,,,,,4,1,0.349907349917,,,,,,PLC_L_D1S1,P5,60.0191867894,01,B,2015_Jan_14_1512,X,
stim/negf.jpg,stim/posf.jpg,stim/1.jpg,stim/6.jpg,stim/latef.jpg,AB,2,4,0,27,27,19,,,,,,,,,,,,,,,,,,4,1,0.566461319609,,,,,,PLC_L_D1S1,P5,60.0191867894,01,B,2015_Jan_14_1512,X,
stim/negf.jpg,stim/posf.jpg,stim/5.jpg,stim/2.jpg,stim/latef.jpg,EF,2,4,0,28,28,58,,,,,,,,,,,,,,,,,,2,0,0.316577737845,,,,,,PLC_L_D1S1,P5,60.0191867894,01,B,2015_Jan_14_1512,X,
