fb_corr,fb_incorr,symbol2,symbol1,fb_late,pair,position,correct,block_01.thisRepN,block_01.thisTrialN,block_01.thisN,block_01.thisIndex,block_02.thisRepN,block_02.thisTrialN,block_02.thisN,block_02.thisIndex,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,buttonBox_2.keys,buttonBox_2.corr,buttonBox_2.rt,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,expName,Participant,frameRate,SessionNumber,Version,date,Group,
,,,,,,,,,,,,,,,,0.9984375,-0.998046875,1,0,0,,,,,,,,,PLC_L_D1S2,P18,60.0162181556,01,B,2015_Feb_18_1735,X,
stim/posf.jpg,stim/negf.jpg,stim/4.jpg,stim/1.jpg,stim/latef.jpg,AB,2,4,0,0,0,18,,,,,,,,,,2,0,1.39958969933,,,,,,PLC_L_D1S2,P18,60.0162181556,01,B,2015_Feb_18_1735,X,
stim/negf.jpg,stim/posf.jpg,stim/3.jpg,stim/5.jpg,stim/latef.jpg,CD,2,4,0,1,1,39,,,,,,,,,,2,0,0.96634167262,,,,,,PLC_L_D1S2,P18,60.0162181556,01,B,2015_Feb_18_1735,X,
stim/posf.jpg,stim/negf.jpg,stim/6.jpg,stim/2.jpg,stim/latef.jpg,EF,2,4,0,2,2,51,,,,,,,,,,4,1,0.883042825242,,,,,,PLC_L_D1S2,P18,60.0162181556,01,B,2015_Feb_18_1735,X,
stim/posf.jpg,stim/negf.jpg,stim/6.jpg,stim/2.jpg,stim/latef.jpg,EF,2,4,0,3,3,56,,,,,,,,,,4,1,1.16629292712,,,,,,PLC_L_D1S2,P18,60.0162181556,01,B,2015_Feb_18_1735,X,
stim/posf.jpg,stim/negf.jpg,stim/1.jpg,stim/4.jpg,stim/latef.jpg,AB,1,2,0,4,4,1,,,,,,,,,,4,0,1.04964379215,,,,,,PLC_L_D1S2,P18,60.0162181556,01,B,2015_Feb_18_1735,X,
stim/posf.jpg,stim/negf.jpg,stim/2.jpg,stim/6.jpg,stim/latef.jpg,EF,1,2,0,5,5,44,,,,,,,,,,4,0,1.06625972436,,,,,,PLC_L_D1S2,P18,60.0162181556,01,B,2015_Feb_18_1735,X,
stim/negf.jpg,stim/posf.jpg,stim/4.jpg,stim/1.jpg,stim/latef.jpg,AB,2,4,0,6,6,19,,,,,,,,,,4,1,0.916367494981,,,,,,PLC_L_D1S2,P18,60.0162181556,01,B,2015_Feb_18_1735,X,
stim/posf.jpg,stim/negf.jpg,stim/6.jpg,stim/2.jpg,stim/latef.jpg,EF,2,4,0,7,7,57,,,,,,,,,,4,1,1.11628229863,,,,,,PLC_L_D1S2,P18,60.0162181556,01,B,2015_Feb_18_1735,X,
stim/posf.jpg,stim/negf.jpg,stim/4.jpg,stim/1.jpg,stim/latef.jpg,AB,2,4,0,8,8,11,,,,,,,,,,4,1,1.11631016609,,,,,,PLC_L_D1S2,P18,60.0162181556,01,B,2015_Feb_18_1735,X,
stim/posf.jpg,stim/negf.jpg,stim/3.jpg,stim/5.jpg,stim/latef.jpg,CD,2,4,0,9,9,33,,,,,,,,,,2,0,0.933033138097,,,,,,PLC_L_D1S2,P18,60.0162181556,01,B,2015_Feb_18_1735,X,
stim/posf.jpg,stim/negf.jpg,stim/2.jpg,stim/6.jpg,stim/latef.jpg,EF,1,2,0,10,10,41,,,,,,,,,,4,0,1.14963681777,,,,,,PLC_L_D1S2,P18,60.0162181556,01,B,2015_Feb_18_1735,X,
stim/posf.jpg,stim/negf.jpg,stim/4.jpg,stim/1.jpg,stim/latef.jpg,AB,2,4,0,11,11,13,,,,,,,,,,4,1,1.4328878219,,,,,,PLC_L_D1S2,P18,60.0162181556,01,B,2015_Feb_18_1735,X,
stim/posf.jpg,stim/negf.jpg,stim/5.jpg,stim/3.jpg,stim/latef.jpg,CD,1,2,0,12,12,26,,,,,,,,,,2,1,1.29956851753,,,,,,PLC_L_D1S2,P18,60.0162181556,01,B,2015_Feb_18_1735,X,
stim/negf.jpg,stim/posf.jpg,stim/2.jpg,stim/6.jpg,stim/latef.jpg,EF,1,2,0,13,13,48,,,,,,,,,,2,1,1.03298949933,,,,,,PLC_L_D1S2,P18,60.0162181556,01,B,2015_Feb_18_1735,X,
stim/posf.jpg,stim/negf.jpg,stim/6.jpg,stim/2.jpg,stim/latef.jpg,EF,2,4,0,14,14,55,,,,,,,,,,4,1,1.1662747859,,,,,,PLC_L_D1S2,P18,60.0162181556,01,B,2015_Feb_18_1735,X,
stim/negf.jpg,stim/posf.jpg,stim/3.jpg,stim/5.jpg,stim/latef.jpg,CD,2,4,0,15,15,38,,,,,,,,,,4,1,1.16628641589,,,,,,PLC_L_D1S2,P18,60.0162181556,01,B,2015_Feb_18_1735,X,
stim/negf.jpg,stim/posf.jpg,stim/1.jpg,stim/4.jpg,stim/latef.jpg,AB,1,2,0,16,16,9,,,,,,,,,,2,1,1.56613889219,,,,,,PLC_L_D1S2,P18,60.0162181556,01,B,2015_Feb_18_1735,X,
stim/posf.jpg,stim/negf.jpg,stim/5.jpg,stim/3.jpg,stim/latef.jpg,CD,1,2,0,17,17,20,,,,,,,,,,2,1,1.16632547124,,,,,,PLC_L_D1S2,P18,60.0162181556,01,B,2015_Feb_18_1735,X,
stim/posf.jpg,stim/negf.jpg,stim/3.jpg,stim/5.jpg,stim/latef.jpg,CD,2,4,0,18,18,37,,,,,,,,,,4,1,1.19961926001,,,,,,PLC_L_D1S2,P18,60.0162181556,01,B,2015_Feb_18_1735,X,
stim/posf.jpg,stim/negf.jpg,stim/4.jpg,stim/1.jpg,stim/latef.jpg,AB,2,4,0,19,19,15,,,,,,,,,,4,1,1.39952576898,,,,,,PLC_L_D1S2,P18,60.0162181556,01,B,2015_Feb_18_1735,X,
stim/posf.jpg,stim/negf.jpg,stim/1.jpg,stim/4.jpg,stim/latef.jpg,AB,1,2,0,20,20,0,,,,,,,,,,2,1,0.766397855654,,,,,,PLC_L_D1S2,P18,60.0162181556,01,B,2015_Feb_18_1735,X,
stim/posf.jpg,stim/negf.jpg,stim/4.jpg,stim/1.jpg,stim/latef.jpg,AB,2,4,0,21,21,12,,,,,,,,,,4,1,1.28296235367,,,,,,PLC_L_D1S2,P18,60.0162181556,01,B,2015_Feb_18_1735,X,
stim/negf.jpg,stim/posf.jpg,stim/6.jpg,stim/2.jpg,stim/latef.jpg,EF,2,4,0,22,22,59,,,,,,,,,,4,1,1.0163449147,,,,,,PLC_L_D1S2,P18,60.0162181556,01,B,2015_Feb_18_1735,X,
stim/posf.jpg,stim/negf.jpg,stim/5.jpg,stim/3.jpg,stim/latef.jpg,CD,1,2,0,23,23,24,,,,,,,,,,2,1,0.983005189435,,,,,,PLC_L_D1S2,P18,60.0162181556,01,B,2015_Feb_18_1735,X,
stim/negf.jpg,stim/posf.jpg,stim/5.jpg,stim/3.jpg,stim/latef.jpg,CD,1,2,0,24,24,29,,,,,,,,,,2,1,1.06638507079,,,,,,PLC_L_D1S2,P18,60.0162181556,01,B,2015_Feb_18_1735,X,
stim/posf.jpg,stim/negf.jpg,stim/3.jpg,stim/5.jpg,stim/latef.jpg,CD,2,4,0,25,25,35,,,,,,,,,,4,1,0.883032262916,,,,,,PLC_L_D1S2,P18,60.0162181556,01,B,2015_Feb_18_1735,X,
stim/posf.jpg,stim/negf.jpg,stim/1.jpg,stim/4.jpg,stim/latef.jpg,AB,1,2,0,26,26,7,,,,,,,,,,2,1,1.09961050218,,,,,,PLC_L_D1S2,P18,60.0162181556,01,B,2015_Feb_18_1735,X,
stim/posf.jpg,stim/negf.jpg,stim/6.jpg,stim/2.jpg,stim/latef.jpg,EF,2,4,0,27,27,52,,,,,,,,,,4,1,1.26624074706,,,,,,PLC_L_D1S2,P18,60.0162181556,01,B,2015_Feb_18_1735,X,
stim/posf.jpg,stim/negf.jpg,stim/5.jpg,stim/3.jpg,stim/latef.jpg,CD,1,2,0,28,28,25,,,,,,,,,,2,1,0.882989201584,,,,,,PLC_L_D1S2,P18,60.0162181556,01,B,2015_Feb_18_1735,X,
stim/posf.jpg,stim/negf.jpg,stim/4.jpg,stim/1.jpg,stim/latef.jpg,AB,2,4,0,29,29,16,,,,,,,,,,4,1,1.16632297201,,,,,,PLC_L_D1S2,P18,60.0162181556,01,B,2015_Feb_18_1735,X,
stim/posf.jpg,stim/negf.jpg,stim/5.jpg,stim/3.jpg,stim/latef.jpg,CD,1,2,0,30,30,23,,,,,,,,,,2,1,0.833053345465,,,,,,PLC_L_D1S2,P18,60.0162181556,01,B,2015_Feb_18_1735,X,
stim/negf.jpg,stim/posf.jpg,stim/5.jpg,stim/3.jpg,stim/latef.jpg,CD,1,2,0,31,31,28,,,,,,,,,,2,1,0.649757168743,,,,,,PLC_L_D1S2,P18,60.0162181556,01,B,2015_Feb_18_1735,X,
stim/posf.jpg,stim/negf.jpg,stim/6.jpg,stim/2.jpg,stim/latef.jpg,EF,2,4,0,32,32,50,,,,,,,,,,4,1,0.916369140081,,,,,,PLC_L_D1S2,P18,60.0162181556,01,B,2015_Feb_18_1735,X,
stim/posf.jpg,stim/negf.jpg,stim/1.jpg,stim/4.jpg,stim/latef.jpg,AB,1,2,0,33,33,5,,,,,,,,,,2,1,1.13292302464,,,,,,PLC_L_D1S2,P18,60.0162181556,01,B,2015_Feb_18_1735,X,
stim/posf.jpg,stim/negf.jpg,stim/2.jpg,stim/6.jpg,stim/latef.jpg,EF,1,2,0,34,34,40,,,,,,,,,,4,0,0.999705695447,,,,,,PLC_L_D1S2,P18,60.0162181556,01,B,2015_Feb_18_1735,X,
stim/posf.jpg,stim/negf.jpg,stim/2.jpg,stim/6.jpg,stim/latef.jpg,EF,1,2,0,35,35,42,,,,,,,,,,2,1,1.0996679243,,,,,,PLC_L_D1S2,P18,60.0162181556,01,B,2015_Feb_18_1735,X,
stim/negf.jpg,stim/posf.jpg,stim/2.jpg,stim/6.jpg,stim/latef.jpg,EF,1,2,0,36,36,49,,,,,,,,,,2,1,0.91635852362,,,,,,PLC_L_D1S2,P18,60.0162181556,01,B,2015_Feb_18_1735,X,
stim/posf.jpg,stim/negf.jpg,stim/3.jpg,stim/5.jpg,stim/latef.jpg,CD,2,4,0,37,37,32,,,,,,,,,,4,1,0.916349368801,,,,,,PLC_L_D1S2,P18,60.0162181556,01,B,2015_Feb_18_1735,X,
stim/posf.jpg,stim/negf.jpg,stim/1.jpg,stim/4.jpg,stim/latef.jpg,AB,1,2,0,38,38,4,,,,,,,,,,2,1,0.933009634515,,,,,,PLC_L_D1S2,P18,60.0162181556,01,B,2015_Feb_18_1735,X,
stim/posf.jpg,stim/negf.jpg,stim/2.jpg,stim/6.jpg,stim/latef.jpg,EF,1,2,0,39,39,46,,,,,,,,,,2,1,1.31622364644,,,,,,PLC_L_D1S2,P18,60.0162181556,01,B,2015_Feb_18_1735,X,
stim/posf.jpg,stim/negf.jpg,stim/2.jpg,stim/6.jpg,stim/latef.jpg,EF,1,2,0,40,40,47,,,,,,,,,,2,1,1.11630727889,,,,,,PLC_L_D1S2,P18,60.0162181556,01,B,2015_Feb_18_1735,X,
stim/posf.jpg,stim/negf.jpg,stim/5.jpg,stim/3.jpg,stim/latef.jpg,CD,1,2,0,41,41,21,,,,,,,,,,2,1,1.01636884234,,,,,,PLC_L_D1S2,P18,60.0162181556,01,B,2015_Feb_18_1735,X,
stim/posf.jpg,stim/negf.jpg,stim/3.jpg,stim/5.jpg,stim/latef.jpg,CD,2,4,0,42,42,30,,,,,,,,,,4,1,0.899719271283,,,,,,PLC_L_D1S2,P18,60.0162181556,01,B,2015_Feb_18_1735,X,
stim/posf.jpg,stim/negf.jpg,stim/3.jpg,stim/5.jpg,stim/latef.jpg,CD,2,4,0,43,43,34,,,,,,,,,,4,1,0.716440309472,,,,,,PLC_L_D1S2,P18,60.0162181556,01,B,2015_Feb_18_1735,X,
stim/posf.jpg,stim/negf.jpg,stim/5.jpg,stim/3.jpg,stim/latef.jpg,CD,1,2,0,44,44,27,,,,,,,,,,2,1,0.766419181811,,,,,,PLC_L_D1S2,P18,60.0162181556,01,B,2015_Feb_18_1735,X,
stim/posf.jpg,stim/negf.jpg,stim/1.jpg,stim/4.jpg,stim/latef.jpg,AB,1,2,0,45,45,6,,,,,,,,,,2,1,0.81639904963,,,,,,PLC_L_D1S2,P18,60.0162181556,01,B,2015_Feb_18_1735,X,
stim/posf.jpg,stim/negf.jpg,stim/2.jpg,stim/6.jpg,stim/latef.jpg,EF,1,2,0,46,46,43,,,,,,,,,,4,0,0.866376162585,,,,,,PLC_L_D1S2,P18,60.0162181556,01,B,2015_Feb_18_1735,X,
stim/negf.jpg,stim/posf.jpg,stim/6.jpg,stim/2.jpg,stim/latef.jpg,EF,2,4,0,47,47,58,,,,,,,,,,4,1,0.833025306576,,,,,,PLC_L_D1S2,P18,60.0162181556,01,B,2015_Feb_18_1735,X,
stim/posf.jpg,stim/negf.jpg,stim/4.jpg,stim/1.jpg,stim/latef.jpg,AB,2,4,0,48,48,17,,,,,,,,,,4,1,1.06632451184,,,,,,PLC_L_D1S2,P18,60.0162181556,01,B,2015_Feb_18_1735,X,
stim/posf.jpg,stim/negf.jpg,stim/1.jpg,stim/4.jpg,stim/latef.jpg,AB,1,2,0,49,49,3,,,,,,,,,,2,1,0.783143621476,,,,,,PLC_L_D1S2,P18,60.0162181556,01,B,2015_Feb_18_1735,X,
stim/posf.jpg,stim/negf.jpg,stim/5.jpg,stim/3.jpg,stim/latef.jpg,CD,1,2,0,50,50,22,,,,,,,,,,2,1,0.89970283231,,,,,,PLC_L_D1S2,P18,60.0162181556,01,B,2015_Feb_18_1735,X,
stim/posf.jpg,stim/negf.jpg,stim/3.jpg,stim/5.jpg,stim/latef.jpg,CD,2,4,0,51,51,31,,,,,,,,,,4,1,0.783066650627,,,,,,PLC_L_D1S2,P18,60.0162181556,01,B,2015_Feb_18_1735,X,
stim/posf.jpg,stim/negf.jpg,stim/2.jpg,stim/6.jpg,stim/latef.jpg,EF,1,2,0,52,52,45,,,,,,,,,,2,1,1.13296021233,,,,,,PLC_L_D1S2,P18,60.0162181556,01,B,2015_Feb_18_1735,X,
stim/posf.jpg,stim/negf.jpg,stim/4.jpg,stim/1.jpg,stim/latef.jpg,AB,2,4,0,53,53,14,,,,,,,,,,2,0,0.716422435922,,,,,,PLC_L_D1S2,P18,60.0162181556,01,B,2015_Feb_18_1735,X,
stim/posf.jpg,stim/negf.jpg,stim/1.jpg,stim/4.jpg,stim/latef.jpg,AB,1,2,0,54,54,8,,,,,,,,,,2,1,0.549829706544,,,,,,PLC_L_D1S2,P18,60.0162181556,01,B,2015_Feb_18_1735,X,
stim/posf.jpg,stim/negf.jpg,stim/1.jpg,stim/4.jpg,stim/latef.jpg,AB,1,2,0,55,55,2,,,,,,,,,,2,1,0.649843814708,,,,,,PLC_L_D1S2,P18,60.0162181556,01,B,2015_Feb_18_1735,X,
stim/posf.jpg,stim/negf.jpg,stim/4.jpg,stim/1.jpg,stim/latef.jpg,AB,2,4,0,56,56,10,,,,,,,,,,4,1,0.599783174563,,,,,,PLC_L_D1S2,P18,60.0162181556,01,B,2015_Feb_18_1735,X,
stim/posf.jpg,stim/negf.jpg,stim/6.jpg,stim/2.jpg,stim/latef.jpg,EF,2,4,0,57,57,54,,,,,,,,,,4,1,0.799748777828,,,,,,PLC_L_D1S2,P18,60.0162181556,01,B,2015_Feb_18_1735,X,
stim/posf.jpg,stim/negf.jpg,stim/6.jpg,stim/2.jpg,stim/latef.jpg,EF,2,4,0,58,58,53,,,,,,,,,,4,1,1.06631641567,,,,,,PLC_L_D1S2,P18,60.0162181556,01,B,2015_Feb_18_1735,X,
stim/posf.jpg,stim/negf.jpg,stim/3.jpg,stim/5.jpg,stim/latef.jpg,CD,2,4,0,59,59,36,,,,,,,,,,4,1,0.91635978677,,,,,,PLC_L_D1S2,P18,60.0162181556,01,B,2015_Feb_18_1735,X,
,,,,,,,,,,,,,,,,,,,,,,,,0.9984375,-0.998046875,1,0,0,PLC_L_D1S2,P18,60.0162181556,01,B,2015_Feb_18_1735,X,
stim/negf.jpg,stim/posf.jpg,stim/3.jpg,stim/5.jpg,stim/latef.jpg,CD,2,4,,,,,0,0,0,39,,,,,,4,1,0.999665022067,,,,,,PLC_L_D1S2,P18,60.0162181556,01,B,2015_Feb_18_1735,X,
stim/posf.jpg,stim/negf.jpg,stim/3.jpg,stim/5.jpg,stim/latef.jpg,CD,2,4,,,,,0,1,1,30,,,,,,4,1,1.13293839595,,,,,,PLC_L_D1S2,P18,60.0162181556,01,B,2015_Feb_18_1735,X,
stim/posf.jpg,stim/negf.jpg,stim/4.jpg,stim/1.jpg,stim/latef.jpg,AB,2,4,,,,,0,2,2,14,,,,,,4,1,0.999653121404,,,,,,PLC_L_D1S2,P18,60.0162181556,01,B,2015_Feb_18_1735,X,
stim/negf.jpg,stim/posf.jpg,stim/2.jpg,stim/6.jpg,stim/latef.jpg,EF,1,2,,,,,0,3,3,48,,,,,,2,1,1.06630694506,,,,,,PLC_L_D1S2,P18,60.0162181556,01,B,2015_Feb_18_1735,X,
stim/negf.jpg,stim/posf.jpg,stim/6.jpg,stim/2.jpg,stim/latef.jpg,EF,2,4,,,,,0,4,4,59,,,,,,4,1,0.749701972167,,,,,,PLC_L_D1S2,P18,60.0162181556,01,B,2015_Feb_18_1735,X,
stim/posf.jpg,stim/negf.jpg,stim/4.jpg,stim/1.jpg,stim/latef.jpg,AB,2,4,,,,,0,5,5,11,,,,,,4,1,1.04965590334,,,,,,PLC_L_D1S2,P18,60.0162181556,01,B,2015_Feb_18_1735,X,
stim/posf.jpg,stim/negf.jpg,stim/1.jpg,stim/4.jpg,stim/latef.jpg,AB,1,2,,,,,0,6,6,2,,,,,,4,0,1.36621739987,,,,,,PLC_L_D1S2,P18,60.0162181556,01,B,2015_Feb_18_1735,X,
stim/posf.jpg,stim/negf.jpg,stim/3.jpg,stim/5.jpg,stim/latef.jpg,CD,2,4,,,,,0,7,7,31,,,,,,4,1,1.01633019902,,,,,,PLC_L_D1S2,P18,60.0162181556,01,B,2015_Feb_18_1735,X,
stim/posf.jpg,stim/negf.jpg,stim/4.jpg,stim/1.jpg,stim/latef.jpg,AB,2,4,,,,,0,8,8,15,,,,,,4,1,1.31622906294,,,,,,PLC_L_D1S2,P18,60.0162181556,01,B,2015_Feb_18_1735,X,
stim/negf.jpg,stim/posf.jpg,stim/6.jpg,stim/2.jpg,stim/latef.jpg,EF,2,4,,,,,0,9,9,58,,,,,,4,1,1.33288944895,,,,,,PLC_L_D1S2,P18,60.0162181556,01,B,2015_Feb_18_1735,X,
