fb_corr,fb_incorr,symbol2,symbol1,fb_late,pair,position,correct,block_01.thisRepN,block_01.thisTrialN,block_01.thisN,block_01.thisIndex,block_02.thisRepN,block_02.thisTrialN,block_02.thisN,block_02.thisIndex,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,buttonBox_2.keys,buttonBox_2.corr,buttonBox_2.rt,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,expName,Participant,frameRate,SessionNumber,Version,date,Group,
,,,,,,,,,,,,,,,,0.9984375,1.0,1,0,0,,,,,,,,,PLC_L_D1S2,P24,60.0208465844,01,C,2015_Mrz_04_1745,X,
stim/posf.jpg,stim/negf.jpg,stim/4.jpg,stim/2.jpg,stim/latef.jpg,CD,1,2,0,0,0,26,,,,,,,,,,4,0,1.13306340455,,,,,,PLC_L_D1S2,P24,60.0208465844,01,C,2015_Mrz_04_1745,X,
stim/posf.jpg,stim/negf.jpg,stim/4.jpg,stim/2.jpg,stim/latef.jpg,CD,1,2,0,1,1,24,,,,,,,,,,2,1,1.11637334917,,,,,,PLC_L_D1S2,P24,60.0208465844,01,C,2015_Mrz_04_1745,X,
stim/posf.jpg,stim/negf.jpg,stim/5.jpg,stim/3.jpg,stim/latef.jpg,AB,1,2,0,2,2,1,,,,,,,,,,4,0,1.21628802081,,,,,,PLC_L_D1S2,P24,60.0208465844,01,C,2015_Mrz_04_1745,X,
stim/posf.jpg,stim/negf.jpg,stim/5.jpg,stim/3.jpg,stim/latef.jpg,AB,1,2,0,3,3,4,,,,,,,,,,2,1,0.549790091089,,,,,,PLC_L_D1S2,P24,60.0208465844,01,C,2015_Mrz_04_1745,X,
stim/posf.jpg,stim/negf.jpg,stim/1.jpg,stim/6.jpg,stim/latef.jpg,EF,2,4,0,4,4,56,,,,,,,,,,2,0,1.33281867047,,,,,,PLC_L_D1S2,P24,60.0208465844,01,C,2015_Mrz_04_1745,X,
stim/posf.jpg,stim/negf.jpg,stim/1.jpg,stim/6.jpg,stim/latef.jpg,EF,2,4,0,5,5,55,,,,,,,,,,4,1,0.699746541204,,,,,,PLC_L_D1S2,P24,60.0208465844,01,C,2015_Mrz_04_1745,X,
stim/posf.jpg,stim/negf.jpg,stim/6.jpg,stim/1.jpg,stim/latef.jpg,EF,1,2,0,6,6,46,,,,,,,,,,2,1,1.58286543836,,,,,,PLC_L_D1S2,P24,60.0208465844,01,C,2015_Mrz_04_1745,X,
stim/posf.jpg,stim/negf.jpg,stim/5.jpg,stim/3.jpg,stim/latef.jpg,AB,1,2,0,7,7,8,,,,,,,,,,4,0,0.833061696298,,,,,,PLC_L_D1S2,P24,60.0208465844,01,C,2015_Mrz_04_1745,X,
stim/posf.jpg,stim/negf.jpg,stim/1.jpg,stim/6.jpg,stim/latef.jpg,EF,2,4,0,8,8,50,,,,,,,,,,2,0,0.799737614989,,,,,,PLC_L_D1S2,P24,60.0208465844,01,C,2015_Mrz_04_1745,X,
