fb_corr,fb_incorr,symbol2,symbol1,fb_late,pair,position,correct,block_01.thisRepN,block_01.thisTrialN,block_01.thisN,block_01.thisIndex,block_02.thisRepN,block_02.thisTrialN,block_02.thisN,block_02.thisIndex,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,buttonBox_2.keys,buttonBox_2.corr,buttonBox_2.rt,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,expName,Participant,frameRate,SessionNumber,Version,date,Group,
,,,,,,,,,,,,,,,,0.9765625,1.0,1,0,0,,,,,,,,,PLC_L_D1S2,P27,60.0182038806,01,A,2015_Jul_30_1550,X,
stim/negf.jpg,stim/posf.jpg,stim/6.jpg,stim/3.jpg,stim/latef.jpg,EF,2,4,0,0,0,58,,,,,,,,,,2,0,0.883058831137,,,,,,PLC_L_D1S2,P27,60.0182038806,01,A,2015_Jul_30_1550,X,
stim/posf.jpg,stim/negf.jpg,stim/4.jpg,stim/1.jpg,stim/latef.jpg,AB,1,2,0,1,1,8,,,,,,,,,,2,1,0.966353741701,,,,,,PLC_L_D1S2,P27,60.0182038806,01,A,2015_Jul_30_1550,X,
stim/posf.jpg,stim/negf.jpg,stim/1.jpg,stim/4.jpg,stim/latef.jpg,AB,2,4,0,2,2,13,,,,,,,,,,4,1,1.33291866678,,,,,,PLC_L_D1S2,P27,60.0182038806,01,A,2015_Jul_30_1550,X,
stim/posf.jpg,stim/negf.jpg,stim/6.jpg,stim/3.jpg,stim/latef.jpg,EF,2,4,0,3,3,51,,,,,,,,,,2,0,0.88302678025,,,,,,PLC_L_D1S2,P27,60.0182038806,01,A,2015_Jul_30_1550,X,
stim/posf.jpg,stim/negf.jpg,stim/1.jpg,stim/4.jpg,stim/latef.jpg,AB,2,4,0,4,4,14,,,,,,,,,,4,1,0.999659346922,,,,,,PLC_L_D1S2,P27,60.0182038806,01,A,2015_Jul_30_1550,X,
stim/posf.jpg,stim/negf.jpg,stim/6.jpg,stim/3.jpg,stim/latef.jpg,EF,2,4,0,5,5,55,,,,,,,,,,2,0,1.01637109495,,,,,,PLC_L_D1S2,P27,60.0182038806,01,A,2015_Jul_30_1550,X,
stim/posf.jpg,stim/negf.jpg,stim/2.jpg,stim/5.jpg,stim/latef.jpg,CD,2,4,0,6,6,32,,,,,,,,,,4,1,1.09967776784,,,,,,PLC_L_D1S2,P27,60.0182038806,01,A,2015_Jul_30_1550,X,
stim/negf.jpg,stim/posf.jpg,stim/5.jpg,stim/2.jpg,stim/latef.jpg,CD,1,2,0,7,7,29,,,,,,,,,,4,0,0.666424294554,,,,,,PLC_L_D1S2,P27,60.0182038806,01,A,2015_Jul_30_1550,X,
stim/negf.jpg,stim/posf.jpg,stim/4.jpg,stim/1.jpg,stim/latef.jpg,AB,1,2,0,8,8,9,,,,,,,,,,2,1,0.983006891678,,,,,,PLC_L_D1S2,P27,60.0182038806,01,A,2015_Jul_30_1550,X,
stim/posf.jpg,stim/negf.jpg,stim/5.jpg,stim/2.jpg,stim/latef.jpg,CD,1,2,0,9,9,21,,,,,,,,,,2,1,1.21624398313,,,,,,PLC_L_D1S2,P27,60.0182038806,01,A,2015_Jul_30_1550,X,
stim/negf.jpg,stim/posf.jpg,stim/6.jpg,stim/3.jpg,stim/latef.jpg,EF,2,4,0,10,10,59,,,,,,,,,,2,0,1.16530202329,,,,,,PLC_L_D1S2,P27,60.0182038806,01,A,2015_Jul_30_1550,X,
stim/posf.jpg,stim/negf.jpg,stim/2.jpg,stim/5.jpg,stim/latef.jpg,CD,2,4,0,11,11,30,,,,,,,,,,4,1,1.19954751017,,,,,,PLC_L_D1S2,P27,60.0182038806,01,A,2015_Jul_30_1550,X,
stim/posf.jpg,stim/negf.jpg,stim/3.jpg,stim/6.jpg,stim/latef.jpg,EF,1,2,0,12,12,45,,,,,,,,,,4,0,0.71642141638,,,,,,PLC_L_D1S2,P27,60.0182038806,01,A,2015_Jul_30_1550,X,
stim/posf.jpg,stim/negf.jpg,stim/6.jpg,stim/3.jpg,stim/latef.jpg,EF,2,4,0,13,13,53,,,,,,,,,,2,0,0.91636861377,,,,,,PLC_L_D1S2,P27,60.0182038806,01,A,2015_Jul_30_1550,X,
stim/posf.jpg,stim/negf.jpg,stim/4.jpg,stim/1.jpg,stim/latef.jpg,AB,1,2,0,14,14,3,,,,,,,,,,2,1,1.24953262006,,,,,,PLC_L_D1S2,P27,60.0182038806,01,A,2015_Jul_30_1550,X,
stim/posf.jpg,stim/negf.jpg,stim/5.jpg,stim/2.jpg,stim/latef.jpg,CD,1,2,0,15,15,22,,,,,,,,,,2,1,1.1662611439,,,,,,PLC_L_D1S2,P27,60.0182038806,01,A,2015_Jul_30_1550,X,
stim/negf.jpg,stim/posf.jpg,stim/3.jpg,stim/6.jpg,stim/latef.jpg,EF,1,2,0,16,16,49,,,,,,,,,,2,1,1.41624089142,,,,,,PLC_L_D1S2,P27,60.0182038806,01,A,2015_Jul_30_1550,X,
stim/posf.jpg,stim/negf.jpg,stim/4.jpg,stim/1.jpg,stim/latef.jpg,AB,1,2,0,17,17,7,,,,,,,,,,2,1,0.982987360997,,,,,,PLC_L_D1S2,P27,60.0182038806,01,A,2015_Jul_30_1550,X,
stim/posf.jpg,stim/negf.jpg,stim/4.jpg,stim/1.jpg,stim/latef.jpg,AB,1,2,0,18,18,5,,,,,,,,,,2,1,0.733094620341,,,,,,PLC_L_D1S2,P27,60.0182038806,01,A,2015_Jul_30_1550,X,
stim/posf.jpg,stim/negf.jpg,stim/6.jpg,stim/3.jpg,stim/latef.jpg,EF,2,4,0,19,19,52,,,,,,,,,,2,0,0.833059288276,,,,,,PLC_L_D1S2,P27,60.0182038806,01,A,2015_Jul_30_1550,X,
stim/posf.jpg,stim/negf.jpg,stim/3.jpg,stim/6.jpg,stim/latef.jpg,EF,1,2,0,20,20,43,,,,,,,,,,4,0,1.18294015534,,,,,,PLC_L_D1S2,P27,60.0182038806,01,A,2015_Jul_30_1550,X,
stim/posf.jpg,stim/negf.jpg,stim/4.jpg,stim/1.jpg,stim/latef.jpg,AB,1,2,0,21,21,4,,,,,,,,,,2,1,0.849662038631,,,,,,PLC_L_D1S2,P27,60.0182038806,01,A,2015_Jul_30_1550,X,
stim/posf.jpg,stim/negf.jpg,stim/2.jpg,stim/5.jpg,stim/latef.jpg,CD,2,4,0,22,22,36,,,,,,,,,,4,1,0.999684522672,,,,,,PLC_L_D1S2,P27,60.0182038806,01,A,2015_Jul_30_1550,X,
stim/posf.jpg,stim/negf.jpg,stim/5.jpg,stim/2.jpg,stim/latef.jpg,CD,1,2,0,23,23,24,,,,,,,,,,2,1,0.899694035383,,,,,,PLC_L_D1S2,P27,60.0182038806,01,A,2015_Jul_30_1550,X,
