fb_corr,fb_incorr,symbol2,symbol1,fb_late,pair,position,correct,block_01.thisRepN,block_01.thisTrialN,block_01.thisN,block_01.thisIndex,block_02.thisRepN,block_02.thisTrialN,block_02.thisN,block_02.thisIndex,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,buttonBox_2.keys,buttonBox_2.corr,buttonBox_2.rt,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,expName,Participant,frameRate,SessionNumber,Version,date,Group,
,,,,,,,,,,,,,,,,0.9984375,1.0,1,0,0,,,,,,,,,PLC_L_D1S2,P6,60.0178962093,01,A,2015_Jan_07_1527,X,
stim/posf.jpg,stim/negf.jpg,stim/1.jpg,stim/5.jpg,stim/latef.jpg,EF,2,4,0,0,0,57,,,,,,,,,,2,0,1.31635670409,,,,,,PLC_L_D1S2,P6,60.0178962093,01,A,2015_Jan_07_1527,X,
stim/posf.jpg,stim/negf.jpg,stim/5.jpg,stim/1.jpg,stim/latef.jpg,EF,1,2,0,1,1,43,,,,,,,,,,2,1,1.49946988669,,,,,,PLC_L_D1S2,P6,60.0178962093,01,A,2015_Jan_07_1527,X,
stim/posf.jpg,stim/negf.jpg,stim/3.jpg,stim/4.jpg,stim/latef.jpg,AB,2,4,0,2,2,12,,,,,,,,,,2,0,1.33285892888,,,,,,PLC_L_D1S2,P6,60.0178962093,01,A,2015_Jan_07_1527,X,
stim/posf.jpg,stim/negf.jpg,stim/5.jpg,stim/1.jpg,stim/latef.jpg,EF,1,2,0,3,3,45,,,,,,,,,,2,1,1.59946205818,,,,,,PLC_L_D1S2,P6,60.0178962093,01,A,2015_Jan_07_1527,X,
stim/posf.jpg,stim/negf.jpg,stim/5.jpg,stim/1.jpg,stim/latef.jpg,EF,1,2,0,4,4,46,,,,,,,,,,2,1,1.31623940572,,,,,,PLC_L_D1S2,P6,60.0178962093,01,A,2015_Jan_07_1527,X,
stim/posf.jpg,stim/negf.jpg,stim/3.jpg,stim/4.jpg,stim/latef.jpg,AB,2,4,0,5,5,17,,,,,,,,,,4,1,1.29958626777,,,,,,PLC_L_D1S2,P6,60.0178962093,01,A,2015_Jan_07_1527,X,
stim/posf.jpg,stim/negf.jpg,stim/4.jpg,stim/3.jpg,stim/latef.jpg,AB,1,2,0,6,6,5,,,,,,,,,,2,1,0.982986840701,,,,,,PLC_L_D1S2,P6,60.0178962093,01,A,2015_Jan_07_1527,X,
stim/negf.jpg,stim/posf.jpg,stim/5.jpg,stim/1.jpg,stim/latef.jpg,EF,1,2,0,7,7,48,,,,,,,,,,2,1,1.49951174803,,,,,,PLC_L_D1S2,P6,60.0178962093,01,A,2015_Jan_07_1527,X,
stim/posf.jpg,stim/negf.jpg,stim/2.jpg,stim/6.jpg,stim/latef.jpg,CD,2,4,0,8,8,33,,,,,,,,,,2,0,1.09963505838,,,,,,PLC_L_D1S2,P6,60.0178962093,01,A,2015_Jan_07_1527,X,
stim/posf.jpg,stim/negf.jpg,stim/6.jpg,stim/2.jpg,stim/latef.jpg,CD,1,2,0,9,9,20,,,,,,,,,,2,1,0.716427774227,,,,,,PLC_L_D1S2,P6,60.0178962093,01,A,2015_Jan_07_1527,X,
stim/posf.jpg,stim/negf.jpg,stim/3.jpg,stim/4.jpg,stim/latef.jpg,AB,2,4,0,10,10,10,,,,,,,,,,4,1,1.63281071571,,,,,,PLC_L_D1S2,P6,60.0178962093,01,A,2015_Jan_07_1527,X,
stim/posf.jpg,stim/negf.jpg,stim/2.jpg,stim/6.jpg,stim/latef.jpg,CD,2,4,0,11,11,36,,,,,,,,,,4,1,1.6161358065,,,,,,PLC_L_D1S2,P6,60.0178962093,01,A,2015_Jan_07_1527,X,
stim/negf.jpg,stim/posf.jpg,stim/2.jpg,stim/6.jpg,stim/latef.jpg,CD,2,4,0,12,12,38,,,,,,,,,,4,1,0.833051152998,,,,,,PLC_L_D1S2,P6,60.0178962093,01,A,2015_Jan_07_1527,X,
stim/posf.jpg,stim/negf.jpg,stim/1.jpg,stim/5.jpg,stim/latef.jpg,EF,2,4,0,13,13,53,,,,,,,,,,4,1,1.03303499372,,,,,,PLC_L_D1S2,P6,60.0178962093,01,A,2015_Jan_07_1527,X,
stim/posf.jpg,stim/negf.jpg,stim/6.jpg,stim/2.jpg,stim/latef.jpg,CD,1,2,0,14,14,27,,,,,,,,,,2,1,1.24957484229,,,,,,PLC_L_D1S2,P6,60.0178962093,01,A,2015_Jan_07_1527,X,
stim/posf.jpg,stim/negf.jpg,stim/1.jpg,stim/5.jpg,stim/latef.jpg,EF,2,4,0,15,15,54,,,,,,,,,,4,1,1.18295582439,,,,,,PLC_L_D1S2,P6,60.0178962093,01,A,2015_Jan_07_1527,X,
stim/posf.jpg,stim/negf.jpg,stim/1.jpg,stim/5.jpg,stim/latef.jpg,EF,2,4,0,16,16,51,,,,,,,,,,4,1,0.816392992534,,,,,,PLC_L_D1S2,P6,60.0178962093,01,A,2015_Jan_07_1527,X,
