fb_corr,fb_incorr,symbol2,symbol1,fb_late,pair,position,correct,block_01.thisRepN,block_01.thisTrialN,block_01.thisN,block_01.thisIndex,block_02.thisRepN,block_02.thisTrialN,block_02.thisN,block_02.thisIndex,block_03.thisRepN,block_03.thisTrialN,block_03.thisN,block_03.thisIndex,block_04.thisRepN,block_04.thisTrialN,block_04.thisN,block_04.thisIndex,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,buttonBox_2.keys,buttonBox_2.corr,buttonBox_2.rt,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,expName,Participant,frameRate,SessionNumber,Version,date,Group,
,,,,,,,,,,,,,,,,,,,,,,,,0.984375,0.916015625,1,0,0,,,,,,,,,PLC_L_D2S1,P12,60.0172822553,02,A,2015_Jan_31_1553,X,
stim/posf.jpg,stim/negf.jpg,stim/2.jpg,stim/6.jpg,stim/latef.jpg,CD,2,4,0,0,0,32,,,,,,,,,,,,,,,,,,4,1,1.19964862953,,,,,,PLC_L_D2S1,P12,60.0172822553,02,A,2015_Jan_31_1553,X,
stim/negf.jpg,stim/posf.jpg,stim/2.jpg,stim/6.jpg,stim/latef.jpg,CD,2,4,0,1,1,38,,,,,,,,,,,,,,,,,,4,1,0.816451438518,,,,,,PLC_L_D2S1,P12,60.0172822553,02,A,2015_Jan_31_1553,X,
stim/posf.jpg,stim/negf.jpg,stim/2.jpg,stim/6.jpg,stim/latef.jpg,CD,2,4,0,2,2,31,,,,,,,,,,,,,,,,,,4,1,0.61645438886,,,,,,PLC_L_D2S1,P12,60.0172822553,02,A,2015_Jan_31_1553,X,
stim/posf.jpg,stim/negf.jpg,stim/6.jpg,stim/2.jpg,stim/latef.jpg,CD,1,2,0,3,3,21,,,,,,,,,,,,,,,,,,2,1,0.633106913832,,,,,,PLC_L_D2S1,P12,60.0172822553,02,A,2015_Jan_31_1553,X,
stim/posf.jpg,stim/negf.jpg,stim/2.jpg,stim/6.jpg,stim/latef.jpg,CD,2,4,0,4,4,36,,,,,,,,,,,,,,,,,,4,1,0.549866896238,,,,,,PLC_L_D2S1,P12,60.0172822553,02,A,2015_Jan_31_1553,X,
stim/posf.jpg,stim/negf.jpg,stim/3.jpg,stim/5.jpg,stim/latef.jpg,EF,1,2,0,5,5,44,,,,,,,,,,,,,,,,,,2,1,0.949669602222,,,,,,PLC_L_D2S1,P12,60.0172822553,02,A,2015_Jan_31_1553,X,
stim/posf.jpg,stim/negf.jpg,stim/3.jpg,stim/5.jpg,stim/latef.jpg,EF,1,2,0,6,6,42,,,,,,,,,,,,,,,,,,2,1,0.533120300147,,,,,,PLC_L_D2S1,P12,60.0172822553,02,A,2015_Jan_31_1553,X,
stim/negf.jpg,stim/posf.jpg,stim/6.jpg,stim/2.jpg,stim/latef.jpg,CD,1,2,0,7,7,29,,,,,,,,,,,,,,,,,,2,1,0.849717090409,,,,,,PLC_L_D2S1,P12,60.0172822553,02,A,2015_Jan_31_1553,X,
stim/posf.jpg,stim/negf.jpg,stim/1.jpg,stim/4.jpg,stim/latef.jpg,AB,1,2,0,8,8,6,,,,,,,,,,,,,,,,,,4,0,0.899696734248,,,,,,PLC_L_D2S1,P12,60.0172822553,02,A,2015_Jan_31_1553,X,
stim/posf.jpg,stim/negf.jpg,stim/1.jpg,stim/4.jpg,stim/latef.jpg,AB,1,2,0,9,9,5,,,,,,,,,,,,,,,,,,4,0,0.79974640286,,,,,,PLC_L_D2S1,P12,60.0172822553,02,A,2015_Jan_31_1553,X,
stim/posf.jpg,stim/negf.jpg,stim/1.jpg,stim/4.jpg,stim/latef.jpg,AB,1,2,0,10,10,3,,,,,,,,,,,,,,,,,,2,1,0.79970425296,,,,,,PLC_L_D2S1,P12,60.0172822553,02,A,2015_Jan_31_1553,X,
