fb_corr,fb_incorr,symbol2,symbol1,fb_late,pair,position,correct,block_01.thisRepN,block_01.thisTrialN,block_01.thisN,block_01.thisIndex,block_02.thisRepN,block_02.thisTrialN,block_02.thisN,block_02.thisIndex,block_03.thisRepN,block_03.thisTrialN,block_03.thisN,block_03.thisIndex,block_04.thisRepN,block_04.thisTrialN,block_04.thisN,block_04.thisIndex,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,buttonBox_2.keys,buttonBox_2.corr,buttonBox_2.rt,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,expName,Participant,frameRate,SessionNumber,Version,date,Group,
,,,,,,,,,,,,,,,,,,,,,,,,0.9984375,1.0,1,0,0,,,,,,,,,PLC_L_D2S1,P18,60.0206881182,02,A,2015_Feb_19_1406,X,
stim/posf.jpg,stim/negf.jpg,stim/1.jpg,stim/4.jpg,stim/latef.jpg,AB,2,4,0,0,0,17,,,,,,,,,,,,,,,,,,2,0,0.59982440132,,,,,,PLC_L_D2S1,P18,60.0206881182,02,A,2015_Feb_19_1406,X,
stim/posf.jpg,stim/negf.jpg,stim/5.jpg,stim/2.jpg,stim/latef.jpg,CD,1,2,0,1,1,22,,,,,,,,,,,,,,,,,,4,0,0.816389467748,,,,,,PLC_L_D2S1,P18,60.0206881182,02,A,2015_Feb_19_1406,X,
stim/negf.jpg,stim/posf.jpg,stim/3.jpg,stim/6.jpg,stim/latef.jpg,EF,1,2,0,2,2,47,,,,,,,,,,,,,,,,,,2,1,1.08297345433,,,,,,PLC_L_D2S1,P18,60.0206881182,02,A,2015_Feb_19_1406,X,
stim/posf.jpg,stim/negf.jpg,stim/4.jpg,stim/1.jpg,stim/latef.jpg,AB,1,2,0,3,3,6,,,,,,,,,,,,,,,,,,2,1,1.01632752836,,,,,,PLC_L_D2S1,P18,60.0206881182,02,A,2015_Feb_19_1406,X,
stim/posf.jpg,stim/negf.jpg,stim/6.jpg,stim/3.jpg,stim/latef.jpg,EF,2,4,0,4,4,55,,,,,,,,,,,,,,,,,,2,0,0.883052954489,,,,,,PLC_L_D2S1,P18,60.0206881182,02,A,2015_Feb_19_1406,X,
stim/posf.jpg,stim/negf.jpg,stim/4.jpg,stim/1.jpg,stim/latef.jpg,AB,1,2,0,5,5,7,,,,,,,,,,,,,,,,,,2,1,0.699749153766,,,,,,PLC_L_D2S1,P18,60.0206881182,02,A,2015_Feb_19_1406,X,
stim/posf.jpg,stim/negf.jpg,stim/6.jpg,stim/3.jpg,stim/latef.jpg,EF,2,4,0,6,6,52,,,,,,,,,,,,,,,,,,2,0,0.96634304103,,,,,,PLC_L_D2S1,P18,60.0206881182,02,A,2015_Feb_19_1406,X,
stim/posf.jpg,stim/negf.jpg,stim/5.jpg,stim/2.jpg,stim/latef.jpg,CD,1,2,0,7,7,23,,,,,,,,,,,,,,,,,,2,1,0.749732095248,,,,,,PLC_L_D2S1,P18,60.0206881182,02,A,2015_Feb_19_1406,X,
stim/posf.jpg,stim/negf.jpg,stim/1.jpg,stim/4.jpg,stim/latef.jpg,AB,2,4,0,8,8,11,,,,,,,,,,,,,,,,,,4,1,1.06631633446,,,,,,PLC_L_D2S1,P18,60.0206881182,02,A,2015_Feb_19_1406,X,
stim/posf.jpg,stim/negf.jpg,stim/1.jpg,stim/4.jpg,stim/latef.jpg,AB,2,4,0,9,9,13,,,,,,,,,,,,,,,,,,4,1,1.01628009113,,,,,,PLC_L_D2S1,P18,60.0206881182,02,A,2015_Feb_19_1406,X,
stim/negf.jpg,stim/posf.jpg,stim/3.jpg,stim/6.jpg,stim/latef.jpg,EF,1,2,0,10,10,49,,,,,,,,,,,,,,,,,,2,1,1.48285187029,,,,,,PLC_L_D2S1,P18,60.0206881182,02,A,2015_Feb_19_1406,X,
stim/negf.jpg,stim/posf.jpg,stim/6.jpg,stim/3.jpg,stim/latef.jpg,EF,2,4,0,11,11,58,,,,,,,,,,,,,,,,,,4,1,0.79975192367,,,,,,PLC_L_D2S1,P18,60.0206881182,02,A,2015_Feb_19_1406,X,
stim/posf.jpg,stim/negf.jpg,stim/3.jpg,stim/6.jpg,stim/latef.jpg,EF,1,2,0,12,12,43,,,,,,,,,,,,,,,,,,4,0,0.916366995737,,,,,,PLC_L_D2S1,P18,60.0206881182,02,A,2015_Feb_19_1406,X,
stim/negf.jpg,stim/posf.jpg,stim/6.jpg,stim/3.jpg,stim/latef.jpg,EF,2,4,0,13,13,59,,,,,,,,,,,,,,,,,,2,0,0.616450586086,,,,,,PLC_L_D2S1,P18,60.0206881182,02,A,2015_Feb_19_1406,X,
