fb_corr,fb_incorr,symbol2,symbol1,fb_late,pair,position,correct,block_01.thisRepN,block_01.thisTrialN,block_01.thisN,block_01.thisIndex,block_02.thisRepN,block_02.thisTrialN,block_02.thisN,block_02.thisIndex,block_03.thisRepN,block_03.thisTrialN,block_03.thisN,block_03.thisIndex,block_04.thisRepN,block_04.thisTrialN,block_04.thisN,block_04.thisIndex,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,buttonBox_2.keys,buttonBox_2.corr,buttonBox_2.rt,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,expName,Participant,frameRate,SessionNumber,Version,date,Group,
,,,,,,,,,,,,,,,,,,,,,,,,0.9984375,1.0,1,0,0,,,,,,,,,PLC_L_D2S1,P22,60.0154479504,02,C,2015_Feb_28_1415,X,
stim/negf.jpg,stim/posf.jpg,stim/6.jpg,stim/1.jpg,stim/latef.jpg,AB,2,4,0,0,0,19,,,,,,,,,,,,,,,,,,4,1,0.949672050586,,,,,,PLC_L_D2S1,P22,60.0154479504,02,C,2015_Feb_28_1415,X,
stim/posf.jpg,stim/negf.jpg,stim/6.jpg,stim/1.jpg,stim/latef.jpg,AB,2,4,0,1,1,11,,,,,,,,,,,,,,,,,,4,1,0.699751893595,,,,,,PLC_L_D2S1,P22,60.0154479504,02,C,2015_Feb_28_1415,X,
stim/negf.jpg,stim/posf.jpg,stim/5.jpg,stim/3.jpg,stim/latef.jpg,CD,1,2,0,2,2,29,,,,,,,,,,,,,,,,,,2,1,1.16627110172,,,,,,PLC_L_D2S1,P22,60.0154479504,02,C,2015_Feb_28_1415,X,
stim/posf.jpg,stim/negf.jpg,stim/2.jpg,stim/4.jpg,stim/latef.jpg,EF,2,4,0,3,3,51,,,,,,,,,,,,,,,,,,4,1,1.18292242013,,,,,,PLC_L_D2S1,P22,60.0154479504,02,C,2015_Feb_28_1415,X,
stim/posf.jpg,stim/negf.jpg,stim/1.jpg,stim/6.jpg,stim/latef.jpg,AB,1,2,0,4,4,5,,,,,,,,,,,,,,,,,,2,1,1.08300689769,,,,,,PLC_L_D2S1,P22,60.0154479504,02,C,2015_Feb_28_1415,X,
stim/negf.jpg,stim/posf.jpg,stim/6.jpg,stim/1.jpg,stim/latef.jpg,AB,2,4,0,5,5,18,,,,,,,,,,,,,,,,,,4,1,1.06628516778,,,,,,PLC_L_D2S1,P22,60.0154479504,02,C,2015_Feb_28_1415,X,
stim/posf.jpg,stim/negf.jpg,stim/5.jpg,stim/3.jpg,stim/latef.jpg,CD,1,2,0,6,6,24,,,,,,,,,,,,,,,,,,2,1,1.24959513989,,,,,,PLC_L_D2S1,P22,60.0154479504,02,C,2015_Feb_28_1415,X,
stim/negf.jpg,stim/posf.jpg,stim/2.jpg,stim/4.jpg,stim/latef.jpg,EF,2,4,0,7,7,56,,,,,,,,,,,,,,,,,,2,0,1.38282884189,,,,,,PLC_L_D2S1,P22,60.0154479504,02,C,2015_Feb_28_1415,X,
stim/posf.jpg,stim/negf.jpg,stim/6.jpg,stim/1.jpg,stim/latef.jpg,AB,2,4,0,8,8,14,,,,,,,,,,,,,,,,,,4,1,0.749749409403,,,,,,PLC_L_D2S1,P22,60.0154479504,02,C,2015_Feb_28_1415,X,
