fb_corr,fb_incorr,symbol2,symbol1,fb_late,pair,position,correct,block_01.thisRepN,block_01.thisTrialN,block_01.thisN,block_01.thisIndex,block_02.thisRepN,block_02.thisTrialN,block_02.thisN,block_02.thisIndex,block_03.thisRepN,block_03.thisTrialN,block_03.thisN,block_03.thisIndex,block_04.thisRepN,block_04.thisTrialN,block_04.thisN,block_04.thisIndex,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,buttonBox_2.keys,buttonBox_2.corr,buttonBox_2.rt,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,expName,Participant,frameRate,SessionNumber,Version,date,Group,
,,,,,,,,,,,,,,,,,,,,,,,,0.9984375,0.904296875,1,0,0,,,,,,,,,PLC_L_D2S1,P29,60.0189256943,02,A,2015_Aug_06_1427,X,
stim/posf.jpg,stim/negf.jpg,stim/5.jpg,stim/1.jpg,stim/latef.jpg,EF,2,4,0,0,0,51,,,,,,,,,,,,,,,,,,4,1,0.666477689349,,,,,,PLC_L_D2S1,P29,60.0189256943,02,A,2015_Aug_06_1427,X,
stim/posf.jpg,stim/negf.jpg,stim/3.jpg,stim/2.jpg,stim/latef.jpg,AB,2,4,0,1,1,10,,,,,,,,,,,,,,,,,,2,0,0.783056699361,,,,,,PLC_L_D2S1,P29,60.0189256943,02,A,2015_Aug_06_1427,X,
stim/posf.jpg,stim/negf.jpg,stim/3.jpg,stim/2.jpg,stim/latef.jpg,AB,2,4,0,2,2,13,,,,,,,,,,,,,,,,,,2,0,0.749750650933,,,,,,PLC_L_D2S1,P29,60.0189256943,02,A,2015_Aug_06_1427,X,
stim/posf.jpg,stim/negf.jpg,stim/4.jpg,stim/6.jpg,stim/latef.jpg,CD,2,4,0,3,3,36,,,,,,,,,,,,,,,,,,2,0,0.716362558317,,,,,,PLC_L_D2S1,P29,60.0189256943,02,A,2015_Aug_06_1427,X,
stim/posf.jpg,stim/negf.jpg,stim/3.jpg,stim/2.jpg,stim/latef.jpg,AB,2,4,0,4,4,14,,,,,,,,,,,,,,,,,,4,1,0.699715410728,,,,,,PLC_L_D2S1,P29,60.0189256943,02,A,2015_Aug_06_1427,X,
stim/negf.jpg,stim/posf.jpg,stim/5.jpg,stim/1.jpg,stim/latef.jpg,EF,2,4,0,5,5,58,,,,,,,,,,,,,,,,,,4,1,0.51652252343,,,,,,PLC_L_D2S1,P29,60.0189256943,02,A,2015_Aug_06_1427,X,
stim/negf.jpg,stim/posf.jpg,stim/5.jpg,stim/1.jpg,stim/latef.jpg,EF,2,4,0,6,6,59,,,,,,,,,,,,,,,,,,4,1,0.833105298812,,,,,,PLC_L_D2S1,P29,60.0189256943,02,A,2015_Aug_06_1427,X,
stim/posf.jpg,stim/negf.jpg,stim/6.jpg,stim/4.jpg,stim/latef.jpg,CD,1,2,0,7,7,24,,,,,,,,,,,,,,,,,,4,0,0.916382940042,,,,,,PLC_L_D2S1,P29,60.0189256943,02,A,2015_Aug_06_1427,X,
stim/posf.jpg,stim/negf.jpg,stim/1.jpg,stim/5.jpg,stim/latef.jpg,EF,1,2,0,8,8,43,,,,,,,,,,,,,,,,,,2,1,1.14964318448,,,,,,PLC_L_D2S1,P29,60.0189256943,02,A,2015_Aug_06_1427,X,
