fb_corr,fb_incorr,symbol2,symbol1,fb_late,pair,position,correct,block_01.thisRepN,block_01.thisTrialN,block_01.thisN,block_01.thisIndex,block_02.thisRepN,block_02.thisTrialN,block_02.thisN,block_02.thisIndex,block_03.thisRepN,block_03.thisTrialN,block_03.thisN,block_03.thisIndex,block_04.thisRepN,block_04.thisTrialN,block_04.thisN,block_04.thisIndex,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,buttonBox_2.keys,buttonBox_2.corr,buttonBox_2.rt,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,expName,Participant,frameRate,SessionNumber,Version,date,Group,
,,,,,,,,,,,,,,,,,,,,,,,,-0.090625,-0.587890625,1,0,0,,,,,,,,,PLC_L_D2S1,P3,60.0146615167,02,A,2014_Dez_18_1357,X,
stim/posf.jpg,stim/negf.jpg,stim/3.jpg,stim/1.jpg,stim/latef.jpg,AB,1,2,0,0,0,4,,,,,,,,,,,,,,,,,,2,1,0.866428002797,,,,,,PLC_L_D2S1,P3,60.0146615167,02,A,2014_Dez_18_1357,X,
stim/posf.jpg,stim/negf.jpg,stim/4.jpg,stim/6.jpg,stim/latef.jpg,CD,2,4,0,1,1,30,,,,,,,,,,,,,,,,,,4,1,0.982984933948,,,,,,PLC_L_D2S1,P3,60.0146615167,02,A,2014_Dez_18_1357,X,
stim/posf.jpg,stim/negf.jpg,stim/3.jpg,stim/1.jpg,stim/latef.jpg,AB,1,2,0,2,2,5,,,,,,,,,,,,,,,,,,2,1,1.01631427132,,,,,,PLC_L_D2S1,P3,60.0146615167,02,A,2014_Dez_18_1357,X,
stim/negf.jpg,stim/posf.jpg,stim/2.jpg,stim/5.jpg,stim/latef.jpg,EF,2,4,0,3,3,59,,,,,,,,,,,,,,,,,,4,1,1.28291600514,,,,,,PLC_L_D2S1,P3,60.0146615167,02,A,2014_Dez_18_1357,X,
stim/posf.jpg,stim/negf.jpg,stim/5.jpg,stim/2.jpg,stim/latef.jpg,EF,1,2,0,4,4,45,,,,,,,,,,,,,,,,,,4,0,0.999671286682,,,,,,PLC_L_D2S1,P3,60.0146615167,02,A,2014_Dez_18_1357,X,
stim/posf.jpg,stim/negf.jpg,stim/5.jpg,stim/2.jpg,stim/latef.jpg,EF,1,2,0,5,5,42,,,,,,,,,,,,,,,,,,4,0,1.06628574823,,,,,,PLC_L_D2S1,P3,60.0146615167,02,A,2014_Dez_18_1357,X,
stim/posf.jpg,stim/negf.jpg,stim/1.jpg,stim/3.jpg,stim/latef.jpg,AB,2,4,0,6,6,10,,,,,,,,,,,,,,,,,,4,1,1.1329041917,,,,,,PLC_L_D2S1,P3,60.0146615167,02,A,2014_Dez_18_1357,X,
stim/posf.jpg,stim/negf.jpg,stim/6.jpg,stim/4.jpg,stim/latef.jpg,CD,1,2,0,7,7,22,,,,,,,,,,,,,,,,,,4,0,1.54947836482,,,,,,PLC_L_D2S1,P3,60.0146615167,02,A,2014_Dez_18_1357,X,
stim/posf.jpg,stim/negf.jpg,stim/4.jpg,stim/6.jpg,stim/latef.jpg,CD,2,4,0,8,8,32,,,,,,,,,,,,,,,,,,2,0,1.2663242141,,,,,,PLC_L_D2S1,P3,60.0146615167,02,A,2014_Dez_18_1357,X,
stim/posf.jpg,stim/negf.jpg,stim/6.jpg,stim/4.jpg,stim/latef.jpg,CD,1,2,0,9,9,20,,,,,,,,,,,,,,,,,,2,1,0.899691975248,,,,,,PLC_L_D2S1,P3,60.0146615167,02,A,2014_Dez_18_1357,X,
stim/posf.jpg,stim/negf.jpg,stim/2.jpg,stim/5.jpg,stim/latef.jpg,EF,2,4,0,10,10,55,,,,,,,,,,,,,,,,,,2,0,1.58285454997,,,,,,PLC_L_D2S1,P3,60.0146615167,02,A,2014_Dez_18_1357,X,
stim/posf.jpg,stim/negf.jpg,stim/4.jpg,stim/6.jpg,stim/latef.jpg,CD,2,4,0,11,11,31,,,,,,,,,,,,,,,,,,4,1,1.44955449358,,,,,,PLC_L_D2S1,P3,60.0146615167,02,A,2014_Dez_18_1357,X,
stim/posf.jpg,stim/negf.jpg,stim/1.jpg,stim/3.jpg,stim/latef.jpg,AB,2,4,0,12,12,13,,,,,,,,,,,,,,,,,,4,1,1.03297636559,,,,,,PLC_L_D2S1,P3,60.0146615167,02,A,2014_Dez_18_1357,X,
stim/posf.jpg,stim/negf.jpg,stim/2.jpg,stim/5.jpg,stim/latef.jpg,EF,2,4,0,13,13,52,,,,,,,,,,,,,,,,,,4,1,0.849724146435,,,,,,PLC_L_D2S1,P3,60.0146615167,02,A,2014_Dez_18_1357,X,
stim/posf.jpg,stim/negf.jpg,stim/4.jpg,stim/6.jpg,stim/latef.jpg,CD,2,4,0,14,14,35,,,,,,,,,,,,,,,,,,4,1,1.03298514748,,,,,,PLC_L_D2S1,P3,60.0146615167,02,A,2014_Dez_18_1357,X,
stim/posf.jpg,stim/negf.jpg,stim/5.jpg,stim/2.jpg,stim/latef.jpg,EF,1,2,0,15,15,44,,,,,,,,,,,,,,,,,,2,1,0.933029613311,,,,,,PLC_L_D2S1,P3,60.0146615167,02,A,2014_Dez_18_1357,X,
stim/negf.jpg,stim/posf.jpg,stim/5.jpg,stim/2.jpg,stim/latef.jpg,EF,1,2,0,16,16,48,,,,,,,,,,,,,,,,,,2,1,0.799717253254,,,,,,PLC_L_D2S1,P3,60.0146615167,02,A,2014_Dez_18_1357,X,
stim/negf.jpg,stim/posf.jpg,stim/6.jpg,stim/4.jpg,stim/latef.jpg,CD,1,2,0,17,17,29,,,,,,,,,,,,,,,,,,2,1,1.11635324246,,,,,,PLC_L_D2S1,P3,60.0146615167,02,A,2014_Dez_18_1357,X,
stim/posf.jpg,stim/negf.jpg,stim/4.jpg,stim/6.jpg,stim/latef.jpg,CD,2,4,0,18,18,36,,,,,,,,,,,,,,,,,,4,1,0.799703701476,,,,,,PLC_L_D2S1,P3,60.0146615167,02,A,2014_Dez_18_1357,X,
stim/negf.jpg,stim/posf.jpg,stim/6.jpg,stim/4.jpg,stim/latef.jpg,CD,1,2,0,19,19,27,,,,,,,,,,,,,,,,,,2,1,1.24957950993,,,,,,PLC_L_D2S1,P3,60.0146615167,02,A,2014_Dez_18_1357,X,
stim/posf.jpg,stim/negf.jpg,stim/1.jpg,stim/3.jpg,stim/latef.jpg,AB,2,4,0,20,20,12,,,,,,,,,,,,,,,,,,4,1,0.883055661236,,,,,,PLC_L_D2S1,P3,60.0146615167,02,A,2014_Dez_18_1357,X,
stim/posf.jpg,stim/negf.jpg,stim/2.jpg,stim/5.jpg,stim/latef.jpg,EF,2,4,0,21,21,51,,,,,,,,,,,,,,,,,,4,1,0.799726248675,,,,,,PLC_L_D2S1,P3,60.0146615167,02,A,2014_Dez_18_1357,X,
stim/posf.jpg,stim/negf.jpg,stim/1.jpg,stim/3.jpg,stim/latef.jpg,AB,2,4,0,22,22,11,,,,,,,,,,,,,,,,,,4,1,0.816404911241,,,,,,PLC_L_D2S1,P3,60.0146615167,02,A,2014_Dez_18_1357,X,
stim/posf.jpg,stim/negf.jpg,stim/2.jpg,stim/5.jpg,stim/latef.jpg,EF,2,4,0,23,23,50,,,,,,,,,,,,,,,,,,4,1,0.766415356276,,,,,,PLC_L_D2S1,P3,60.0146615167,02,A,2014_Dez_18_1357,X,
stim/negf.jpg,stim/posf.jpg,stim/3.jpg,stim/1.jpg,stim/latef.jpg,AB,1,2,0,24,24,8,,,,,,,,,,,,,,,,,,2,1,0.9496865798,,,,,,PLC_L_D2S1,P3,60.0146615167,02,A,2014_Dez_18_1357,X,
stim/posf.jpg,stim/negf.jpg,stim/3.jpg,stim/1.jpg,stim/latef.jpg,AB,1,2,0,25,25,3,,,,,,,,,,,,,,,,,,2,1,0.699757983775,,,,,,PLC_L_D2S1,P3,60.0146615167,02,A,2014_Dez_18_1357,X,
stim/negf.jpg,stim/posf.jpg,stim/4.jpg,stim/6.jpg,stim/latef.jpg,CD,2,4,0,26,26,38,,,,,,,,,,,,,,,,,,4,1,0.766351976301,,,,,,PLC_L_D2S1,P3,60.0146615167,02,A,2014_Dez_18_1357,X,
stim/posf.jpg,stim/negf.jpg,stim/6.jpg,stim/4.jpg,stim/latef.jpg,CD,1,2,0,27,27,21,,,,,,,,,,,,,,,,,,2,1,0.999650661273,,,,,,PLC_L_D2S1,P3,60.0146615167,02,A,2014_Dez_18_1357,X,
stim/posf.jpg,stim/negf.jpg,stim/1.jpg,stim/3.jpg,stim/latef.jpg,AB,2,4,0,28,28,14,,,,,,,,,,,,,,,,,,4,1,0.816387696333,,,,,,PLC_L_D2S1,P3,60.0146615167,02,A,2014_Dez_18_1357,X,
stim/posf.jpg,stim/negf.jpg,stim/3.jpg,stim/1.jpg,stim/latef.jpg,AB,1,2,0,29,29,7,,,,,,,,,,,,,,,,,,2,1,0.966377702423,,,,,,PLC_L_D2S1,P3,60.0146615167,02,A,2014_Dez_18_1357,X,
stim/negf.jpg,stim/posf.jpg,stim/5.jpg,stim/2.jpg,stim/latef.jpg,EF,1,2,0,30,30,46,,,,,,,,,,,,,,,,,,2,1,1.01632021413,,,,,,PLC_L_D2S1,P3,60.0146615167,02,A,2014_Dez_18_1357,X,
stim/posf.jpg,stim/negf.jpg,stim/6.jpg,stim/4.jpg,stim/latef.jpg,CD,1,2,0,31,31,24,,,,,,,,,,,,,,,,,,2,1,0.833065372441,,,,,,PLC_L_D2S1,P3,60.0146615167,02,A,2014_Dez_18_1357,X,
stim/negf.jpg,stim/posf.jpg,stim/1.jpg,stim/3.jpg,stim/latef.jpg,AB,2,4,0,32,32,18,,,,,,,,,,,,,,,,,,4,1,0.766394261697,,,,,,PLC_L_D2S1,P3,60.0146615167,02,A,2014_Dez_18_1357,X,
stim/posf.jpg,stim/negf.jpg,stim/3.jpg,stim/1.jpg,stim/latef.jpg,AB,1,2,0,33,33,0,,,,,,,,,,,,,,,,,,2,1,0.616400042105,,,,,,PLC_L_D2S1,P3,60.0146615167,02,A,2014_Dez_18_1357,X,
stim/posf.jpg,stim/negf.jpg,stim/5.jpg,stim/2.jpg,stim/latef.jpg,EF,1,2,0,34,34,40,,,,,,,,,,,,,,,,,,2,1,0.933021977278,,,,,,PLC_L_D2S1,P3,60.0146615167,02,A,2014_Dez_18_1357,X,
stim/negf.jpg,stim/posf.jpg,stim/2.jpg,stim/5.jpg,stim/latef.jpg,EF,2,4,0,35,35,57,,,,,,,,,,,,,,,,,,4,1,0.833045026729,,,,,,PLC_L_D2S1,P3,60.0146615167,02,A,2014_Dez_18_1357,X,
stim/negf.jpg,stim/posf.jpg,stim/1.jpg,stim/3.jpg,stim/latef.jpg,AB,2,4,0,36,36,19,,,,,,,,,,,,,,,,,,4,1,0.616421975775,,,,,,PLC_L_D2S1,P3,60.0146615167,02,A,2014_Dez_18_1357,X,
stim/posf.jpg,stim/negf.jpg,stim/3.jpg,stim/1.jpg,stim/latef.jpg,AB,1,2,0,37,37,2,,,,,,,,,,,,,,,,,,2,1,0.516503304486,,,,,,PLC_L_D2S1,P3,60.0146615167,02,A,2014_Dez_18_1357,X,
stim/posf.jpg,stim/negf.jpg,stim/2.jpg,stim/5.jpg,stim/latef.jpg,EF,2,4,0,38,38,54,,,,,,,,,,,,,,,,,,4,1,0.71642968098,,,,,,PLC_L_D2S1,P3,60.0146615167,02,A,2014_Dez_18_1357,X,
stim/negf.jpg,stim/posf.jpg,stim/2.jpg,stim/5.jpg,stim/latef.jpg,EF,2,4,0,39,39,58,,,,,,,,,,,,,,,,,,4,1,0.833041372621,,,,,,PLC_L_D2S1,P3,60.0146615167,02,A,2014_Dez_18_1357,X,
stim/posf.jpg,stim/negf.jpg,stim/4.jpg,stim/6.jpg,stim/latef.jpg,CD,2,4,0,40,40,33,,,,,,,,,,,,,,,,,,4,1,0.716390745934,,,,,,PLC_L_D2S1,P3,60.0146615167,02,A,2014_Dez_18_1357,X,
stim/negf.jpg,stim/posf.jpg,stim/4.jpg,stim/6.jpg,stim/latef.jpg,CD,2,4,0,41,41,39,,,,,,,,,,,,,,,,,,4,1,0.633090851949,,,,,,PLC_L_D2S1,P3,60.0146615167,02,A,2014_Dez_18_1357,X,
stim/negf.jpg,stim/posf.jpg,stim/6.jpg,stim/4.jpg,stim/latef.jpg,CD,1,2,0,42,42,28,,,,,,,,,,,,,,,,,,2,1,0.883012903662,,,,,,PLC_L_D2S1,P3,60.0146615167,02,A,2014_Dez_18_1357,X,
stim/posf.jpg,stim/negf.jpg,stim/5.jpg,stim/2.jpg,stim/latef.jpg,EF,1,2,0,43,43,41,,,,,,,,,,,,,,,,,,2,1,1.03299726468,,,,,,PLC_L_D2S1,P3,60.0146615167,02,A,2014_Dez_18_1357,X,
stim/posf.jpg,stim/negf.jpg,stim/1.jpg,stim/3.jpg,stim/latef.jpg,AB,2,4,0,44,44,15,,,,,,,,,,,,,,,,,,4,1,0.833047002654,,,,,,PLC_L_D2S1,P3,60.0146615167,02,A,2014_Dez_18_1357,X,
stim/posf.jpg,stim/negf.jpg,stim/6.jpg,stim/4.jpg,stim/latef.jpg,CD,1,2,0,45,45,25,,,,,,,,,,,,,,,,,,4,0,0.633093871475,,,,,,PLC_L_D2S1,P3,60.0146615167,02,A,2014_Dez_18_1357,X,
stim/negf.jpg,stim/posf.jpg,stim/2.jpg,stim/5.jpg,stim/latef.jpg,EF,2,4,0,46,46,56,,,,,,,,,,,,,,,,,,4,1,0.8997752859,,,,,,PLC_L_D2S1,P3,60.0146615167,02,A,2014_Dez_18_1357,X,
stim/posf.jpg,stim/negf.jpg,stim/6.jpg,stim/4.jpg,stim/latef.jpg,CD,1,2,0,47,47,26,,,,,,,,,,,,,,,,,,4,0,0.982990762475,,,,,,PLC_L_D2S1,P3,60.0146615167,02,A,2014_Dez_18_1357,X,
stim/posf.jpg,stim/negf.jpg,stim/3.jpg,stim/1.jpg,stim/latef.jpg,AB,1,2,0,48,48,6,,,,,,,,,,,,,,,,,,2,1,1.14958083623,,,,,,PLC_L_D2S1,P3,60.0146615167,02,A,2014_Dez_18_1357,X,
stim/negf.jpg,stim/posf.jpg,stim/4.jpg,stim/6.jpg,stim/latef.jpg,CD,2,4,0,49,49,37,,,,,,,,,,,,,,,,,,2,0,1.18192895091,,,,,,PLC_L_D2S1,P3,60.0146615167,02,A,2014_Dez_18_1357,X,
stim/posf.jpg,stim/negf.jpg,stim/4.jpg,stim/6.jpg,stim/latef.jpg,CD,2,4,0,50,50,34,,,,,,,,,,,,,,,,,,2,0,0.633128839633,,,,,,PLC_L_D2S1,P3,60.0146615167,02,A,2014_Dez_18_1357,X,
stim/posf.jpg,stim/negf.jpg,stim/5.jpg,stim/2.jpg,stim/latef.jpg,EF,1,2,0,51,51,43,,,,,,,,,,,,,,,,,,4,0,0.999661349915,,,,,,PLC_L_D2S1,P3,60.0146615167,02,A,2014_Dez_18_1357,X,
stim/posf.jpg,stim/negf.jpg,stim/2.jpg,stim/5.jpg,stim/latef.jpg,EF,2,4,0,52,52,53,,,,,,,,,,,,,,,,,,4,1,0.916415142743,,,,,,PLC_L_D2S1,P3,60.0146615167,02,A,2014_Dez_18_1357,X,
stim/posf.jpg,stim/negf.jpg,stim/3.jpg,stim/1.jpg,stim/latef.jpg,AB,1,2,0,53,53,1,,,,,,,,,,,,,,,,,,2,1,0.883037646333,,,,,,PLC_L_D2S1,P3,60.0146615167,02,A,2014_Dez_18_1357,X,
stim/negf.jpg,stim/posf.jpg,stim/3.jpg,stim/1.jpg,stim/latef.jpg,AB,1,2,0,54,54,9,,,,,,,,,,,,,,,,,,2,1,0.599862888249,,,,,,PLC_L_D2S1,P3,60.0146615167,02,A,2014_Dez_18_1357,X,
stim/posf.jpg,stim/negf.jpg,stim/1.jpg,stim/3.jpg,stim/latef.jpg,AB,2,4,0,55,55,17,,,,,,,,,,,,,,,,,,4,1,0.933023333659,,,,,,PLC_L_D2S1,P3,60.0146615167,02,A,2014_Dez_18_1357,X,
stim/negf.jpg,stim/posf.jpg,stim/5.jpg,stim/2.jpg,stim/latef.jpg,EF,1,2,0,56,56,49,,,,,,,,,,,,,,,,,,2,1,0.849767457387,,,,,,PLC_L_D2S1,P3,60.0146615167,02,A,2014_Dez_18_1357,X,
stim/posf.jpg,stim/negf.jpg,stim/1.jpg,stim/3.jpg,stim/latef.jpg,AB,2,4,0,57,57,16,,,,,,,,,,,,,,,,,,4,1,0.883060361952,,,,,,PLC_L_D2S1,P3,60.0146615167,02,A,2014_Dez_18_1357,X,
stim/posf.jpg,stim/negf.jpg,stim/6.jpg,stim/4.jpg,stim/latef.jpg,CD,1,2,0,58,58,23,,,,,,,,,,,,,,,,,,None,0,,,,,,,PLC_L_D2S1,P3,60.0146615167,02,A,2014_Dez_18_1357,X,
stim/negf.jpg,stim/posf.jpg,stim/5.jpg,stim/2.jpg,stim/latef.jpg,EF,1,2,0,59,59,47,,,,,,,,,,,,,,,,,,2,1,0.916386673784,,,,,,PLC_L_D2S1,P3,60.0146615167,02,A,2014_Dez_18_1357,X,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3125,-0.998046875,1,0,0,PLC_L_D2S1,P3,60.0146615167,02,A,2014_Dez_18_1357,X,
stim/posf.jpg,stim/negf.jpg,stim/1.jpg,stim/3.jpg,stim/latef.jpg,AB,2,4,,,,,0,0,0,13,,,,,,,,,,,,,,4,1,0.683106346569,,,,,,PLC_L_D2S1,P3,60.0146615167,02,A,2014_Dez_18_1357,X,
stim/posf.jpg,stim/negf.jpg,stim/4.jpg,stim/6.jpg,stim/latef.jpg,CD,2,4,,,,,0,1,1,33,,,,,,,,,,,,,,4,1,1.04963970196,,,,,,PLC_L_D2S1,P3,60.0146615167,02,A,2014_Dez_18_1357,X,
