fb_corr,fb_incorr,symbol2,symbol1,fb_late,pair,position,correct,block_01.thisRepN,block_01.thisTrialN,block_01.thisN,block_01.thisIndex,block_02.thisRepN,block_02.thisTrialN,block_02.thisN,block_02.thisIndex,block_03.thisRepN,block_03.thisTrialN,block_03.thisN,block_03.thisIndex,block_04.thisRepN,block_04.thisTrialN,block_04.thisN,block_04.thisIndex,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,buttonBox_2.keys,buttonBox_2.corr,buttonBox_2.rt,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,date,Participant,expName,Group,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,0.9984375,0.724609375,1,0,0,,,,,,,,,2016_Apr_11_0947,P13,PLC_L_D1S1,NHGY,60.011409078,
stim/posf.jpg,stim/negf.jpg,stim/6.jpg,stim/1.jpg,stim/latef.jpg,AB,1,2,0,0,0,2,,,,,,,,,,,,,,,,,,4,0,0.966378601745,,,,,,2016_Apr_11_0947,P13,PLC_L_D1S1,NHGY,60.011409078,
stim/posf.jpg,stim/negf.jpg,stim/2.jpg,stim/5.jpg,stim/latef.jpg,CD,2,4,0,1,1,36,,,,,,,,,,,,,,,,,,4,1,1.23291534607,,,,,,2016_Apr_11_0947,P13,PLC_L_D1S1,NHGY,60.011409078,
stim/posf.jpg,stim/negf.jpg,stim/3.jpg,stim/4.jpg,stim/latef.jpg,EF,2,4,0,2,2,50,,,,,,,,,,,,,,,,,,2,0,1.29955796589,,,,,,2016_Apr_11_0947,P13,PLC_L_D1S1,NHGY,60.011409078,
stim/negf.jpg,stim/posf.jpg,stim/4.jpg,stim/3.jpg,stim/latef.jpg,EF,1,2,0,3,3,49,,,,,,,,,,,,,,,,,,None,0,,,,,,,2016_Apr_11_0947,P13,PLC_L_D1S1,NHGY,60.011409078,
stim/posf.jpg,stim/negf.jpg,stim/2.jpg,stim/5.jpg,stim/latef.jpg,CD,2,4,0,4,4,33,,,,,,,,,,,,,,,,,,4,1,0.633043073951,,,,,,2016_Apr_11_0947,P13,PLC_L_D1S1,NHGY,60.011409078,
stim/negf.jpg,stim/posf.jpg,stim/2.jpg,stim/5.jpg,stim/latef.jpg,CD,2,4,0,5,5,38,,,,,,,,,,,,,,,,,,4,1,0.649733724807,,,,,,2016_Apr_11_0947,P13,PLC_L_D1S1,NHGY,60.011409078,
stim/negf.jpg,stim/posf.jpg,stim/3.jpg,stim/4.jpg,stim/latef.jpg,EF,2,4,0,6,6,59,,,,,,,,,,,,,,,,,,4,1,1.34952645196,,,,,,2016_Apr_11_0947,P13,PLC_L_D1S1,NHGY,60.011409078,
stim/posf.jpg,stim/negf.jpg,stim/1.jpg,stim/6.jpg,stim/latef.jpg,AB,2,4,0,7,7,13,,,,,,,,,,,,,,,,,,2,0,0.93301280963,,,,,,2016_Apr_11_0947,P13,PLC_L_D1S1,NHGY,60.011409078,
stim/negf.jpg,stim/posf.jpg,stim/6.jpg,stim/1.jpg,stim/latef.jpg,AB,1,2,0,8,8,9,,,,,,,,,,,,,,,,,,2,1,0.866352081743,,,,,,2016_Apr_11_0947,P13,PLC_L_D1S1,NHGY,60.011409078,
