fb_corr,fb_incorr,symbol2,symbol1,fb_late,pair,position,correct,block_01.thisRepN,block_01.thisTrialN,block_01.thisN,block_01.thisIndex,block_02.thisRepN,block_02.thisTrialN,block_02.thisN,block_02.thisIndex,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,buttonBox_2.keys,buttonBox_2.corr,buttonBox_2.rt,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,date,Participant,expName,Group,frameRate,
,,,,,,,,,,,,,,,,0.9984375,0.671875,1,0,0,,,,,,,,,2016_Apr_11_1021,P13,PLC_L_D1S2,NHGY,60.0260865915,
stim/negf.jpg,stim/posf.jpg,stim/6.jpg,stim/1.jpg,stim/latef.jpg,AB,2,4,0,0,0,17,,,,,,,,,,2,0,1.08302514182,,,,,,2016_Apr_11_1021,P13,PLC_L_D1S2,NHGY,60.0260865915,
stim/posf.jpg,stim/negf.jpg,stim/6.jpg,stim/1.jpg,stim/latef.jpg,AB,2,4,0,1,1,12,,,,,,,,,,2,0,1.08299536171,,,,,,2016_Apr_11_1021,P13,PLC_L_D1S2,NHGY,60.0260865915,
stim/negf.jpg,stim/posf.jpg,stim/6.jpg,stim/5.jpg,stim/latef.jpg,EF,2,4,0,2,2,57,,,,,,,,,,4,1,0.982994787277,,,,,,2016_Apr_11_1021,P13,PLC_L_D1S2,NHGY,60.0260865915,
stim/posf.jpg,stim/negf.jpg,stim/1.jpg,stim/6.jpg,stim/latef.jpg,AB,1,2,0,3,3,4,,,,,,,,,,4,0,1.11628950651,,,,,,2016_Apr_11_1021,P13,PLC_L_D1S2,NHGY,60.0260865915,
stim/negf.jpg,stim/posf.jpg,stim/6.jpg,stim/4.jpg,stim/latef.jpg,CD,2,4,0,4,4,39,,,,,,,,,,4,1,0.799738682646,,,,,,2016_Apr_11_1021,P13,PLC_L_D1S2,NHGY,60.0260865915,
stim/negf.jpg,stim/posf.jpg,stim/1.jpg,stim/2.jpg,stim/latef.jpg,EF,1,2,0,5,5,46,,,,,,,,,,4,0,0.982956703496,,,,,,2016_Apr_11_1021,P13,PLC_L_D1S2,NHGY,60.0260865915,
stim/posf.jpg,stim/negf.jpg,stim/6.jpg,stim/4.jpg,stim/latef.jpg,CD,2,4,0,6,6,35,,,,,,,,,,4,1,1.14959462562,,,,,,2016_Apr_11_1021,P13,PLC_L_D1S2,NHGY,60.0260865915,
stim/posf.jpg,stim/negf.jpg,stim/1.jpg,stim/3.jpg,stim/latef.jpg,CD,1,2,0,7,7,23,,,,,,,,,,4,0,1.48283049439,,,,,,2016_Apr_11_1021,P13,PLC_L_D1S2,NHGY,60.0260865915,
stim/posf.jpg,stim/negf.jpg,stim/1.jpg,stim/6.jpg,stim/latef.jpg,AB,1,2,0,8,8,3,,,,,,,,,,2,1,1.26624704834,,,,,,2016_Apr_11_1021,P13,PLC_L_D1S2,NHGY,60.0260865915,
stim/negf.jpg,stim/posf.jpg,stim/1.jpg,stim/2.jpg,stim/latef.jpg,EF,1,2,0,9,9,48,,,,,,,,,,2,1,0.949700053006,,,,,,2016_Apr_11_1021,P13,PLC_L_D1S2,NHGY,60.0260865915,
stim/posf.jpg,stim/negf.jpg,stim/6.jpg,stim/4.jpg,stim/latef.jpg,CD,2,4,0,10,10,31,,,,,,,,,,4,1,1.1496151096,,,,,,2016_Apr_11_1021,P13,PLC_L_D1S2,NHGY,60.0260865915,
stim/posf.jpg,stim/negf.jpg,stim/6.jpg,stim/5.jpg,stim/latef.jpg,EF,2,4,0,11,11,55,,,,,,,,,,4,1,0.733094354575,,,,,,2016_Apr_11_1021,P13,PLC_L_D1S2,NHGY,60.0260865915,
stim/negf.jpg,stim/posf.jpg,stim/6.jpg,stim/5.jpg,stim/latef.jpg,EF,2,4,0,12,12,56,,,,,,,,,,4,1,0.866355113289,,,,,,2016_Apr_11_1021,P13,PLC_L_D1S2,NHGY,60.0260865915,
stim/negf.jpg,stim/posf.jpg,stim/6.jpg,stim/4.jpg,stim/latef.jpg,CD,2,4,0,13,13,36,,,,,,,,,,4,1,1.23291245287,,,,,,2016_Apr_11_1021,P13,PLC_L_D1S2,NHGY,60.0260865915,
stim/negf.jpg,stim/posf.jpg,stim/1.jpg,stim/6.jpg,stim/latef.jpg,AB,1,2,0,14,14,8,,,,,,,,,,2,1,1.16627696981,,,,,,2016_Apr_11_1021,P13,PLC_L_D1S2,NHGY,60.0260865915,
stim/posf.jpg,stim/negf.jpg,stim/1.jpg,stim/2.jpg,stim/latef.jpg,EF,1,2,0,15,15,42,,,,,,,,,,2,1,1.09962132758,,,,,,2016_Apr_11_1021,P13,PLC_L_D1S2,NHGY,60.0260865915,
stim/posf.jpg,stim/negf.jpg,stim/1.jpg,stim/6.jpg,stim/latef.jpg,AB,1,2,0,16,16,2,,,,,,,,,,4,0,0.783056103878,,,,,,2016_Apr_11_1021,P13,PLC_L_D1S2,NHGY,60.0260865915,
stim/negf.jpg,stim/posf.jpg,stim/1.jpg,stim/2.jpg,stim/latef.jpg,EF,1,2,0,17,17,47,,,,,,,,,,4,0,1.13297007327,,,,,,2016_Apr_11_1021,P13,PLC_L_D1S2,NHGY,60.0260865915,
