fb_corr,fb_incorr,symbol2,symbol1,fb_late,pair,position,correct,block_01.thisRepN,block_01.thisTrialN,block_01.thisN,block_01.thisIndex,block_02.thisRepN,block_02.thisTrialN,block_02.thisN,block_02.thisIndex,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,buttonBox_2.keys,buttonBox_2.corr,buttonBox_2.rt,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,date,Participant,expName,Group,frameRate,
,,,,,,,,,,,,,,,,0.9984375,0.71484375,1,0,0,,,,,,,,,2016_Feb_18_1539,P15,PLC_L_D1S2,NHGY,60.0161718746,
stim/posf.jpg,stim/negf.jpg,stim/4.jpg,stim/2.jpg,stim/latef.jpg,CD,1,2,0,0,0,21,,,,,,,,,,2,1,1.09966470453,,,,,,2016_Feb_18_1539,P15,PLC_L_D1S2,NHGY,60.0161718746,
stim/posf.jpg,stim/negf.jpg,stim/6.jpg,stim/5.jpg,stim/latef.jpg,AB,2,4,0,1,1,14,,,,,,,,,,2,0,1.0163155002,,,,,,2016_Feb_18_1539,P15,PLC_L_D1S2,NHGY,60.0161718746,
stim/posf.jpg,stim/negf.jpg,stim/3.jpg,stim/1.jpg,stim/latef.jpg,EF,2,4,0,2,2,51,,,,,,,,,,2,0,1.51614518633,,,,,,2016_Feb_18_1539,P15,PLC_L_D1S2,NHGY,60.0161718746,
stim/posf.jpg,stim/negf.jpg,stim/1.jpg,stim/3.jpg,stim/latef.jpg,EF,1,2,0,3,3,45,,,,,,,,,,None,0,,,,,,,2016_Feb_18_1539,P15,PLC_L_D1S2,NHGY,60.0161718746,
stim/posf.jpg,stim/negf.jpg,stim/6.jpg,stim/5.jpg,stim/latef.jpg,AB,2,4,0,4,4,12,,,,,,,,,,4,1,1.18293808416,,,,,,2016_Feb_18_1539,P15,PLC_L_D1S2,NHGY,60.0161718746,
stim/posf.jpg,stim/negf.jpg,stim/4.jpg,stim/2.jpg,stim/latef.jpg,CD,1,2,0,5,5,25,,,,,,,,,,2,1,0.899681266752,,,,,,2016_Feb_18_1539,P15,PLC_L_D1S2,NHGY,60.0161718746,
stim/posf.jpg,stim/negf.jpg,stim/6.jpg,stim/5.jpg,stim/latef.jpg,AB,2,4,0,6,6,13,,,,,,,,,,4,1,0.949684546415,,,,,,2016_Feb_18_1539,P15,PLC_L_D1S2,NHGY,60.0161718746,
stim/negf.jpg,stim/posf.jpg,stim/1.jpg,stim/3.jpg,stim/latef.jpg,EF,1,2,0,7,7,48,,,,,,,,,,2,1,1.11621753138,,,,,,2016_Feb_18_1539,P15,PLC_L_D1S2,NHGY,60.0161718746,
stim/posf.jpg,stim/negf.jpg,stim/3.jpg,stim/1.jpg,stim/latef.jpg,EF,2,4,0,8,8,52,,,,,,,,,,4,1,0.883036263501,,,,,,2016_Feb_18_1539,P15,PLC_L_D1S2,NHGY,60.0161718746,
stim/negf.jpg,stim/posf.jpg,stim/3.jpg,stim/1.jpg,stim/latef.jpg,EF,2,4,0,9,9,56,,,,,,,,,,4,1,0.783076241997,,,,,,2016_Feb_18_1539,P15,PLC_L_D1S2,NHGY,60.0161718746,
stim/negf.jpg,stim/posf.jpg,stim/4.jpg,stim/2.jpg,stim/latef.jpg,CD,1,2,0,10,10,28,,,,,,,,,,2,1,0.899692992935,,,,,,2016_Feb_18_1539,P15,PLC_L_D1S2,NHGY,60.0161718746,
stim/posf.jpg,stim/negf.jpg,stim/4.jpg,stim/2.jpg,stim/latef.jpg,CD,1,2,0,11,11,23,,,,,,,,,,2,1,0.716416741165,,,,,,2016_Feb_18_1539,P15,PLC_L_D1S2,NHGY,60.0161718746,
stim/posf.jpg,stim/negf.jpg,stim/2.jpg,stim/4.jpg,stim/latef.jpg,CD,2,4,0,12,12,32,,,,,,,,,,4,1,0.866371422879,,,,,,2016_Feb_18_1539,P15,PLC_L_D1S2,NHGY,60.0161718746,
stim/posf.jpg,stim/negf.jpg,stim/5.jpg,stim/6.jpg,stim/latef.jpg,AB,1,2,0,13,13,4,,,,,,,,,,2,1,0.849733553381,,,,,,2016_Feb_18_1539,P15,PLC_L_D1S2,NHGY,60.0161718746,
stim/negf.jpg,stim/posf.jpg,stim/6.jpg,stim/5.jpg,stim/latef.jpg,AB,2,4,0,14,14,19,,,,,,,,,,4,1,0.749707863445,,,,,,2016_Feb_18_1539,P15,PLC_L_D1S2,NHGY,60.0161718746,
stim/negf.jpg,stim/posf.jpg,stim/5.jpg,stim/6.jpg,stim/latef.jpg,AB,1,2,0,15,15,6,,,,,,,,,,2,1,0.549775447646,,,,,,2016_Feb_18_1539,P15,PLC_L_D1S2,NHGY,60.0161718746,
stim/negf.jpg,stim/posf.jpg,stim/5.jpg,stim/6.jpg,stim/latef.jpg,AB,1,2,0,16,16,9,,,,,,,,,,2,1,0.599791683553,,,,,,2016_Feb_18_1539,P15,PLC_L_D1S2,NHGY,60.0161718746,
stim/negf.jpg,stim/posf.jpg,stim/5.jpg,stim/6.jpg,stim/latef.jpg,AB,1,2,0,17,17,8,,,,,,,,,,2,1,0.549807681868,,,,,,2016_Feb_18_1539,P15,PLC_L_D1S2,NHGY,60.0161718746,
stim/posf.jpg,stim/negf.jpg,stim/2.jpg,stim/4.jpg,stim/latef.jpg,CD,2,4,0,18,18,35,,,,,,,,,,4,1,0.79977405969,,,,,,2016_Feb_18_1539,P15,PLC_L_D1S2,NHGY,60.0161718746,
stim/posf.jpg,stim/negf.jpg,stim/1.jpg,stim/3.jpg,stim/latef.jpg,EF,1,2,0,19,19,40,,,,,,,,,,2,1,1.04965638132,,,,,,2016_Feb_18_1539,P15,PLC_L_D1S2,NHGY,60.0161718746,
stim/negf.jpg,stim/posf.jpg,stim/1.jpg,stim/3.jpg,stim/latef.jpg,EF,1,2,0,20,20,49,,,,,,,,,,2,1,0.499818140397,,,,,,2016_Feb_18_1539,P15,PLC_L_D1S2,NHGY,60.0161718746,
stim/posf.jpg,stim/negf.jpg,stim/5.jpg,stim/6.jpg,stim/latef.jpg,AB,1,2,0,21,21,5,,,,,,,,,,4,0,1.26621987271,,,,,,2016_Feb_18_1539,P15,PLC_L_D1S2,NHGY,60.0161718746,
stim/negf.jpg,stim/posf.jpg,stim/5.jpg,stim/6.jpg,stim/latef.jpg,AB,1,2,0,22,22,7,,,,,,,,,,2,1,0.683103014628,,,,,,2016_Feb_18_1539,P15,PLC_L_D1S2,NHGY,60.0161718746,
stim/posf.jpg,stim/negf.jpg,stim/1.jpg,stim/3.jpg,stim/latef.jpg,EF,1,2,0,23,23,44,,,,,,,,,,2,1,0.883022053135,,,,,,2016_Feb_18_1539,P15,PLC_L_D1S2,NHGY,60.0161718746,
stim/posf.jpg,stim/negf.jpg,stim/6.jpg,stim/5.jpg,stim/latef.jpg,AB,2,4,0,24,24,11,,,,,,,,,,4,1,1.21625222873,,,,,,2016_Feb_18_1539,P15,PLC_L_D1S2,NHGY,60.0161718746,
stim/posf.jpg,stim/negf.jpg,stim/1.jpg,stim/3.jpg,stim/latef.jpg,EF,1,2,0,25,25,42,,,,,,,,,,2,1,0.749752073473,,,,,,2016_Feb_18_1539,P15,PLC_L_D1S2,NHGY,60.0161718746,
stim/posf.jpg,stim/negf.jpg,stim/5.jpg,stim/6.jpg,stim/latef.jpg,AB,1,2,0,26,26,2,,,,,,,,,,2,1,1.41620034962,,,,,,2016_Feb_18_1539,P15,PLC_L_D1S2,NHGY,60.0161718746,
stim/posf.jpg,stim/negf.jpg,stim/5.jpg,stim/6.jpg,stim/latef.jpg,AB,1,2,0,27,27,1,,,,,,,,,,2,1,0.483113823529,,,,,,2016_Feb_18_1539,P15,PLC_L_D1S2,NHGY,60.0161718746,
stim/posf.jpg,stim/negf.jpg,stim/4.jpg,stim/2.jpg,stim/latef.jpg,CD,1,2,0,28,28,24,,,,,,,,,,2,1,0.749684146419,,,,,,2016_Feb_18_1539,P15,PLC_L_D1S2,NHGY,60.0161718746,
stim/posf.jpg,stim/negf.jpg,stim/5.jpg,stim/6.jpg,stim/latef.jpg,AB,1,2,0,29,29,3,,,,,,,,,,2,1,0.433138266862,,,,,,2016_Feb_18_1539,P15,PLC_L_D1S2,NHGY,60.0161718746,
stim/posf.jpg,stim/negf.jpg,stim/2.jpg,stim/4.jpg,stim/latef.jpg,CD,2,4,0,30,30,31,,,,,,,,,,4,1,0.783071532275,,,,,,2016_Feb_18_1539,P15,PLC_L_D1S2,NHGY,60.0161718746,
stim/posf.jpg,stim/negf.jpg,stim/1.jpg,stim/3.jpg,stim/latef.jpg,EF,1,2,0,31,31,41,,,,,,,,,,2,1,0.966338445807,,,,,,2016_Feb_18_1539,P15,PLC_L_D1S2,NHGY,60.0161718746,
stim/negf.jpg,stim/posf.jpg,stim/1.jpg,stim/3.jpg,stim/latef.jpg,EF,1,2,0,32,32,46,,,,,,,,,,2,1,0.649758548588,,,,,,2016_Feb_18_1539,P15,PLC_L_D1S2,NHGY,60.0161718746,
stim/posf.jpg,stim/negf.jpg,stim/4.jpg,stim/2.jpg,stim/latef.jpg,CD,1,2,0,33,33,20,,,,,,,,,,2,1,0.949666597746,,,,,,2016_Feb_18_1539,P15,PLC_L_D1S2,NHGY,60.0161718746,
stim/negf.jpg,stim/posf.jpg,stim/2.jpg,stim/4.jpg,stim/latef.jpg,CD,2,4,0,34,34,36,,,,,,,,,,4,1,0.533158224531,,,,,,2016_Feb_18_1539,P15,PLC_L_D1S2,NHGY,60.0161718746,
stim/negf.jpg,stim/posf.jpg,stim/3.jpg,stim/1.jpg,stim/latef.jpg,EF,2,4,0,35,35,59,,,,,,,,,,4,1,1.24955205167,,,,,,2016_Feb_18_1539,P15,PLC_L_D1S2,NHGY,60.0161718746,
stim/negf.jpg,stim/posf.jpg,stim/2.jpg,stim/4.jpg,stim/latef.jpg,CD,2,4,0,36,36,37,,,,,,,,,,4,1,0.683111724305,,,,,,2016_Feb_18_1539,P15,PLC_L_D1S2,NHGY,60.0161718746,
stim/negf.jpg,stim/posf.jpg,stim/6.jpg,stim/5.jpg,stim/latef.jpg,AB,2,4,0,37,37,16,,,,,,,,,,4,1,0.816391947459,,,,,,2016_Feb_18_1539,P15,PLC_L_D1S2,NHGY,60.0161718746,
stim/posf.jpg,stim/negf.jpg,stim/3.jpg,stim/1.jpg,stim/latef.jpg,EF,2,4,0,38,38,50,,,,,,,,,,4,1,1.16628622384,,,,,,2016_Feb_18_1539,P15,PLC_L_D1S2,NHGY,60.0161718746,
stim/negf.jpg,stim/posf.jpg,stim/4.jpg,stim/2.jpg,stim/latef.jpg,CD,1,2,0,39,39,27,,,,,,,,,,2,1,1.31628118781,,,,,,2016_Feb_18_1539,P15,PLC_L_D1S2,NHGY,60.0161718746,
stim/negf.jpg,stim/posf.jpg,stim/4.jpg,stim/2.jpg,stim/latef.jpg,CD,1,2,0,40,40,26,,,,,,,,,,2,1,0.633101909377,,,,,,2016_Feb_18_1539,P15,PLC_L_D1S2,NHGY,60.0161718746,
stim/posf.jpg,stim/negf.jpg,stim/2.jpg,stim/4.jpg,stim/latef.jpg,CD,2,4,0,41,41,33,,,,,,,,,,4,1,0.583164361304,,,,,,2016_Feb_18_1539,P15,PLC_L_D1S2,NHGY,60.0161718746,
stim/posf.jpg,stim/negf.jpg,stim/2.jpg,stim/4.jpg,stim/latef.jpg,CD,2,4,0,42,42,30,,,,,,,,,,4,1,0.533075768319,,,,,,2016_Feb_18_1539,P15,PLC_L_D1S2,NHGY,60.0161718746,
stim/negf.jpg,stim/posf.jpg,stim/1.jpg,stim/3.jpg,stim/latef.jpg,EF,1,2,0,43,43,47,,,,,,,,,,2,1,1.38286929396,,,,,,2016_Feb_18_1539,P15,PLC_L_D1S2,NHGY,60.0161718746,
