fb_corr,fb_incorr,symbol2,symbol1,fb_late,pair,position,correct,block_01.thisRepN,block_01.thisTrialN,block_01.thisN,block_01.thisIndex,block_02.thisRepN,block_02.thisTrialN,block_02.thisN,block_02.thisIndex,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,buttonBox_2.keys,buttonBox_2.corr,buttonBox_2.rt,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,date,Participant,expName,Group,frameRate,
,,,,,,,,,,,,,,,,0.9984375,0.76953125,1,0,0,,,,,,,,,2016_Okt_05_0911,P8,PLC_L_D1S2,NHGY,60.0223851187,
stim/posf.jpg,stim/negf.jpg,stim/1.jpg,stim/6.jpg,stim/latef.jpg,EF,1,2,0,0,0,43,,,,,,,,,,4,0,1.04974492167,,,,,,2016_Okt_05_0911,P8,PLC_L_D1S2,NHGY,60.0223851187,
stim/negf.jpg,stim/posf.jpg,stim/4.jpg,stim/5.jpg,stim/latef.jpg,AB,1,2,0,1,1,6,,,,,,,,,,4,0,1.34953662628,,,,,,2016_Okt_05_0911,P8,PLC_L_D1S2,NHGY,60.0223851187,
stim/negf.jpg,stim/posf.jpg,stim/4.jpg,stim/5.jpg,stim/latef.jpg,AB,1,2,0,2,2,9,,,,,,,,,,4,0,1.03299707146,,,,,,2016_Okt_05_0911,P8,PLC_L_D1S2,NHGY,60.0223851187,
stim/negf.jpg,stim/posf.jpg,stim/3.jpg,stim/2.jpg,stim/latef.jpg,CD,1,2,0,3,3,26,,,,,,,,,,2,1,1.31623574471,,,,,,2016_Okt_05_0911,P8,PLC_L_D1S2,NHGY,60.0223851187,
stim/posf.jpg,stim/negf.jpg,stim/4.jpg,stim/5.jpg,stim/latef.jpg,AB,1,2,0,4,4,2,,,,,,,,,,4,0,1.26625299715,,,,,,2016_Okt_05_0911,P8,PLC_L_D1S2,NHGY,60.0223851187,
stim/negf.jpg,stim/posf.jpg,stim/5.jpg,stim/4.jpg,stim/latef.jpg,AB,2,4,0,5,5,16,,,,,,,,,,2,0,0.883060236162,,,,,,2016_Okt_05_0911,P8,PLC_L_D1S2,NHGY,60.0223851187,
stim/negf.jpg,stim/posf.jpg,stim/3.jpg,stim/2.jpg,stim/latef.jpg,CD,1,2,0,6,6,27,,,,,,,,,,2,1,0.916348369004,,,,,,2016_Okt_05_0911,P8,PLC_L_D1S2,NHGY,60.0223851187,
stim/negf.jpg,stim/posf.jpg,stim/4.jpg,stim/5.jpg,stim/latef.jpg,AB,1,2,0,7,7,7,,,,,,,,,,4,0,0.899697080108,,,,,,2016_Okt_05_0911,P8,PLC_L_D1S2,NHGY,60.0223851187,
stim/posf.jpg,stim/negf.jpg,stim/2.jpg,stim/3.jpg,stim/latef.jpg,CD,2,4,0,8,8,35,,,,,,,,,,4,1,0.966324993326,,,,,,2016_Okt_05_0911,P8,PLC_L_D1S2,NHGY,60.0223851187,
stim/negf.jpg,stim/posf.jpg,stim/6.jpg,stim/1.jpg,stim/latef.jpg,EF,2,4,0,9,9,57,,,,,,,,,,2,0,0.983013081807,,,,,,2016_Okt_05_0911,P8,PLC_L_D1S2,NHGY,60.0223851187,
