fb_corr,fb_incorr,symbol2,symbol1,fb_late,pair,position,correct,block_01.thisRepN,block_01.thisTrialN,block_01.thisN,block_01.thisIndex,block_02.thisRepN,block_02.thisTrialN,block_02.thisN,block_02.thisIndex,block_03.thisRepN,block_03.thisTrialN,block_03.thisN,block_03.thisIndex,block_04.thisRepN,block_04.thisTrialN,block_04.thisN,block_04.thisIndex,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,buttonBox_2.keys,buttonBox_2.corr,buttonBox_2.rt,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,date,Participant,expName,Group,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,0.9984375,1.0,1,0,0,,,,,,,,,2016_Feb_16_1401,P14,PLC_L_D2S1,NHGY,60.0248144298,
stim/negf.jpg,stim/posf.jpg,stim/6.jpg,stim/4.jpg,stim/latef.jpg,EF,1,2,0,0,0,48,,,,,,,,,,,,,,,,,,4,0,1.21636126811,,,,,,2016_Feb_16_1401,P14,PLC_L_D2S1,NHGY,60.0248144298,
stim/negf.jpg,stim/posf.jpg,stim/1.jpg,stim/2.jpg,stim/latef.jpg,AB,2,4,0,1,1,19,,,,,,,,,,,,,,,,,,2,0,1.26620437514,,,,,,2016_Feb_16_1401,P14,PLC_L_D2S1,NHGY,60.0248144298,
stim/posf.jpg,stim/negf.jpg,stim/2.jpg,stim/1.jpg,stim/latef.jpg,AB,1,2,0,2,2,7,,,,,,,,,,,,,,,,,,4,0,1.34950853035,,,,,,2016_Feb_16_1401,P14,PLC_L_D2S1,NHGY,60.0248144298,
stim/posf.jpg,stim/negf.jpg,stim/4.jpg,stim/6.jpg,stim/latef.jpg,EF,2,4,0,3,3,55,,,,,,,,,,,,,,,,,,4,1,1.28298333177,,,,,,2016_Feb_16_1401,P14,PLC_L_D2S1,NHGY,60.0248144298,
stim/negf.jpg,stim/posf.jpg,stim/2.jpg,stim/1.jpg,stim/latef.jpg,AB,1,2,0,4,4,9,,,,,,,,,,,,,,,,,,2,1,1.43286329252,,,,,,2016_Feb_16_1401,P14,PLC_L_D2S1,NHGY,60.0248144298,
stim/posf.jpg,stim/negf.jpg,stim/1.jpg,stim/2.jpg,stim/latef.jpg,AB,2,4,0,5,5,16,,,,,,,,,,,,,,,,,,4,1,1.3494767262,,,,,,2016_Feb_16_1401,P14,PLC_L_D2S1,NHGY,60.0248144298,
stim/posf.jpg,stim/negf.jpg,stim/5.jpg,stim/3.jpg,stim/latef.jpg,CD,1,2,0,6,6,20,,,,,,,,,,,,,,,,,,2,1,1.13293345113,,,,,,2016_Feb_16_1401,P14,PLC_L_D2S1,NHGY,60.0248144298,
stim/posf.jpg,stim/negf.jpg,stim/2.jpg,stim/1.jpg,stim/latef.jpg,AB,1,2,0,7,7,5,,,,,,,,,,,,,,,,,,4,0,1.38285996173,,,,,,2016_Feb_16_1401,P14,PLC_L_D2S1,NHGY,60.0248144298,
stim/negf.jpg,stim/posf.jpg,stim/5.jpg,stim/3.jpg,stim/latef.jpg,CD,1,2,0,8,8,29,,,,,,,,,,,,,,,,,,4,0,0.99965137536,,,,,,2016_Feb_16_1401,P14,PLC_L_D2S1,NHGY,60.0248144298,
