fb_corr,fb_incorr,symbol2,symbol1,fb_late,pair,position,correct,block_01.thisRepN,block_01.thisTrialN,block_01.thisN,block_01.thisIndex,block_02.thisRepN,block_02.thisTrialN,block_02.thisN,block_02.thisIndex,block_03.thisRepN,block_03.thisTrialN,block_03.thisN,block_03.thisIndex,block_04.thisRepN,block_04.thisTrialN,block_04.thisN,block_04.thisIndex,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,buttonBox_2.keys,buttonBox_2.corr,buttonBox_2.rt,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,date,Participant,expName,Group,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,0.99875,1.0,1,0,0,,,,,,,,,2017_Jan_20_0814,P2,PLC_L_D2S1,NHGY,59.9989061376,
stim/posf.jpg,stim/negf.jpg,stim/2.jpg,stim/4.jpg,stim/latef.jpg,AB,1,2,0,0,0,4,,,,,,,,,,,,,,,,,,2,1,1.43334615023,,,,,,2017_Jan_20_0814,P2,PLC_L_D2S1,NHGY,59.9989061376,
stim/posf.jpg,stim/negf.jpg,stim/6.jpg,stim/3.jpg,stim/latef.jpg,EF,1,2,0,1,1,43,,,,,,,,,,,,,,,,,,2,1,0.983390061014,,,,,,2017_Jan_20_0814,P2,PLC_L_D2S1,NHGY,59.9989061376,
stim/negf.jpg,stim/posf.jpg,stim/4.jpg,stim/2.jpg,stim/latef.jpg,AB,2,4,0,2,2,18,,,,,,,,,,,,,,,,,,4,1,0.766660475258,,,,,,2017_Jan_20_0814,P2,PLC_L_D2S1,NHGY,59.9989061376,
stim/posf.jpg,stim/negf.jpg,stim/4.jpg,stim/2.jpg,stim/latef.jpg,AB,2,4,0,3,3,10,,,,,,,,,,,,,,,,,,2,0,0.816578399492,,,,,,2017_Jan_20_0814,P2,PLC_L_D2S1,NHGY,59.9989061376,
stim/posf.jpg,stim/negf.jpg,stim/6.jpg,stim/3.jpg,stim/latef.jpg,EF,1,2,0,4,4,42,,,,,,,,,,,,,,,,,,4,0,0.966685497532,,,,,,2017_Jan_20_0814,P2,PLC_L_D2S1,NHGY,59.9989061376,
stim/posf.jpg,stim/negf.jpg,stim/4.jpg,stim/2.jpg,stim/latef.jpg,AB,2,4,0,5,5,14,,,,,,,,,,,,,,,,,,4,1,0.816690401236,,,,,,2017_Jan_20_0814,P2,PLC_L_D2S1,NHGY,59.9989061376,
stim/negf.jpg,stim/posf.jpg,stim/6.jpg,stim/3.jpg,stim/latef.jpg,EF,1,2,0,6,6,47,,,,,,,,,,,,,,,,,,2,1,1.16667237287,,,,,,2017_Jan_20_0814,P2,PLC_L_D2S1,NHGY,59.9989061376,
stim/posf.jpg,stim/negf.jpg,stim/4.jpg,stim/2.jpg,stim/latef.jpg,AB,2,4,0,7,7,17,,,,,,,,,,,,,,,,,,4,1,1.06665898655,,,,,,2017_Jan_20_0814,P2,PLC_L_D2S1,NHGY,59.9989061376,
stim/posf.jpg,stim/negf.jpg,stim/2.jpg,stim/4.jpg,stim/latef.jpg,AB,1,2,0,8,8,1,,,,,,,,,,,,,,,,,,2,1,1.04997816115,,,,,,2017_Jan_20_0814,P2,PLC_L_D2S1,NHGY,59.9989061376,
stim/negf.jpg,stim/posf.jpg,stim/5.jpg,stim/1.jpg,stim/latef.jpg,CD,2,4,0,9,9,37,,,,,,,,,,,,,,,,,,4,1,1.04999204069,,,,,,2017_Jan_20_0814,P2,PLC_L_D2S1,NHGY,59.9989061376,
stim/posf.jpg,stim/negf.jpg,stim/3.jpg,stim/6.jpg,stim/latef.jpg,EF,2,4,0,10,10,51,,,,,,,,,,,,,,,,,,4,1,0.933373467217,,,,,,2017_Jan_20_0814,P2,PLC_L_D2S1,NHGY,59.9989061376,
stim/posf.jpg,stim/negf.jpg,stim/3.jpg,stim/6.jpg,stim/latef.jpg,EF,2,4,0,11,11,50,,,,,,,,,,,,,,,,,,4,1,1.25004733029,,,,,,2017_Jan_20_0814,P2,PLC_L_D2S1,NHGY,59.9989061376,
stim/negf.jpg,stim/posf.jpg,stim/1.jpg,stim/5.jpg,stim/latef.jpg,CD,1,2,0,12,12,28,,,,,,,,,,,,,,,,,,4,0,1.05004811825,,,,,,2017_Jan_20_0814,P2,PLC_L_D2S1,NHGY,59.9989061376,
stim/negf.jpg,stim/posf.jpg,stim/3.jpg,stim/6.jpg,stim/latef.jpg,EF,2,4,0,13,13,59,,,,,,,,,,,,,,,,,,4,1,0.933329594027,,,,,,2017_Jan_20_0814,P2,PLC_L_D2S1,NHGY,59.9989061376,
stim/posf.jpg,stim/negf.jpg,stim/5.jpg,stim/1.jpg,stim/latef.jpg,CD,2,4,0,14,14,35,,,,,,,,,,,,,,,,,,4,1,1.10003070341,,,,,,2017_Jan_20_0814,P2,PLC_L_D2S1,NHGY,59.9989061376,
stim/posf.jpg,stim/negf.jpg,stim/2.jpg,stim/4.jpg,stim/latef.jpg,AB,1,2,0,15,15,5,,,,,,,,,,,,,,,,,,2,1,0.899994745924,,,,,,2017_Jan_20_0814,P2,PLC_L_D2S1,NHGY,59.9989061376,
stim/posf.jpg,stim/negf.jpg,stim/6.jpg,stim/3.jpg,stim/latef.jpg,EF,1,2,0,16,16,41,,,,,,,,,,,,,,,,,,2,1,0.799970385296,,,,,,2017_Jan_20_0814,P2,PLC_L_D2S1,NHGY,59.9989061376,
stim/posf.jpg,stim/negf.jpg,stim/2.jpg,stim/4.jpg,stim/latef.jpg,AB,1,2,0,17,17,6,,,,,,,,,,,,,,,,,,4,0,0.883354632842,,,,,,2017_Jan_20_0814,P2,PLC_L_D2S1,NHGY,59.9989061376,
stim/negf.jpg,stim/posf.jpg,stim/3.jpg,stim/6.jpg,stim/latef.jpg,EF,2,4,0,18,18,56,,,,,,,,,,,,,,,,,,4,1,0.650008139758,,,,,,2017_Jan_20_0814,P2,PLC_L_D2S1,NHGY,59.9989061376,
stim/negf.jpg,stim/posf.jpg,stim/1.jpg,stim/5.jpg,stim/latef.jpg,CD,1,2,0,19,19,29,,,,,,,,,,,,,,,,,,4,0,0.883347541193,,,,,,2017_Jan_20_0814,P2,PLC_L_D2S1,NHGY,59.9989061376,
stim/negf.jpg,stim/posf.jpg,stim/2.jpg,stim/4.jpg,stim/latef.jpg,AB,1,2,0,20,20,9,,,,,,,,,,,,,,,,,,2,1,0.883329577486,,,,,,2017_Jan_20_0814,P2,PLC_L_D2S1,NHGY,59.9989061376,
stim/posf.jpg,stim/negf.jpg,stim/3.jpg,stim/6.jpg,stim/latef.jpg,EF,2,4,0,21,21,53,,,,,,,,,,,,,,,,,,4,1,0.866718673098,,,,,,2017_Jan_20_0814,P2,PLC_L_D2S1,NHGY,59.9989061376,
stim/posf.jpg,stim/negf.jpg,stim/3.jpg,stim/6.jpg,stim/latef.jpg,EF,2,4,0,22,22,55,,,,,,,,,,,,,,,,,,4,1,0.766687169694,,,,,,2017_Jan_20_0814,P2,PLC_L_D2S1,NHGY,59.9989061376,
stim/negf.jpg,stim/posf.jpg,stim/4.jpg,stim/2.jpg,stim/latef.jpg,AB,2,4,0,23,23,19,,,,,,,,,,,,,,,,,,2,0,0.883261879001,,,,,,2017_Jan_20_0814,P2,PLC_L_D2S1,NHGY,59.9989061376,
stim/posf.jpg,stim/negf.jpg,stim/3.jpg,stim/6.jpg,stim/latef.jpg,EF,2,4,0,24,24,52,,,,,,,,,,,,,,,,,,4,1,0.733346553234,,,,,,2017_Jan_20_0814,P2,PLC_L_D2S1,NHGY,59.9989061376,
stim/posf.jpg,stim/negf.jpg,stim/2.jpg,stim/4.jpg,stim/latef.jpg,AB,1,2,0,25,25,7,,,,,,,,,,,,,,,,,,2,1,0.950003751837,,,,,,2017_Jan_20_0814,P2,PLC_L_D2S1,NHGY,59.9989061376,
stim/posf.jpg,stim/negf.jpg,stim/4.jpg,stim/2.jpg,stim/latef.jpg,AB,2,4,0,26,26,15,,,,,,,,,,,,,,,,,,4,1,0.816603996196,,,,,,2017_Jan_20_0814,P2,PLC_L_D2S1,NHGY,59.9989061376,
stim/posf.jpg,stim/negf.jpg,stim/1.jpg,stim/5.jpg,stim/latef.jpg,CD,1,2,0,27,27,26,,,,,,,,,,,,,,,,,,4,0,0.933309007793,,,,,,2017_Jan_20_0814,P2,PLC_L_D2S1,NHGY,59.9989061376,
stim/posf.jpg,stim/negf.jpg,stim/1.jpg,stim/5.jpg,stim/latef.jpg,CD,1,2,0,28,28,20,,,,,,,,,,,,,,,,,,2,1,0.733313281429,,,,,,2017_Jan_20_0814,P2,PLC_L_D2S1,NHGY,59.9989061376,
stim/posf.jpg,stim/negf.jpg,stim/1.jpg,stim/5.jpg,stim/latef.jpg,CD,1,2,0,29,29,24,,,,,,,,,,,,,,,,,,2,1,0.633396465453,,,,,,2017_Jan_20_0814,P2,PLC_L_D2S1,NHGY,59.9989061376,
stim/posf.jpg,stim/negf.jpg,stim/4.jpg,stim/2.jpg,stim/latef.jpg,AB,2,4,0,30,30,13,,,,,,,,,,,,,,,,,,4,1,0.949998386484,,,,,,2017_Jan_20_0814,P2,PLC_L_D2S1,NHGY,59.9989061376,
stim/negf.jpg,stim/posf.jpg,stim/1.jpg,stim/5.jpg,stim/latef.jpg,CD,1,2,0,31,31,27,,,,,,,,,,,,,,,,,,2,1,0.883349105085,,,,,,2017_Jan_20_0814,P2,PLC_L_D2S1,NHGY,59.9989061376,
stim/posf.jpg,stim/negf.jpg,stim/1.jpg,stim/5.jpg,stim/latef.jpg,CD,1,2,0,32,32,23,,,,,,,,,,,,,,,,,,2,1,0.86667056537,,,,,,2017_Jan_20_0814,P2,PLC_L_D2S1,NHGY,59.9989061376,
stim/negf.jpg,stim/posf.jpg,stim/2.jpg,stim/4.jpg,stim/latef.jpg,AB,1,2,0,33,33,8,,,,,,,,,,,,,,,,,,2,1,0.850011709642,,,,,,2017_Jan_20_0814,P2,PLC_L_D2S1,NHGY,59.9989061376,
stim/posf.jpg,stim/negf.jpg,stim/4.jpg,stim/2.jpg,stim/latef.jpg,AB,2,4,0,34,34,16,,,,,,,,,,,,,,,,,,4,1,0.633301630433,,,,,,2017_Jan_20_0814,P2,PLC_L_D2S1,NHGY,59.9989061376,
stim/negf.jpg,stim/posf.jpg,stim/3.jpg,stim/6.jpg,stim/latef.jpg,EF,2,4,0,35,35,57,,,,,,,,,,,,,,,,,,4,1,0.783320982094,,,,,,2017_Jan_20_0814,P2,PLC_L_D2S1,NHGY,59.9989061376,
stim/posf.jpg,stim/negf.jpg,stim/2.jpg,stim/4.jpg,stim/latef.jpg,AB,1,2,0,36,36,2,,,,,,,,,,,,,,,,,,2,1,0.783335808995,,,,,,2017_Jan_20_0814,P2,PLC_L_D2S1,NHGY,59.9989061376,
stim/posf.jpg,stim/negf.jpg,stim/1.jpg,stim/5.jpg,stim/latef.jpg,CD,1,2,0,37,37,25,,,,,,,,,,,,,,,,,,2,1,0.833333762401,,,,,,2017_Jan_20_0814,P2,PLC_L_D2S1,NHGY,59.9989061376,
stim/posf.jpg,stim/negf.jpg,stim/5.jpg,stim/1.jpg,stim/latef.jpg,CD,2,4,0,38,38,36,,,,,,,,,,,,,,,,,,4,1,0.80002191855,,,,,,2017_Jan_20_0814,P2,PLC_L_D2S1,NHGY,59.9989061376,
stim/posf.jpg,stim/negf.jpg,stim/5.jpg,stim/1.jpg,stim/latef.jpg,CD,2,4,0,39,39,33,,,,,,,,,,,,,,,,,,4,1,0.883333396992,,,,,,2017_Jan_20_0814,P2,PLC_L_D2S1,NHGY,59.9989061376,
stim/negf.jpg,stim/posf.jpg,stim/5.jpg,stim/1.jpg,stim/latef.jpg,CD,2,4,0,40,40,39,,,,,,,,,,,,,,,,,,4,1,0.699950418604,,,,,,2017_Jan_20_0814,P2,PLC_L_D2S1,NHGY,59.9989061376,
stim/negf.jpg,stim/posf.jpg,stim/5.jpg,stim/1.jpg,stim/latef.jpg,CD,2,4,0,41,41,38,,,,,,,,,,,,,,,,,,4,1,0.833319212189,,,,,,2017_Jan_20_0814,P2,PLC_L_D2S1,NHGY,59.9989061376,
stim/posf.jpg,stim/negf.jpg,stim/2.jpg,stim/4.jpg,stim/latef.jpg,AB,1,2,0,42,42,3,,,,,,,,,,,,,,,,,,2,1,0.900002318771,,,,,,2017_Jan_20_0814,P2,PLC_L_D2S1,NHGY,59.9989061376,
stim/negf.jpg,stim/posf.jpg,stim/6.jpg,stim/3.jpg,stim/latef.jpg,EF,1,2,0,43,43,46,,,,,,,,,,,,,,,,,,2,1,1.166708989,,,,,,2017_Jan_20_0814,P2,PLC_L_D2S1,NHGY,59.9989061376,
stim/posf.jpg,stim/negf.jpg,stim/6.jpg,stim/3.jpg,stim/latef.jpg,EF,1,2,0,44,44,44,,,,,,,,,,,,,,,,,,2,1,0.916687411796,,,,,,2017_Jan_20_0814,P2,PLC_L_D2S1,NHGY,59.9989061376,
stim/posf.jpg,stim/negf.jpg,stim/1.jpg,stim/5.jpg,stim/latef.jpg,CD,1,2,0,45,45,22,,,,,,,,,,,,,,,,,,2,1,1.1667160235,,,,,,2017_Jan_20_0814,P2,PLC_L_D2S1,NHGY,59.9989061376,
stim/posf.jpg,stim/negf.jpg,stim/3.jpg,stim/6.jpg,stim/latef.jpg,EF,2,4,0,46,46,54,,,,,,,,,,,,,,,,,,4,1,0.849989057266,,,,,,2017_Jan_20_0814,P2,PLC_L_D2S1,NHGY,59.9989061376,
stim/negf.jpg,stim/posf.jpg,stim/6.jpg,stim/3.jpg,stim/latef.jpg,EF,1,2,0,47,47,49,,,,,,,,,,,,,,,,,,2,1,0.866629092153,,,,,,2017_Jan_20_0814,P2,PLC_L_D2S1,NHGY,59.9989061376,
stim/negf.jpg,stim/posf.jpg,stim/3.jpg,stim/6.jpg,stim/latef.jpg,EF,2,4,0,48,48,58,,,,,,,,,,,,,,,,,,4,1,0.716657809122,,,,,,2017_Jan_20_0814,P2,PLC_L_D2S1,NHGY,59.9989061376,
stim/posf.jpg,stim/negf.jpg,stim/5.jpg,stim/1.jpg,stim/latef.jpg,CD,2,4,0,49,49,34,,,,,,,,,,,,,,,,,,4,1,1.01660509994,,,,,,2017_Jan_20_0814,P2,PLC_L_D2S1,NHGY,59.9989061376,
stim/posf.jpg,stim/negf.jpg,stim/5.jpg,stim/1.jpg,stim/latef.jpg,CD,2,4,0,50,50,31,,,,,,,,,,,,,,,,,,4,1,0.899970018383,,,,,,2017_Jan_20_0814,P2,PLC_L_D2S1,NHGY,59.9989061376,
stim/posf.jpg,stim/negf.jpg,stim/2.jpg,stim/4.jpg,stim/latef.jpg,AB,1,2,0,51,51,0,,,,,,,,,,,,,,,,,,2,1,0.866670697699,,,,,,2017_Jan_20_0814,P2,PLC_L_D2S1,NHGY,59.9989061376,
stim/posf.jpg,stim/negf.jpg,stim/1.jpg,stim/5.jpg,stim/latef.jpg,CD,1,2,0,52,52,21,,,,,,,,,,,,,,,,,,2,1,0.783345423924,,,,,,2017_Jan_20_0814,P2,PLC_L_D2S1,NHGY,59.9989061376,
stim/posf.jpg,stim/negf.jpg,stim/5.jpg,stim/1.jpg,stim/latef.jpg,CD,2,4,0,53,53,30,,,,,,,,,,,,,,,,,,4,1,0.683326741428,,,,,,2017_Jan_20_0814,P2,PLC_L_D2S1,NHGY,59.9989061376,
stim/posf.jpg,stim/negf.jpg,stim/5.jpg,stim/1.jpg,stim/latef.jpg,CD,2,4,0,54,54,32,,,,,,,,,,,,,,,,,,4,1,0.849737421007,,,,,,2017_Jan_20_0814,P2,PLC_L_D2S1,NHGY,59.9989061376,
stim/posf.jpg,stim/negf.jpg,stim/6.jpg,stim/3.jpg,stim/latef.jpg,EF,1,2,0,55,55,45,,,,,,,,,,,,,,,,,,2,1,0.766620571949,,,,,,2017_Jan_20_0814,P2,PLC_L_D2S1,NHGY,59.9989061376,
stim/posf.jpg,stim/negf.jpg,stim/4.jpg,stim/2.jpg,stim/latef.jpg,AB,2,4,0,56,56,12,,,,,,,,,,,,,,,,,,4,1,0.683324567016,,,,,,2017_Jan_20_0814,P2,PLC_L_D2S1,NHGY,59.9989061376,
stim/posf.jpg,stim/negf.jpg,stim/6.jpg,stim/3.jpg,stim/latef.jpg,EF,1,2,0,57,57,40,,,,,,,,,,,,,,,,,,2,1,0.766676014932,,,,,,2017_Jan_20_0814,P2,PLC_L_D2S1,NHGY,59.9989061376,
stim/posf.jpg,stim/negf.jpg,stim/4.jpg,stim/2.jpg,stim/latef.jpg,AB,2,4,0,58,58,11,,,,,,,,,,,,,,,,,,4,1,0.633320842246,,,,,,2017_Jan_20_0814,P2,PLC_L_D2S1,NHGY,59.9989061376,
stim/negf.jpg,stim/posf.jpg,stim/6.jpg,stim/3.jpg,stim/latef.jpg,EF,1,2,0,59,59,48,,,,,,,,,,,,,,,,,,2,1,0.783309743123,,,,,,2017_Jan_20_0814,P2,PLC_L_D2S1,NHGY,59.9989061376,
