fb_corr,fb_incorr,symbol2,symbol1,fb_late,pair,position,correct,block_01.thisRepN,block_01.thisTrialN,block_01.thisN,block_01.thisIndex,block_02.thisRepN,block_02.thisTrialN,block_02.thisN,block_02.thisIndex,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,buttonBox_2.keys,buttonBox_2.corr,buttonBox_2.rt,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,date,Participant,expName,Group,frameRate,
,,,,,,,,,,,,,,,,0.9984375,0.8671875,1,0,0,,,,,,,,,2016_Sep_01_0922,P11,PLC_L_D1S2,NHGX,60.0201271841,
stim/posf.jpg,stim/negf.jpg,stim/3.jpg,stim/4.jpg,stim/latef.jpg,EF,2,4,0,0,0,51,,,,,,,,,,4,1,0.883080611873,,,,,,2016_Sep_01_0922,P11,PLC_L_D1S2,NHGX,60.0201271841,
stim/posf.jpg,stim/negf.jpg,stim/6.jpg,stim/1.jpg,stim/latef.jpg,AB,2,4,0,1,1,13,,,,,,,,,,4,1,0.816427414728,,,,,,2016_Sep_01_0922,P11,PLC_L_D1S2,NHGX,60.0201271841,
stim/posf.jpg,stim/negf.jpg,stim/4.jpg,stim/3.jpg,stim/latef.jpg,EF,1,2,0,2,2,41,,,,,,,,,,2,1,0.982979091214,,,,,,2016_Sep_01_0922,P11,PLC_L_D1S2,NHGX,60.0201271841,
stim/negf.jpg,stim/posf.jpg,stim/5.jpg,stim/2.jpg,stim/latef.jpg,CD,2,4,0,3,3,38,,,,,,,,,,4,1,1.01633297369,,,,,,2016_Sep_01_0922,P11,PLC_L_D1S2,NHGX,60.0201271841,
stim/posf.jpg,stim/negf.jpg,stim/6.jpg,stim/1.jpg,stim/latef.jpg,AB,2,4,0,4,4,12,,,,,,,,,,2,0,0.983016149442,,,,,,2016_Sep_01_0922,P11,PLC_L_D1S2,NHGX,60.0201271841,
stim/posf.jpg,stim/negf.jpg,stim/2.jpg,stim/5.jpg,stim/latef.jpg,CD,1,2,0,5,5,23,,,,,,,,,,2,1,1.03299356473,,,,,,2016_Sep_01_0922,P11,PLC_L_D1S2,NHGX,60.0201271841,
stim/posf.jpg,stim/negf.jpg,stim/5.jpg,stim/2.jpg,stim/latef.jpg,CD,2,4,0,6,6,37,,,,,,,,,,4,1,1.24958267989,,,,,,2016_Sep_01_0922,P11,PLC_L_D1S2,NHGX,60.0201271841,
stim/negf.jpg,stim/posf.jpg,stim/2.jpg,stim/5.jpg,stim/latef.jpg,CD,1,2,0,7,7,28,,,,,,,,,,2,1,1.48284152885,,,,,,2016_Sep_01_0922,P11,PLC_L_D1S2,NHGX,60.0201271841,
stim/posf.jpg,stim/negf.jpg,stim/2.jpg,stim/5.jpg,stim/latef.jpg,CD,1,2,0,8,8,21,,,,,,,,,,2,1,1.03299879776,,,,,,2016_Sep_01_0922,P11,PLC_L_D1S2,NHGX,60.0201271841,
stim/posf.jpg,stim/negf.jpg,stim/2.jpg,stim/5.jpg,stim/latef.jpg,CD,1,2,0,9,9,26,,,,,,,,,,2,1,0.666439067229,,,,,,2016_Sep_01_0922,P11,PLC_L_D1S2,NHGX,60.0201271841,
stim/posf.jpg,stim/negf.jpg,stim/3.jpg,stim/4.jpg,stim/latef.jpg,EF,2,4,0,10,10,54,,,,,,,,,,4,1,0.816387237738,,,,,,2016_Sep_01_0922,P11,PLC_L_D1S2,NHGX,60.0201271841,
stim/posf.jpg,stim/negf.jpg,stim/3.jpg,stim/4.jpg,stim/latef.jpg,EF,2,4,0,11,11,55,,,,,,,,,,4,1,0.583138710465,,,,,,2016_Sep_01_0922,P11,PLC_L_D1S2,NHGX,60.0201271841,
stim/posf.jpg,stim/negf.jpg,stim/1.jpg,stim/6.jpg,stim/latef.jpg,AB,1,2,0,12,12,4,,,,,,,,,,2,1,1.13290534919,,,,,,2016_Sep_01_0922,P11,PLC_L_D1S2,NHGX,60.0201271841,
stim/posf.jpg,stim/negf.jpg,stim/1.jpg,stim/6.jpg,stim/latef.jpg,AB,1,2,0,13,13,0,,,,,,,,,,2,1,0.583136689435,,,,,,2016_Sep_01_0922,P11,PLC_L_D1S2,NHGX,60.0201271841,
stim/posf.jpg,stim/negf.jpg,stim/3.jpg,stim/4.jpg,stim/latef.jpg,EF,2,4,0,14,14,50,,,,,,,,,,4,1,0.866402998463,,,,,,2016_Sep_01_0922,P11,PLC_L_D1S2,NHGX,60.0201271841,
stim/posf.jpg,stim/negf.jpg,stim/2.jpg,stim/5.jpg,stim/latef.jpg,CD,1,2,0,15,15,22,,,,,,,,,,2,1,0.899725344451,,,,,,2016_Sep_01_0922,P11,PLC_L_D1S2,NHGX,60.0201271841,
stim/posf.jpg,stim/negf.jpg,stim/5.jpg,stim/2.jpg,stim/latef.jpg,CD,2,4,0,16,16,36,,,,,,,,,,4,1,0.799719702409,,,,,,2016_Sep_01_0922,P11,PLC_L_D1S2,NHGX,60.0201271841,
