fb_corr,fb_incorr,symbol2,symbol1,fb_late,pair,position,correct,block_01.thisRepN,block_01.thisTrialN,block_01.thisN,block_01.thisIndex,block_02.thisRepN,block_02.thisTrialN,block_02.thisN,block_02.thisIndex,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,buttonBox_2.keys,buttonBox_2.corr,buttonBox_2.rt,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,date,Participant,expName,Group,frameRate,
,,,,,,,,,,,,,,,,0.9984375,0.57421875,1,0,0,,,,,,,,,2016_Jun_27_0952,P1,PLC_L_D1S2,NHGX,60.0184368032,
stim/posf.jpg,stim/negf.jpg,stim/2.jpg,stim/1.jpg,stim/latef.jpg,CD,2,4,0,0,0,31,,,,,,,,,,4,1,0.933061273224,,,,,,2016_Jun_27_0952,P1,PLC_L_D1S2,NHGX,60.0184368032,
stim/posf.jpg,stim/negf.jpg,stim/6.jpg,stim/5.jpg,stim/latef.jpg,EF,2,4,0,1,1,50,,,,,,,,,,4,1,1.31622532161,,,,,,2016_Jun_27_0952,P1,PLC_L_D1S2,NHGX,60.0184368032,
stim/posf.jpg,stim/negf.jpg,stim/5.jpg,stim/6.jpg,stim/latef.jpg,EF,1,2,0,2,2,43,,,,,,,,,,4,0,1.36622343291,,,,,,2016_Jun_27_0952,P1,PLC_L_D1S2,NHGX,60.0184368032,
stim/posf.jpg,stim/negf.jpg,stim/3.jpg,stim/4.jpg,stim/latef.jpg,AB,1,2,0,3,3,4,,,,,,,,,,2,1,1.21625254547,,,,,,2016_Jun_27_0952,P1,PLC_L_D1S2,NHGX,60.0184368032,
stim/posf.jpg,stim/negf.jpg,stim/1.jpg,stim/2.jpg,stim/latef.jpg,CD,1,2,0,4,4,26,,,,,,,,,,4,0,1.09967830317,,,,,,2016_Jun_27_0952,P1,PLC_L_D1S2,NHGX,60.0184368032,
stim/posf.jpg,stim/negf.jpg,stim/6.jpg,stim/5.jpg,stim/latef.jpg,EF,2,4,0,5,5,51,,,,,,,,,,4,1,1.18288885648,,,,,,2016_Jun_27_0952,P1,PLC_L_D1S2,NHGX,60.0184368032,
stim/negf.jpg,stim/posf.jpg,stim/6.jpg,stim/5.jpg,stim/latef.jpg,EF,2,4,0,6,6,58,,,,,,,,,,2,0,0.916358770234,,,,,,2016_Jun_27_0952,P1,PLC_L_D1S2,NHGX,60.0184368032,
stim/posf.jpg,stim/negf.jpg,stim/4.jpg,stim/3.jpg,stim/latef.jpg,AB,2,4,0,7,7,17,,,,,,,,,,4,1,1.01633697491,,,,,,2016_Jun_27_0952,P1,PLC_L_D1S2,NHGX,60.0184368032,
stim/posf.jpg,stim/negf.jpg,stim/5.jpg,stim/6.jpg,stim/latef.jpg,EF,1,2,0,8,8,44,,,,,,,,,,4,0,1.13296276569,,,,,,2016_Jun_27_0952,P1,PLC_L_D1S2,NHGX,60.0184368032,
stim/posf.jpg,stim/negf.jpg,stim/6.jpg,stim/5.jpg,stim/latef.jpg,EF,2,4,0,9,9,57,,,,,,,,,,2,0,1.36622195021,,,,,,2016_Jun_27_0952,P1,PLC_L_D1S2,NHGX,60.0184368032,
stim/posf.jpg,stim/negf.jpg,stim/4.jpg,stim/3.jpg,stim/latef.jpg,AB,2,4,0,10,10,13,,,,,,,,,,2,0,0.916366186721,,,,,,2016_Jun_27_0952,P1,PLC_L_D1S2,NHGX,60.0184368032,
stim/posf.jpg,stim/negf.jpg,stim/6.jpg,stim/5.jpg,stim/latef.jpg,EF,2,4,0,11,11,55,,,,,,,,,,4,1,1.01627468365,,,,,,2016_Jun_27_0952,P1,PLC_L_D1S2,NHGX,60.0184368032,
stim/posf.jpg,stim/negf.jpg,stim/4.jpg,stim/3.jpg,stim/latef.jpg,AB,2,4,0,12,12,10,,,,,,,,,,2,0,1.14958167533,,,,,,2016_Jun_27_0952,P1,PLC_L_D1S2,NHGX,60.0184368032,
stim/negf.jpg,stim/posf.jpg,stim/5.jpg,stim/6.jpg,stim/latef.jpg,EF,1,2,0,13,13,48,,,,,,,,,,4,0,1.04964129894,,,,,,2016_Jun_27_0952,P1,PLC_L_D1S2,NHGX,60.0184368032,
stim/posf.jpg,stim/negf.jpg,stim/5.jpg,stim/6.jpg,stim/latef.jpg,EF,1,2,0,14,14,41,,,,,,,,,,4,0,1.24954967557,,,,,,2016_Jun_27_0952,P1,PLC_L_D1S2,NHGX,60.0184368032,
stim/posf.jpg,stim/negf.jpg,stim/4.jpg,stim/3.jpg,stim/latef.jpg,AB,2,4,0,15,15,12,,,,,,,,,,4,1,1.36627014835,,,,,,2016_Jun_27_0952,P1,PLC_L_D1S2,NHGX,60.0184368032,
stim/negf.jpg,stim/posf.jpg,stim/2.jpg,stim/1.jpg,stim/latef.jpg,CD,2,4,0,16,16,39,,,,,,,,,,2,0,1.08295601086,,,,,,2016_Jun_27_0952,P1,PLC_L_D1S2,NHGX,60.0184368032,
stim/posf.jpg,stim/negf.jpg,stim/3.jpg,stim/4.jpg,stim/latef.jpg,AB,1,2,0,17,17,8,,,,,,,,,,2,1,1.33289133164,,,,,,2016_Jun_27_0952,P1,PLC_L_D1S2,NHGX,60.0184368032,
