fb_corr,fb_incorr,symbol2,symbol1,fb_late,pair,position,correct,block_01.thisRepN,block_01.thisTrialN,block_01.thisN,block_01.thisIndex,block_02.thisRepN,block_02.thisTrialN,block_02.thisN,block_02.thisIndex,block_03.thisRepN,block_03.thisTrialN,block_03.thisN,block_03.thisIndex,block_04.thisRepN,block_04.thisTrialN,block_04.thisN,block_04.thisIndex,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,buttonBox_2.keys,buttonBox_2.corr,buttonBox_2.rt,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,date,Participant,expName,Group,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,0.9984375,1.0,1,0,0,,,,,,,,,2015_Dez_08_1520,P16,PLC_L_D1S1,NHG,60.014512338,
stim/negf.jpg,stim/posf.jpg,stim/4.jpg,stim/5.jpg,stim/latef.jpg,CD,2,4,0,0,0,38,,,,,,,,,,,,,,,,,,4,1,1.09966951651,,,,,,2015_Dez_08_1520,P16,PLC_L_D1S1,NHG,60.014512338,
stim/posf.jpg,stim/negf.jpg,stim/5.jpg,stim/4.jpg,stim/latef.jpg,CD,1,2,0,1,1,24,,,,,,,,,,,,,,,,,,2,1,0.799703768755,,,,,,2015_Dez_08_1520,P16,PLC_L_D1S1,NHG,60.014512338,
stim/negf.jpg,stim/posf.jpg,stim/3.jpg,stim/6.jpg,stim/latef.jpg,AB,1,2,0,2,2,9,,,,,,,,,,,,,,,,,,2,1,1.13295719823,,,,,,2015_Dez_08_1520,P16,PLC_L_D1S1,NHG,60.014512338,
stim/posf.jpg,stim/negf.jpg,stim/5.jpg,stim/4.jpg,stim/latef.jpg,CD,1,2,0,3,3,22,,,,,,,,,,,,,,,,,,2,1,0.916375150657,,,,,,2015_Dez_08_1520,P16,PLC_L_D1S1,NHG,60.014512338,
stim/posf.jpg,stim/negf.jpg,stim/1.jpg,stim/2.jpg,stim/latef.jpg,EF,2,4,0,4,4,50,,,,,,,,,,,,,,,,,,4,1,1.24961159686,,,,,,2015_Dez_08_1520,P16,PLC_L_D1S1,NHG,60.014512338,
stim/posf.jpg,stim/negf.jpg,stim/4.jpg,stim/5.jpg,stim/latef.jpg,CD,2,4,0,5,5,31,,,,,,,,,,,,,,,,,,4,1,0.8997137115,,,,,,2015_Dez_08_1520,P16,PLC_L_D1S1,NHG,60.014512338,
stim/posf.jpg,stim/negf.jpg,stim/1.jpg,stim/2.jpg,stim/latef.jpg,EF,2,4,0,6,6,52,,,,,,,,,,,,,,,,,,4,1,0.933017200558,,,,,,2015_Dez_08_1520,P16,PLC_L_D1S1,NHG,60.014512338,
stim/posf.jpg,stim/negf.jpg,stim/5.jpg,stim/4.jpg,stim/latef.jpg,CD,1,2,0,7,7,23,,,,,,,,,,,,,,,,,,2,1,1.23287133153,,,,,,2015_Dez_08_1520,P16,PLC_L_D1S1,NHG,60.014512338,
stim/negf.jpg,stim/posf.jpg,stim/2.jpg,stim/1.jpg,stim/latef.jpg,EF,1,2,0,8,8,49,,,,,,,,,,,,,,,,,,2,1,0.883008008181,,,,,,2015_Dez_08_1520,P16,PLC_L_D1S1,NHG,60.014512338,
stim/posf.jpg,stim/negf.jpg,stim/3.jpg,stim/6.jpg,stim/latef.jpg,AB,1,2,0,9,9,1,,,,,,,,,,,,,,,,,,None,0,,,,,,,2015_Dez_08_1520,P16,PLC_L_D1S1,NHG,60.014512338,
stim/negf.jpg,stim/posf.jpg,stim/6.jpg,stim/3.jpg,stim/latef.jpg,AB,2,4,0,10,10,18,,,,,,,,,,,,,,,,,,4,1,1.01633324436,,,,,,2015_Dez_08_1520,P16,PLC_L_D1S1,NHG,60.014512338,
stim/posf.jpg,stim/negf.jpg,stim/2.jpg,stim/1.jpg,stim/latef.jpg,EF,1,2,0,11,11,45,,,,,,,,,,,,,,,,,,2,1,0.916362916208,,,,,,2015_Dez_08_1520,P16,PLC_L_D1S1,NHG,60.014512338,
stim/negf.jpg,stim/posf.jpg,stim/1.jpg,stim/2.jpg,stim/latef.jpg,EF,2,4,0,12,12,59,,,,,,,,,,,,,,,,,,4,1,0.999669089446,,,,,,2015_Dez_08_1520,P16,PLC_L_D1S1,NHG,60.014512338,
stim/posf.jpg,stim/negf.jpg,stim/6.jpg,stim/3.jpg,stim/latef.jpg,AB,2,4,0,13,13,16,,,,,,,,,,,,,,,,,,4,1,1.01633594508,,,,,,2015_Dez_08_1520,P16,PLC_L_D1S1,NHG,60.014512338,
stim/negf.jpg,stim/posf.jpg,stim/1.jpg,stim/2.jpg,stim/latef.jpg,EF,2,4,0,14,14,56,,,,,,,,,,,,,,,,,,4,1,1.0163128867,,,,,,2015_Dez_08_1520,P16,PLC_L_D1S1,NHG,60.014512338,
stim/posf.jpg,stim/negf.jpg,stim/1.jpg,stim/2.jpg,stim/latef.jpg,EF,2,4,0,15,15,51,,,,,,,,,,,,,,,,,,2,0,1.08295589749,,,,,,2015_Dez_08_1520,P16,PLC_L_D1S1,NHG,60.014512338,
stim/negf.jpg,stim/posf.jpg,stim/2.jpg,stim/1.jpg,stim/latef.jpg,EF,1,2,0,16,16,48,,,,,,,,,,,,,,,,,,2,1,1.18297748221,,,,,,2015_Dez_08_1520,P16,PLC_L_D1S1,NHG,60.014512338,
stim/posf.jpg,stim/negf.jpg,stim/4.jpg,stim/5.jpg,stim/latef.jpg,CD,2,4,0,17,17,34,,,,,,,,,,,,,,,,,,4,1,0.966372159712,,,,,,2015_Dez_08_1520,P16,PLC_L_D1S1,NHG,60.014512338,
stim/negf.jpg,stim/posf.jpg,stim/6.jpg,stim/3.jpg,stim/latef.jpg,AB,2,4,0,18,18,19,,,,,,,,,,,,,,,,,,2,0,1.1329348857,,,,,,2015_Dez_08_1520,P16,PLC_L_D1S1,NHG,60.014512338,
stim/posf.jpg,stim/negf.jpg,stim/5.jpg,stim/4.jpg,stim/latef.jpg,CD,1,2,0,19,19,26,,,,,,,,,,,,,,,,,,2,1,0.916370525144,,,,,,2015_Dez_08_1520,P16,PLC_L_D1S1,NHG,60.014512338,
stim/posf.jpg,stim/negf.jpg,stim/6.jpg,stim/3.jpg,stim/latef.jpg,AB,2,4,0,20,20,11,,,,,,,,,,,,,,,,,,2,0,0.966345465276,,,,,,2015_Dez_08_1520,P16,PLC_L_D1S1,NHG,60.014512338,
stim/posf.jpg,stim/negf.jpg,stim/3.jpg,stim/6.jpg,stim/latef.jpg,AB,1,2,0,21,21,7,,,,,,,,,,,,,,,,,,4,0,1.16623312369,,,,,,2015_Dez_08_1520,P16,PLC_L_D1S1,NHG,60.014512338,
